T©n Y phôc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	"Phßng ngù (Néi, ngo¹i)"	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè lç tèi ®a	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	"Cã thÓ giao dŞch hay kh«ng (0 cã thÓ, 1 kh«ng thÓ giao dŞch, 2 cã thÓ giao dŞch cã thÓ b¸n shop, 3 cã thÓ giao dŞch kh«ng thÓ b¸n shop, 4 khãa sau khi trang bŞ cã thÓ b¸n shop, 5 khãa sau khi trang bŞ kh«ng thÓ b¸n shop)"	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 4	Phİ	
Hoµng T«ng m·	0	105	6	10	100000	0	10000							1				\image\item\horse\horse_08a1.spr	\image\item\horse\horse_08a0.spr	Lo¹i ngùa chuyªn dïng trong chiÕn ®Êu	Âí03	M· Bµi		2		0		8000	
H¾c T«ng m·	0	105	7	10	100000	0	10000							1				\image\item\horse\horse_10a1.spr	\image\item\horse\horse_10a0.spr	Lo¹i ngùa chuyªn dïng trong chiÕn ®Êu	Âí05	M· Bµi		2		0		8000	
B¹ch T«ng m·	0	105	8	10	100000	0	10000							1				\image\item\horse\horse_09a1.spr	\image\item\horse\horse_09a0.spr	Lo¹i ngùa chuyªn dïng trong chiÕn ®Êu	Âí04	M· Bµi		2		0		8000	
Xİch Thè	0	105	9	10	100000	0	10000							1				\image\item\horse\horse_07a1.spr	\image\item\horse\horse_07a0.spr	L÷ Bè ®· tõng c­ìi.	Âí07	M· Bµi		3		0		50000	
Tr¶o Hoµng Phi §iÖn	0	105	11	10	100000	0	10000							1				\image\item\horse\horse_08a1.spr	\image\item\horse\horse_08a0.spr	Tµo Th¸o ®· tõng c­ìi ®i s¨n cïng H¸n HiÕn §Õ.	Âí08	M· Bµi		3		0		50000	
Hèt L«i B¸c	0	105	12	10	100000	0	10000							1				\image\item\horse\horse_10a1.spr	\image\item\horse\horse_10a0.spr	"C¸c kş sÜ th­êng sö dông, cã thÓ ch¹y rßng r· 3 ngµy kh«ng mÖt mái."	Âí10	M· Bµi		3		0		50000	
Bé C¶nh	0	105	13	10	100000	0	10000							1				\image\item\horse\horse_09a1.spr	\image\item\horse\horse_09a0.spr	"Lo¹i ngùa tèt cã nguån gèc tõ M«ng Cæ, tèc ®é nh­ giã."	Âí09	M· Bµi		3		0		50000	
TuyÖt §Şa	0	105	14	10	100000	0	10000							1				\image\item\horse\horse_01a1.spr	\image\item\horse\horse_01a0.spr	Mét trong 8 con tuÊn m· cña Chu Môc V­¬ng.	Âí08	M· Bµi		4		0		200000	
Phiªu Vò	0	105	15	10	100000	0	10000							1				\image\item\horse\horse_09a1.spr	\image\item\horse\horse_09a0.spr	Mét trong 8 con tuÊn m· cña Chu Môc V­¬ng.	Âí11	M· Bµi		4		0		200000	
B«n Tiªu	0	105	16	10	100000	0	10000							1				\image\item\horse\horse_07a1.spr	\image\item\horse\horse_07a0.spr	Mét trong 8 con tuÊn m· cña Chu Môc V­¬ng	Âí14	M· Bµi		4		0		200000	
ViÖt ¶nh	0	105	17	10	100000	0	10000							1				\image\item\horse\horse_01a1.spr	\image\item\horse\horse_01a0.spr	Mét trong 8 con tuÊn m· cña Chu Môc V­¬ng.	Âí08	M· Bµi		4		0		200000	
Du Huy	0	105	18	10	100000	0	10000							1				\image\item\horse\horse_01a1.spr	\image\item\horse\horse_01a0.spr	Mét trong 8 con tuÊn m· cña Chu Môc V­¬ng.	Âí09	M· Bµi		4		0		200000	
Siªu Quang	0	105	19	10	100000	0	10000							1				\image\item\horse\horse_10a1.spr	\image\item\horse\horse_10a0.spr	Mét trong 8 con tuÊn m· cña Chu Môc V­¬ng.	Âí13	M· Bµi		4		0		200000	
§»ng Vô	0	105	20	10	100000	0	10000							1				\image\item\horse\horse_08a1.spr	\image\item\horse\horse_08a0.spr	Mét trong 8 con tuÊn m· cña Chu Môc V­¬ng.	Âí12	M· Bµi		4		0		200000	
HiÖp Dùc	0	105	21	10	100000	0	10000							1						Mét trong 8 con tuÊn m· cña Chu Môc V­¬ng.				4		0		200000	
ThuyÒn rång	0	105	25	10	100000	0	10000							1			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr	VËt kh«ng thÓ thiÕu trong cuéc ®ua thuyÒn ngµy tÕt §oan Ngä	ÁúÖÛ	M· Bµi		1		0		10000	
ThuyÒn Rång Thñy Ph¸o	0	105	26	10	100000	0	10000							1			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr	"Lo¹i thuyÒn ®Æc biÖt, cã thÓ b¾n n­íc nhËn ch×m thuyÒn ®èi ph­¬ng."	ÍÁÅÚÁúÖÛ	M· Bµi		1		0		10000	
ThuyÒn Rång Thñy L«i	0	105	27	10	100000	0	10000							1			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr	"Lo¹i thuyÒn ®Æc biÖt, cã søc tµn ph¸ cùc m¹nh nhanh chãng nhËn ch×m ®èi ph­¬ng."	Ë®À×ÁúÖÛ	M· Bµi		1		0		10000	
ThuyÒn Rång Thñy L·ng	0	105	28	10	100000	0	10000							1			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr	"Lo¹i thuyÒn ®Æc biÖt, t¹o nh÷ng ngän sãng cao ch«n vïi ®èi ph­¬ng"	Ë®ÀËÁúÖÛ	M· Bµi		1		0		10000	
ThuyÒn rång §o¶n Binh	0	105	29	10	100000	0	10000							1			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr	Cã thÓ t¹o nh÷ng lùc c¶n lµm chËm thuyÒn cña ®èi ph­¬ng.	¶Ì±øÁúÖÛ	M· Bµi		1		0		10000	
ThuyÒn Rång Liªn X¹	0	105	30	10	100000	0	10000							1			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr	Cã thÓ liªn tôc b¾n ra nh÷ng qu¶ thñy ph¸o lµm cho ®èi ph­¬ng khã xoay së.	Ë®ÅÚÁúÖÛ	M· Bµi		1		0		10000	
ThuyÒn rång TiÒm Hµnh	0	105	31	10	100000	0	10000							1			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr	Khi cÇn thiÕt cã thÓ lÆn xuèng n­íc ®Ó tr¸nh sù tÊn c«ng cña ®èi ph­¬ng.	Ç±ĞĞÁúÖÛ	M· Bµi		1		0		10000	
KiÖu hoa	0	105	32	10	100000	0	10000							1				\image\item\horse\»¨½Îa1.spr	\image\item\horse\»¨½Îa0.spr	KiÖu hoa nhá ®ãn T©n n­¬ng	»¨½Î	M· Bµi	\script\item\sedan.lua	1		0		10000	
Niªn thó	0	105	33	10	100000	0	10000							1				\image\item\horse\ÄêÊŞa1.spr	\image\item\horse\ÄêÊŞa0.spr	Sau khi sö dông sÏ xuÊt hiÖn mét con niªn thó ®Ó b¹n c­ìi.	ÄêÊŞ	M· Bµi		3		0		6	
B¹ch M·	0	105	34	10	100000	0	10000							1			6	\image\item\horse\horse_09a1.spr	\image\item\horse\horse_09a0.spr	B¹ch m· cña t­íng qu©n cã chøc vŞ trong D­¬ng Gia t­íng khi xuÊt chinh th­êng c­ìi	Âí09	M· Bµi		3		0		10000	
TuÇn Léc	0	105	35	10	100000	0	10000							1				\image\item\horse\Ê¥µ®Â¹a1.spr	\image\item\horse\Ê¥µ®Â¹a0.spr	Sau khi sö dông sÏ xuÊt hiÖn mét con TuÇn léc cho b¹n c­ìi.	Ê¥µ®Â¹	M· Bµi		3		0		60	
V¹n Lı Yªn V©n Tr¸o 	0	105	36	10	100000	0	10000							1				\image\item\horse\horse_10a1.spr	\image\item\horse\horse_10a0.spr	"V¹n Lı Yªn V©n Tr¸o lµ thó c­ìi cña Lı Nguyªn B¸, con trai thø ba cña Lı Uyªn. M×nh ®en gièng nh­ ®¸m mÊy ®en quÊn quanh ng­êi, cã tèc ®é vµ vÎ ®Ñp cña giã."	Âí19	M· Bµi		4		0		6	
Thİch TuyÕt ¤ Truy 	0	105	37	10	100000	0	10000							1				\image\item\horse\horse_10a1.spr	\image\item\horse\horse_10a0.spr	"Con ngùa næi tiÕng, hİ ra löa, m×nh ®en mãng tr¾ng, th©n h×nh tùa m©y tuyÕt, cao ba tÊc, dµi mét tr­îng, cã sù uy nghiªm cña B¸ V­¬ng gi¸ l¹nh."	Âí19	M· Bµi		4		0		6	
Phï Dùc 	0	105	39	10	100000	0	10000							1				\image\item\horse\horse_10a1.spr	\image\item\horse\horse_10a0.spr	"§¹i UyÓn ThÇn C©u cao chİn th­íc, dµi m­êi tr­îng h¬n, th©n cã kim cöu hoa gi¸p, ch¹y nhanh nh­ giã."	Âí20	M· Bµi		4		0		10000	
B¹ch NghÜa	0	105	40	10	100000	0	10000							1				\image\item\horse\horse_10a1.spr	\image\item\horse\horse_10a0.spr	"B¾c C­¬ng ThÇn C©u, cao chİn th­íc, tr¾ng nh­ tuyÕt, l«ng th­a nh­ con K× L©n, tèc ®é phi nh­ tªn b¾n. "	Âí21	M· Bµi		4		0		10000	
Trang phôc r­íc ®uèc t¹m thêi	0	105	41	10	100000	0	10000							1	1	1		\image\item\horse\±ê×¼»ğ¾æÊÖÍâ×°a1.spr	\image\item\horse\±ê×¼»ğ¾æÊÖÍâ×°a0.spr	"TiÓu ®iÕm cã b¸n trang phôc r­íc ®uèc pháng chÕ, chØ cã thÓ mÆc mét ngµy. "	»ğ¾æ×°1	M· Bµi	\script\online\aoyun08\Item\temp_huojufushi.lua	1		0		1000	
Trang phôc r­íc ®uèc t¹m thêi	0	105	42	10	100000	0	10000							1	1	2		\image\item\horse\¿ıÎà»ğ¾æÊÖÍâ×°a1.spr	\image\item\horse\¿ıÎà»ğ¾æÊÖÍâ×°a0.spr	"TiÓu ®iÕm cã b¸n trang phôc r­íc ®uèc pháng chÕ, chØ cã thÓ mÆc mét ngµy. "	»ğ¾æ×°2	M· Bµi	\script\online\aoyun08\Item\temp_huojufushi.lua	1		0		1000	
Trang phôc r­íc ®uèc t¹m thêi	0	105	43	10	100000	0	10000							1	2	3		\image\item\horse\ĞÔ¸Ğ»ğ¾æÊÖÍâ×°a1.spr	\image\item\horse\ĞÔ¸Ğ»ğ¾æÊÖÍâ×°a0.spr	"TiÓu ®iÕm cã b¸n trang phôc r­íc ®uèc pháng chÕ, chØ cã thÓ mÆc mét ngµy. "	»ğ¾æ×°3	M· Bµi	\script\online\aoyun08\Item\temp_huojufushi.lua	1		0		1000	
Trang phôc r­íc ®uèc t¹m thêi	0	105	44	10	100000	0	10000							1	2	4		\image\item\horse\½¿Ğ¡»ğ¾æÊÖÍâ×°a1.spr	\image\item\horse\½¿Ğ¡»ğ¾æÊÖÍâ×°a0.spr	"TiÓu ®iÕm cã b¸n trang phôc r­íc ®uèc pháng chÕ, chØ cã thÓ mÆc mét ngµy. "	»ğ¾æ×°4	M· Bµi	\script\online\aoyun08\Item\temp_huojufushi.lua	1		0		1000	
Trang phôc r­íc ®uèc	0	105	45	10	100000	0	10000							1	1	1		\image\item\horse\±ê×¼»ğ¾æÊÖÍâ×°a1.spr	\image\item\horse\±ê×¼»ğ¾æÊÖÍâ×°a0.spr	"Trang phôc cña triÒu ®×nh lµm tÆng cho thİ sinh r­íc ®uèc, t­îng tr­ng cho khİ ph¸ch hµo hïng"	»ğ¾æ×°1	M· Bµi	\script\online\aoyun08\Item\huojufushi.lua	1		0		1000	
Trang phôc r­íc ®uèc	0	105	46	10	100000	0	10000							1	1	2		\image\item\horse\¿ıÎà»ğ¾æÊÖÍâ×°a1.spr	\image\item\horse\¿ıÎà»ğ¾æÊÖÍâ×°a0.spr	"Trang phôc cña triÒu ®×nh lµm tÆng cho thİ sinh r­íc ®uèc, t­îng tr­ng cho khİ ph¸ch hµo hïng"	»ğ¾æ×°2	M· Bµi	\script\online\aoyun08\Item\huojufushi.lua	1		0		1000	
Trang phôc r­íc ®uèc	0	105	47	10	100000	0	10000							1	2	3		\image\item\horse\ĞÔ¸Ğ»ğ¾æÊÖÍâ×°a1.spr	\image\item\horse\ĞÔ¸Ğ»ğ¾æÊÖÍâ×°a0.spr	"Trang phôc cña triÒu ®×nh lµm tÆng cho thİ sinh r­íc ®uèc, t­îng tr­ng cho khİ ph¸ch hµo hïng"	»ğ¾æ×°3	M· Bµi	\script\online\aoyun08\Item\huojufushi.lua	1		0		1000	
Trang phôc r­íc ®uèc	0	105	48	10	100000	0	10000							1	2	4		\image\item\horse\½¿Ğ¡»ğ¾æÊÖÍâ×°a1.spr	\image\item\horse\½¿Ğ¡»ğ¾æÊÖÍâ×°a0.spr	"Trang phôc cña triÒu ®×nh lµm tÆng cho thİ sinh r­íc ®uèc, t­îng tr­ng cho khİ ph¸ch hµo hïng"	»ğ¾æ×°4	M· Bµi	\script\online\aoyun08\Item\huojufushi.lua	1		0		1000	
B¹ch NghÜa	0	105	49	10	100000	0	10000							1				\image\item\horse\zhuanshenghorse3a1.spr	\image\item\horse\zhuanshenghorse3a0.spr	"B¾c C­¬ng ThÇn C©u, cao chİn th­íc, tr¾ng nh­ tuyÕt, l«ng th­a nh­ con K× L©n, tèc ®é phi nh­ tªn b¾n. "	Âí21	M· Bµi		4		0		10000	
HiÖp Dùc	0	105	50	10	100000	0	10000							1				\image\item\horse\zhuanshenghorse2a1.spr	\image\item\horse\zhuanshenghorse2a0.spr	"Con ngùa næi tiÕng, hİ ra löa, m×nh ®en mãng tr¾ng, th©n h×nh tùa m©y tuyÕt, cao ba tÊc, dµi mét tr­îng, cã sù uy nghiªm cña B¸ V­¬ng gi¸ l¹nh."	Âí22	M· Bµi		4		0		10000	
ChiÕn M· Nguyªn So¸i cao cÊp 	0	105	51	10	100000	0	10000							1			6	\image\item\horse\zhuanshenghorse3a1.spr	\image\item\horse\zhuanshenghorse3a0.spr	Vua ban tÆng thu c­ìi mµu tr¾ng cho chñ t­íng D­¬ng Gia	Âí21	M· Bµi		4		0		10000	
ChiÕn M· Nguyªn So¸i cao cÊp 	0	105	52	10	100000	0	10000							1			6	\image\item\horse\zhuanshenghorse2a1.spr	\image\item\horse\zhuanshenghorse2a0.spr	Vua ban tÆng thu c­ìi mµu ®en cho chñ t­íng D­¬ng Gia	Âí22	M· Bµi		4		0		10000	
ThÇn Thó TŞch Tµ	0	105	120	10	100000	0	10000							1				\image\item\horse\ÉñÊŞ±ÙĞ°a0.spr	\image\item\horse\ÉñÊŞ±ÙĞ°a1.spr	"Kim linh h­ëng, ngäc tiªu ng©m, tiªn bİ phôc loan do xu©n th¸n, thÇn c©u hµm miªn no·n phong bµng."	ÉñÊŞ±ÙĞ°	M· Bµi	\script\item\yujian.lua	7		0		50000	999
Kú l©n	0	105	30000	10	100000	0	10000							1				\image\item\horse\ÄêÊŞa1.spr	\image\item\horse\ÄêÊŞa0.spr	"Kú L©n t­îng tr­ng cho may m¾n, tèc ®é di chuyÓn 100%"	ÄêÊŞ	M· Bµi		3		0		6	
Kim Kú L©n	0	105	30001	10	100000	0	10000							1				\image\item\horse\longjin_.spr	\image\item\horse\longjin.spr	"Kim Kú L©n, t­îng tr­ng phó quı, giµu sang, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi."	½ğ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4		0			
ThiÕu D­¬ng ThÊt Tinh KiÕm	0	105	10107	10	100000	0	10000							1				\image\item\other\ÉÙÑôÆßĞÇ½£a1.spr	\image\item\other\ÉÙÑôÆßĞÇ½£a0.spr	"TriÖu håi ThiÕu D­¬ng ThÊt Tinh KiÕm, cã thÓ khiÕn Ngù KiÕm Phi Hµnh <color=yellow> (®©y lµ thó c­ìi ®Æc thï, khi c­ìi kh«ng thÓ sö dông kü n¨ng)"	ÉÙÑôÆßĞÇ½£	M· Bµi	\script\item\yujian.lua	7		0		10000	999
V¨n Sö ThÊt Qu©n KiÕm	0	105	10108	10	100000	0	10000							1				\image\item\other\ÎÄÊ·Æß¾ı½£a1.spr	\image\item\other\ÎÄÊ·Æß¾ı½£a0.spr	"TriÖu håi V¨n Sö ThÊt Qu©n KiÕm, cã thÓ khiÕn Ngù KiÕm Phi Hµnh <color=yellow> (®©y lµ thó c­ìi ®Æc thï, khi c­ìi kh«ng thÓ sö dông kü n¨ng)"	ÎÄÊ·Æß¾ı½£	M· Bµi	\script\item\yujian.lua	7		0		10000	999
C«n H­ Ngäc Dao KiÕm	0	105	10109	10	100000	0	10000							1				\image\item\other\À¥ĞéÓñÑş½£a1.spr	\image\item\other\À¥ĞéÓñÑş½£a0.spr	"TriÖu håi C«n H­ Ngäc Dao KiÕm, cã thÓ khiÕn Ngù KiÕm Phi Hµnh <color=yellow> (®©y lµ thó c­ìi ®Æc thï, khi c­ìi kh«ng thÓ sö dông kü n¨ng)"	À¥ĞéÓñÑş½£	M· Bµi	\script\item\yujian.lua	7		0		10000	999
Tiªn Du KiÕm	0	105	10110	10	100000	0	10000							1				\image\item\other\ÏÉÓÎ½£a1.spr	\image\item\other\ÏÉÓÎ½£a0.spr	"TriÖu håi Tiªn Du KiÕm, cã thÓ khiÕn Ngù KiÕm Phi Hµnh <color=yellow> (®©y lµ thó c­ìi ®Æc thï, khi c­ìi kh«ng thÓ sö dông kü n¨ng)"	ÏÉÓÎ½£	M· Bµi	\script\item\yujian.lua	7		0		10000	999
Th¸i Thanh V« TrÇn KiÕm	0	105	10111	10	100000	0	10000							1				\image\item\other\Ì«ÇåÎŞ³¾½£a1.spr	\image\item\other\Ì«ÇåÎŞ³¾½£a0.spr	"TriÖu håi Th¸i Thanh V« TrÇn KiÕm, cã thÓ khiÕn Ngù KiÕm Phi Hµnh <color=yellow> (®©y lµ thó c­ìi ®Æc thï, khi c­ìi kh«ng thÓ sö dông kü n¨ng)"	Ì«ÇåÎŞ³¾½£	M· Bµi	\script\item\yujian.lua	7		0		10000	999
Tö Ngäc Tr­êng Phong	0	105	10112	10	100000	0	10000							1				\image\item\other\×ÏÓñ³¤·æa1.spr	\image\item\other\×ÏÓñ³¤·æa0.spr	"TriÖu håi Tö Ngäc Tr­êng Phong, cã thÓ khiÕn Ngù KiÕm Phi Hµnh <color=yellow> (®©y lµ thó c­ìi ®Æc thï, khi c­ìi kh«ng thÓ sö dông kü n¨ng)"	×ÏÓñ³¤·æ	M· Bµi	\script\item\yujian.lua	7		0		10000	999
Kim Gi¸p Xİch L©n ThÇn Léc	0	105	10120	10	100000	0	10000							1				\image\item\horse\Ã·»¨Â¹£¨»Æ£©a1.spr	\image\item\horse\Ã·»¨Â¹£¨»Æ£©a0.spr	"§©y lµ lo¹i thó mµ c¸c th­ sinh sÜ tö ®Òu rÊt ­a thİch. <color=yellow> (lo¹i thó c­ìi ®Æc thï nµy, khi c­ìi th× kh«ng thÓ sö dông kü n¨ng)"	Ã·»¨Â¹£¨»Æ£©	M· Bµi		7		0		10000	999
Thñy Kú LÇn	0	105	30002	10	100000	0	10000							1				\image\item\horse\Óñ÷è÷ëa1.spr	\image\item\horse\Óñ÷è÷ëa0.spr	"Thñy Kú L©n, t­îng tr­ng hßa b×nh, thŞnh v­îng, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	Ë®÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4		0			
Ngäc Kú L©n	0	105	30003	10	100000	0	10000							1				\image\item\horse\longlv_.spr	\image\item\horse\longlv.spr	"Ngäc Kú L©n, t­îng tr­ng cao nh·, may m¾n, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	Óñ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4		0			
Háa Kú L©n	0	105	30004	10	100000	0	10000							1				\image\item\horse\»ğ÷è÷ëa1.spr	\image\item\horse\»ğ÷è÷ëa0.spr	"Háa Kú L©n, t­îng tr­ng qu©n uy, quyÒn lùc, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	»ğ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4		0			
Cæ D­¬ng Thó	0	105	30005	10	100000	0	10000							1				\image\item\horse\qiling_.spr	\image\item\horse\qiling.spr	"Cæ D­¬ng Thó, linh thó truyÒn thuyÕt trong Cæ D­¬ng §éng víi søc m¹nh khuynh ®¶o thÇn th«ng, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	¹ÅÑôÊŞ	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4		0			
Kim Mao Ng­u	0	105	30006	10	100000	0	10000							1				\image\item\horse\niou_huang_.spr	\image\item\horse\niou_huang.spr	"Kim Mao Ng­u, th©n phñ l«ng mao khiÕt b¹ch hoang hoµng kim, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	êóÅ£3	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4		0			
Hång Mao Ng­u	0	105	30007	10	100000	0	10000							1				\image\item\horse\niou_hong_.spr	\image\item\horse\niou_hong.spr	"Hång Mao Ng­u, th©n phñ l«ng mao khiÕt b¹ch hång háa, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	êóÅ£	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4		0			
Lam Mao Ng­u	0	105	30008	10	100000	0	10000							1				\image\item\horse\niou_lan_.spr	\image\item\horse\niou_lan.spr	"Lam Mao Ng­u, th©n phñ l«ng mao lam h¶i, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	êóÅ£2	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4		0			
B¹ch Hæ	0	105	30009	10	100000	0	10000							1				\image\item\horse\baihu_.spr	\image\item\horse\baihu.spr	"Hæ Tr¾ng, tr©n thó quı hiÕm thÕ gian khã gÆp, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	»¢3	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4		0			
Hoµng Hæ	0	105	30010	10	100000	0	10000							1				\image\item\horse\»Æ»¢a1.spr	\image\item\horse\»Æ»¢a0.spr	"Hæ Vµng, chóa tÓ s¬n l©m, v¹n thó chi v­¬ng, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	»¢2	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4		0			
H¾c Hæ	0	105	30011	10	100000	0	10000							1				\image\item\horse\ºÚ»¢a1.spr	\image\item\horse\ºÚ»¢a0.spr	"Hæ §en, th­îng cæ thÇn thó bŞ Hæ ThÇn ®µy ¶i ®Şa giíi, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	»¢1	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4		0			
B¸o Tr¾ng	0	105	30012	10	100000	0	10000							1				\image\item\horse\baobai_.spr	\image\item\horse\baobai.spr	"B¸o Tr¾ng, chóa tÓ vïng nói tuyÕt l«ng vò tr¾ng xãa, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	±ª×Ó2	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4		0			
