MaxLevel	Attribute_1	Event_1	LastTime_1	Value_1	Rate_1	Attribute_2	Event_2	LastTime_2	Value_2	Rate_2	Attribute_3	Event_3	LastTime_3	Value_3	Rate_3	ActiveTime	Description
1	state_aogu_point_add			200,200		state_element_all_attack_point_add			60,60		state_element_all_defend_point_add			60,60			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			180,180		state_element_all_attack_point_add			60,60		state_element_all_defend_point_add			60,60			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			160,160		state_element_all_attack_point_add			40,40		state_element_all_defend_point_add			40,40			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			140,140		state_element_all_attack_point_add			40,40		state_element_all_defend_point_add			40,40			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			120,120		state_element_all_attack_point_add			30,30		state_element_all_defend_point_add			30,30			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			100,100		state_element_all_attack_point_add			30,30		state_element_all_defend_point_add			30,30			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			80,80		state_element_all_attack_point_add			20,20		state_element_all_defend_point_add			20,20			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			60,60		state_element_all_attack_point_add			20,20		state_element_all_defend_point_add			20,20			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			40,40		state_element_all_attack_point_add			10,10		state_element_all_defend_point_add			10,10			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			20,20		state_element_all_attack_point_add			10,10		state_element_all_defend_point_add			10,10			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_m_attack_percent_add			50,50		state_p_attack_percent_add			50,50		state_damage_point			1000,1000			内外攻伤害提高/1%<enter>伤害增加/3
4	state_m_attack_percent_add			10,40		state_p_attack_percent_add			10,40		state_damage_point			200,800			内外攻伤害提高/1%<enter>伤害增加/3
1	state_aogu_point_add			320,320		state_element_all_attack_point_add			100,100		state_element_all_defend_point_add			100,100			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			280,280		state_element_all_attack_point_add			80,80		state_element_all_defend_point_add			80,80			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			260,260		state_element_all_attack_point_add			80,80		state_element_all_defend_point_add			80,80			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			240,240		state_element_all_attack_point_add			80,80		state_element_all_defend_point_add			80,80			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			220,220		state_element_all_attack_point_add			60,60		state_element_all_defend_point_add			60,60			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			200,200		state_element_all_attack_point_add			60,60		state_element_all_defend_point_add			60,60			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			180,180		state_element_all_attack_point_add			40,40		state_element_all_defend_point_add			40,40			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			160,160		state_element_all_attack_point_add			40,40		state_element_all_defend_point_add			40,40			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			140,140		state_element_all_attack_point_add			30,30		state_element_all_defend_point_add			30,30			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			120,120		state_element_all_attack_point_add			30,30		state_element_all_defend_point_add			30,30			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			100,100		state_element_all_attack_point_add			20,20		state_element_all_defend_point_add			20,20			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			80,80		state_element_all_attack_point_add			20,20		state_element_all_defend_point_add			20,20			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			60,60		state_element_all_attack_point_add			10,10		state_element_all_defend_point_add			10,10			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			40,40		state_element_all_attack_point_add			10,10		state_element_all_defend_point_add			10,10			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			30,30		state_element_all_attack_point_add			10,10		state_element_all_defend_point_add			10,10			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			20,20		state_element_all_attack_point_add			10,10		state_element_all_defend_point_add			10,10			傲骨点数增加/1<enter>全五行攻防属性增加/2
1	state_aogu_point_add			10,10		state_element_all_attack_point_add			10,10		state_element_all_defend_point_add			10,10			傲骨点数增加/1<enter>全五行攻防属性增加/2
