ID	Name	Level	Condition	ColdDown	CheckDisplayCycle	CheckExpiredCycle	ActiveSoundMale	ActiveSoundFemale	ActiveEffect	ActiveEffectPos
17	eff17	5	2012Äê¶ÈÖĞ¼¶vip×¨ÓÃ	30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
18	eff18	5	2012Äê¶È¸ß¼¶vip×¨ÓÃ	30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
19	eff19	5	2012Äê¶ÈÉñ¼¶vip×¨ÓÃ	30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
20	eff20	5	2012Äê¶ÈµÍ¼¶vip×¨ÓÃ	30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
21	eff21	5	2012Äê¶ÈÖĞ¼¶vip×¨ÓÃ	30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
22	eff22	5	2012Äê¶È¸ß¼¶vip×¨ÓÃ	30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
23	eff23	5	2012Äê¶ÈÉñ¼¶vip×¨ÓÃ	30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
24	eff24	5	2012Äê¶ÈµÍ¼¶vip×¨ÓÃ	30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
25	eff25	5	2012Äê¶ÈÖĞ¼¶vip×¨ÓÃ	30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
26	eff26	5	2012Äê¶È¸ß¼¶vip×¨ÓÃ	30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
27	eff27	5	2012Äê¶ÈÉñ¼¶vip×¨ÓÃ	30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
28	eff28	5		30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
29	eff29	5		30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
30	eff30	5		30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
31	eff31	5		30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
32	eff32	5		30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
33	eff33	5		30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
34	eff34	5		30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
35	eff35	5		30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
36	eff36	5		30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
37	eff37	5		30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
38	eff38	5		30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
39	eff39	5		30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
40	eff40	5		30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
41	eff41	5		30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
42	eff42	5		30	43200	43200	sound\rol_ma1_a1.wav	sound\rol_fm2_a2.wav	image\effect\sfx\ÆäËû\¿ªÆôÎäÆ÷_ÉÁµç.3e	0
