Account	Name	Route	TransLife	Level	IBCost	Money	A	B	C	D	E	F	Exp	Last_IP	CreateDate	LastLoginDate
namti20117	12312312asd	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	14.244.136.236	2019-09-26 14:05:59	2019-09-26 14:06:33
namti20116	123123asd	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	14.244.136.236	2019-09-26 13:45:22	2019-09-26 13:45:49
clone10	123123qwead	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.163.156.70	2019-09-26 13:58:09	2019-09-26 13:59:25
toolest6	12312415	D≠¨ng M´n Cung K˛  	0	90	0	0	0	0	0	0	0	0	0	171.229.100.233	2019-09-26 13:56:12	2019-09-26 13:56:30
clone16	12312az	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.163.156.70	2019-09-26 14:12:11	2019-09-26 14:12:30
giomuadongbac1	12312casd	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	42.113.197.178	2019-09-26 13:48:01	2019-09-26 13:48:24
giomuadongbac	1231312	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	42.113.197.178	2019-09-26 13:44:14	2019-09-26 13:44:38
trihao1	123213	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.161.198.40	2019-09-26 13:30:47	2019-09-26 13:31:12
trihao2	123213111	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.161.198.40	2019-09-26 13:34:52	2019-09-26 13:37:56
satuyen	12321321312	Thi’u L©m v‚ t®ng  	0	90	0	4	0	0	0	0	0	0	0	113.177.73.163	2019-09-26 14:13:43	2019-09-26 14:14:03
giomuadongbac2	12321acx	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	42.113.197.178	2019-09-26 13:49:08	2019-09-26 13:49:57
giomuadongbac2	12321dzx	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	42.113.197.178	2019-09-26 13:50:40	2019-09-26 13:51:17
trihao3	12321qweqwe	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.161.198.40	2019-09-26 13:48:52	2019-09-26 13:49:30
laogiamin	1233qwewqe	D≠¨ng M´n Cung K˛  	0	90	0	0	0	0	0	0	0	0	0	123.17.28.15	2019-09-26 13:23:24	2019-09-26 13:24:40
cuongdau1x	123456	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	14.190.44.182	2019-09-26 13:05:37	2019-09-26 13:06:18
namti20119	12345678a	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	14.244.136.236	2019-09-26 14:20:07	2019-09-26 14:20:49
namti20119	12345678i	Thi’u L©m v‚ t®ng  	0	90	0	1	0	0	0	0	0	0	0	14.244.136.236	2019-09-26 14:21:44	2019-09-26 14:22:18
namti20119	12345678q	Thi’u L©m v‚ t®ng  	0	90	0	1	0	0	0	0	0	0	0	14.244.136.236	2019-09-26 14:16:39	2019-09-26 14:17:24
clone17	1236asdcfhtr54	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.163.156.70	2019-09-26 14:19:12	2019-09-26 14:20:09
clone13	1237834587937849	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.163.156.70	2019-09-26 14:05:04	2019-09-26 14:05:23
clone14	123aaaaaaaaaaaaa	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.163.156.70	2019-09-26 14:06:27	2019-09-26 14:06:45
clone15	123aaddddd	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.163.156.70	2019-09-26 14:10:13	2019-09-26 14:10:38
clone12	123ad123123	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.163.156.70	2019-09-26 14:02:43	2019-09-26 14:03:04
clone11	123asd111	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.163.156.70	2019-09-26 14:00:11	2019-09-26 14:00:32
clone30	123asd12	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.163.156.70	2019-09-26 13:55:39	2019-09-26 13:56:03
namti20118	123asd123412	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	14.244.136.236	2019-09-26 14:10:08	2019-09-26 14:11:34
namti20118	123asd123asd	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	14.244.136.236	2019-09-26 14:12:30	2019-09-26 14:13:29
namti20118	123asd123asdasd	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	14.244.136.236	2019-09-26 14:14:41	2019-09-26 14:15:23
namti20117	123asd123we	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	14.244.136.236	2019-09-26 13:58:34	2019-09-26 14:00:12
clone26	123asd23	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.163.156.70	2019-09-26 13:50:00	2019-09-26 13:50:19
dinhnghia38	123ASDA	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	27.2.208.147	2019-09-26 14:03:07	2019-09-26 14:04:59
test12345vn	123asdasdasd	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	1.53.53.163	2019-09-26 13:50:55	2019-09-26 13:51:13
giomuadongbac2	123axcz	C∏i Bang T‹nh y  	0	90	0	0	0	0	0	0	0	0	0	42.113.197.178	2019-09-26 13:52:21	2019-09-26 13:52:40
clone17	123axzcwdwe	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.163.156.70	2019-09-26 13:34:39	2019-09-26 13:35:17
tiensinh034	123bvas1	V‚ ßang tÙc gia  	0	90	0	7980000	0	0	0	0	0	0	1400000	116.98.67.160	2019-09-26 13:05:45	2019-09-26 13:31:40
test123vn	123dsfsd	Thi’u L©m v‚ t®ng  	0	90	0	99000	0	0	0	0	0	0	0	1.53.53.163	2019-09-26 13:18:39	2019-09-26 13:19:02
clone29	123ghjfg123	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.163.156.70	2019-09-26 13:54:10	2019-09-26 13:54:39
cayvang	123qwewq1	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	171.224.179.173	2019-09-26 13:13:39	2019-09-26 13:14:02
duy123vn	123sdfsdf	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	1.53.53.163	2019-09-26 13:44:07	2019-09-26 13:44:34
dinhnghia37	123SUTVACDIE	Thi’u L©m v‚ t®ng  	0	90	0	2300000	0	0	0	0	0	0	400000	27.2.208.147	2019-09-26 13:38:53	2019-09-26 13:39:36
dinhnghia37	123ZAAHIHI	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	27.2.208.147	2019-09-26 13:30:35	2019-09-26 13:31:31
clone19	123zdz12312515	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.163.156.70	2019-09-26 14:23:41	2019-09-26 14:23:59
nsnl13022	124121	V‚ ßang tÙc gia  	0	90	0	100000	0	0	0	0	0	0	0	27.71.206.63	2019-09-26 13:09:57	2019-09-26 13:11:24
clone16	124sad5a	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.163.156.70	2019-09-26 13:33:27	2019-09-26 14:11:57
nsnl13022	125125125	V‚ ßang Æπo gia  	0	90	0	0	0	0	0	0	0	0	0	27.71.206.63	2019-09-26 13:15:16	2019-09-26 13:17:31
test12345vn	12asd123	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	1.53.53.163	2019-09-26 13:48:46	2019-09-26 13:53:30
test1234vn	12asdasd	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	1.53.53.163	2019-09-26 13:40:25	2019-09-26 13:40:47
huyco1999	12c1cdd1	D≠¨ng M´n Cung K˛  	0	90	0	0	0	0	0	0	0	0	0	116.118.53.52	2019-09-26 13:47:19	2019-09-26 13:47:40
cayvang6	12e1212	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	171.224.179.173	2019-09-26 13:29:00	2019-09-26 13:29:14
cayvang8	12e1223	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	171.224.179.173	2019-09-26 13:34:15	2019-09-26 13:34:38
cayvang9	12e1231e212	V‚ ßang tÙc gia  	0	90	0	0	0	0	0	0	0	0	0	171.224.179.173	2019-09-26 13:36:24	2019-09-26 13:36:39
cayvang7	12e12e12	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	171.224.179.173	2019-09-26 13:31:34	2019-09-26 13:32:45
cayvang9	12e21321	Thi’u L©m thi“n t®ng  	0	90	0	0	0	0	0	0	0	0	0	171.224.179.173	2019-09-26 13:37:10	2019-09-26 13:37:29
cayvang0	12eqwe12	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	171.224.179.173	2019-09-26 13:16:16	2019-09-26 13:16:41
giomuadongbac1	12sadsa	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	42.113.197.178	2019-09-26 13:46:09	2019-09-26 13:46:28
cayvang7	1eqweqe1	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	171.224.179.173	2019-09-26 13:30:58	2019-09-26 13:31:14
nhuttan	1ewqewqe	Nga My tÙc gia  	0	90	0	0	0	0	0	0	0	0	0	115.74.200.85	2019-09-26 13:34:02	2019-09-26 13:34:29
rmawkghkd	1PhÛtAndiez	V‚ ßang tÙc gia  	7	90	0	47000	0	0	0	0	0	0	39	1.53.161.57	2019-09-26 13:33:41	2019-09-26 13:44:51
longhuong	1stDaiSuHuynh	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	42.118.8.4	2019-09-26 13:38:09	2019-09-26 13:38:25
phongemga113	1stGaLai	Thi’u L©m v‚ t®ng  	7	90	0	100000	0	0	0	0	0	0	0	113.184.99.93	2019-09-26 13:25:22	2019-09-26 13:29:12
longhuong	1stLongIdol	Thi’u L©m v‚ t®ng  	7	90	0	100000	0	0	0	0	0	0	0	123.16.79.92	2019-09-26 13:26:01	2019-09-26 14:00:34
longhuong	1stNgoanHien	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	42.118.8.4	2019-09-26 13:37:13	2019-09-26 13:37:35
ozevip123456	1tunhyeu	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	180.93.252.153	2019-09-26 13:47:53	2019-09-26 13:48:16
lvducht	1Vac1Mang	Thi’u L©m v‚ t®ng  	7	90	0	100000	0	0	0	0	0	0	0	14.161.50.53	2019-09-26 14:17:24	2019-09-26 14:22:39
toolest5	21212121	ß≠Íng M´n phÊ th´ng  	0	90	0	0	0	0	0	0	0	0	0	171.229.100.233	2019-09-26 13:44:07	2019-09-26 13:57:28
trihao1	21312qweqw	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.161.198.40	2019-09-26 13:22:54	2019-09-26 13:23:39
truong4	21313123	D≠¨ng M´n Cung K˛  	7	90	0	0	0	0	0	0	0	0	0	117.7.98.114	2019-09-26 14:13:19	2019-09-26 14:14:04
trihao3	21321eqwqwe111	Thi’u L©m v‚ t®ng  	7	90	0	4310000	0	0	0	0	0	0	600001	113.161.198.40	2019-09-26 13:50:15	2019-09-26 13:53:16
cayvang1	21e12e1	V‚ ßang Æπo gia  	0	90	0	0	0	0	0	0	0	0	0	171.224.179.173	2019-09-26 13:18:46	2019-09-26 13:19:05
nhuthikhong999	222222	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	171.243.251.52	2019-09-26 13:25:15	2019-09-26 13:25:40
chosoihatam666	2222222	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	171.243.251.52	2019-09-26 13:25:20	2019-09-26 13:31:05
123456	2222222222	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	1.52.58.91	2019-09-26 13:48:15	2019-09-26 13:48:48
chosoihatam666	2233333	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	171.243.251.52	2019-09-26 13:26:03	2019-09-26 13:34:26
tuyensa1	2314123412321	Thi’u L©m v‚ t®ng  	0	90	0	2	0	0	0	0	0	0	0	113.177.73.163	2019-09-26 13:46:24	2019-09-26 13:47:13
123456	23232233223	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	1.52.58.91	2019-09-26 13:53:04	2019-09-26 13:54:24
tamtinhtoan2000	2331113	Nga My xu t gia  	7	90	0	0	0	0	0	0	0	0	4000018	113.160.220.211	2019-09-26 13:34:33	2019-09-26 13:38:46
nsnl13023	2335bvbb	Thi’u L©m v‚ t®ng  	0	90	0	50000	0	0	0	0	0	0	0	27.71.206.63	2019-09-26 13:19:15	2019-09-26 13:19:43
quang2110199666	234234asd	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	118.69.187.143	2019-09-26 13:27:20	2019-09-26 13:31:19
tuyensa1	23432432	Nga My xu t gia  	0	90	0	0	0	0	0	0	0	0	0	113.177.73.163	2019-09-26 13:47:45	2019-09-26 13:48:33
tuyensa1	234324321231	Nga My xu t gia  	0	90	0	0	0	0	0	0	0	0	0	113.177.73.163	2019-09-26 13:49:13	2019-09-26 13:49:41
0866719462	2345342534	Thi’u L©m v‚ t®ng  	7	90	0	100000	0	0	0	0	0	0	0	1.52.58.91	2019-09-26 13:10:22	2019-09-26 13:10:47
ozevip321	23453rfr	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	180.93.252.153	2019-09-26 13:33:49	2019-09-26 13:35:43
cuongdau1x	25251325	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	14.190.44.182	2019-09-26 13:07:01	2019-09-26 13:20:30
cayvang01	2e1e1222	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	171.224.179.173	2019-09-26 13:39:05	2019-09-26 13:39:23
namngu1	31231213	Nga My tÙc gia  	0	90	0	0	0	0	0	0	0	0	0	115.74.200.85	2019-09-26 13:39:07	2019-09-26 13:39:38
namngu1	3123123	Nga My tÙc gia  	0	90	0	0	0	0	0	0	0	0	0	115.74.200.85	2019-09-26 13:38:15	2019-09-26 13:38:33
nhuttan	312312312	Nga My xu t gia  	0	90	0	0	0	0	0	0	0	0	0	115.74.200.85	2019-09-26 13:37:11	2019-09-26 13:37:12
namngu1	3123131231	Nga My tÙc gia  	0	90	0	0	0	0	0	0	0	0	0	115.74.200.85	2019-09-26 13:40:01	2019-09-26 13:40:27
toolest5	31231312414	C∏i Bang T‹nh y  	0	90	0	0	0	0	0	0	0	0	0	171.229.100.233	2019-09-26 13:46:14	2019-09-26 13:59:30
gameviet24h7x1	312323	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.167.195.143	2019-09-26 13:35:38	2019-09-26 13:36:04
giomuadongbac1	3123aada	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	42.113.197.178	2019-09-26 13:47:03	2019-09-26 13:47:25
dongdubai2	31241251	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.182.193.238	2019-09-26 13:54:07	2019-09-26 13:54:36
toolest6	31415151	D≠¨ng M´n th≠¨ng K˛  	0	90	0	98500	0	0	0	0	0	0	0	171.229.100.233	2019-09-26 13:50:41	2019-09-26 13:52:47
vanhieulc114	3232323	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.160.150.63	2019-09-26 13:48:05	2019-09-26 13:55:10
12345671	3243454353	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	1.52.58.91	2019-09-26 14:01:15	2019-09-26 14:01:39
0866719462a2	324535345	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	1.52.58.91	2019-09-26 13:41:22	2019-09-26 13:42:31
ozevip3211	324543	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	180.93.252.153	2019-09-26 13:39:15	2019-09-26 13:39:44
duy12345vn	324dfgdfsg	Thi’u L©m v‚ t®ng  	0	90	0	97500	0	0	0	0	0	0	0	1.53.53.163	2019-09-26 14:08:27	2019-09-26 14:11:28
nsnl130214	32w4twrgere	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	27.71.206.63	2019-09-26 14:12:41	2019-09-26 14:14:13
nuhoangkim5	33333333333	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	14.188.82.220	2019-09-26 13:34:41	2019-09-26 13:34:58
vanhieulc116	334343434	Thi’u L©m v‚ t®ng  	0	90	0	100000	0	0	0	0	0	0	0	113.160.150.63	2019-09-26 14:04:02	2019-09-26 14:11:22
12345671	3423432	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	1.52.58.91	2019-09-26 14:09:25	2019-09-26 14:10:17
0866719462a	342343534	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	1.52.58.91	2019-09-26 13:28:23	2019-09-26 13:34:50
vanhieulc115	34343434	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.160.150.63	2019-09-26 14:00:13	2019-09-26 14:01:45
0866719462a3	3434343434	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	1.52.58.91	2019-09-26 13:45:38	2019-09-26 13:46:02
nsnl13022	3434h3h	Hi÷p ßÈc  	0	90	0	0	0	0	0	0	0	0	0	27.71.206.63	2019-09-26 13:12:18	2019-09-26 13:12:48
0866719462a2	3453453	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	1.52.58.91	2019-09-26 13:42:51	2019-09-26 13:43:16
0866719462a	3454355	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	1.52.58.91	2019-09-26 13:32:19	2019-09-26 13:33:31
ozevip3211	345dsf	V‚ ßang tÙc gia  	0	90	0	97000	0	0	0	0	0	0	0	180.93.252.153	2019-09-26 13:43:58	2019-09-26 13:49:01
dongdubai3	346fgdhd	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.182.193.238	2019-09-26 13:59:52	2019-09-26 14:00:14
nsnl13028	34g3gehg	Nga My xu t gia  	0	90	0	0	0	0	0	0	0	0	0	27.71.206.63	2019-09-26 13:47:34	2019-09-26 13:49:39
nsnl13027	34gergdfh	Nga My xu t gia  	0	90	0	0	0	0	0	0	0	0	0	27.71.206.63	2019-09-26 13:38:48	2019-09-26 13:39:12
nsnl130210	34t3eyery	Nga My xu t gia  	0	90	0	0	0	0	0	0	0	0	0	27.71.206.63	2019-09-26 13:58:00	2019-09-26 13:58:44
nsnl13025	34y34ryert	Nga My xu t gia  	0	90	0	0	0	0	0	0	0	0	0	27.71.206.63	2019-09-26 13:35:18	2019-09-26 13:36:01
nsnl130214	3535he45j	Thi’u L©m thi“n t®ng  	0	90	0	0	0	0	0	0	0	0	0	27.71.206.63	2019-09-26 14:16:57	2019-09-26 14:17:23
toolest6	3545523	C∏i Bang § Y  	0	90	0	0	0	0	0	0	0	0	0	171.229.100.233	2019-09-26 13:49:28	2019-09-26 13:53:59
dongdubai3	35fdgdfg	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.182.193.238	2019-09-26 13:56:19	2019-09-26 13:58:58
dinhnghia36	35xGaiNghanh	Nga My xu t gia  	7	90	0	3045500	0	0	0	0	0	0	400019	27.2.208.147	2019-09-26 13:02:11	2019-09-26 13:42:56
dinhnghia35	35xLinhNghanh	Thi’u L©m v‚ t®ng  	7	90	0	11310000	0	0	0	0	0	0	1800022	27.2.208.147	2019-09-26 13:01:22	2019-09-26 13:05:19
0866719462a3	4234234434	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	1.52.58.91	2019-09-26 13:44:49	2019-09-26 13:45:09
zoko661	43354dffg	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	1.53.53.163	2019-09-26 13:15:01	2019-09-26 13:28:22
12345671	4343434	V‚ ßang Æπo gia  	0	90	0	0	0	0	0	0	0	0	0	1.52.58.91	2019-09-26 13:58:51	2019-09-26 13:59:59
truong2	4344324343	Thi’u L©m v‚ t®ng  	7	90	0	0	0	0	0	0	0	0	0	117.7.98.114	2019-09-26 14:03:14	2019-09-26 14:04:00
0866719462a3	4353456345	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	1.52.58.91	2019-09-26 13:43:53	2019-09-26 13:44:15
nuhoangkim5	444444	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	14.188.82.220	2019-09-26 13:36:15	2019-09-26 13:38:20
ozevip3211	453645	Thi’u L©m v‚ t®ng  	0	90	0	18500	0	0	0	0	0	0	0	180.93.252.153	2019-09-26 13:40:37	2019-09-26 13:42:59
0866719462a1	454543535	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	1.52.58.91	2019-09-26 13:39:31	2019-09-26 13:39:52
truong3	4545454543543	V´ m´n ph∏i  	0	1	0	0	0	0	0	0	0	0	0	117.7.98.114	2019-09-26 14:12:48	2019-09-26 14:12:49
vanhieulc115	4545454545	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.160.150.63	2019-09-26 13:57:14	2019-09-26 13:58:32
kkkunghia1	4564545645	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	14.227.134.44	2019-09-26 13:12:01	2019-09-26 13:27:08
mrteo5	456456gf	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	14.182.197.232	2019-09-26 13:51:10	2019-09-26 13:51:26
3555x111	456785	C∏i Bang T‹nh y  	0	90	0	0	0	0	0	0	0	0	0	123.20.26.141	2019-09-26 14:02:55	2019-09-26 14:04:31
duy1234vn	456dfgdfg	Thi’u L©m v‚ t®ng  	0	90	0	96000	0	0	0	0	0	0	0	1.53.53.163	2019-09-26 13:57:19	2019-09-26 14:02:30
mrteo5	48978hh5	Thi’u L©m v‚ t®ng  	0	90	0	400	0	0	0	0	0	0	0	14.182.197.232	2019-09-26 13:53:31	2019-09-26 13:53:55
3555x111	4967496	Nga My xu t gia  	0	90	0	0	0	0	0	0	0	0	0	123.20.26.141	2019-09-26 14:01:05	2019-09-26 14:01:28
nsnl13023	4gweherh	V´ m´n ph∏i  	0	1	0	0	0	0	0	0	0	0	0		2019-09-26 13:23:30	1970-01-01 08:00:00
nsnl13023	4gweherhe	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	27.71.206.63	2019-09-26 13:23:44	2019-09-26 13:24:03
nsnl13029	4t34e3ryer	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	27.71.206.63	2019-09-26 13:55:06	2019-09-26 13:55:40
dongdubai	532336	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.182.193.238	2019-09-26 13:31:22	2019-09-26 13:33:45
0866719462a	534534567	Thi’u L©m v‚ t®ng  	0	90	0	400000	0	0	0	0	0	0	0	1.52.58.91	2019-09-26 13:24:46	2019-09-26 13:35:18
0866719462a1	54645645	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	1.52.58.91	2019-09-26 13:37:25	2019-09-26 13:38:38
gameviet24h7x1	555555	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.167.195.143	2019-09-26 13:37:47	2019-09-26 13:38:14
nhtl04949696	5DOCCCCCC	Hi÷p ßÈc  	7	90	0	354740	0	0	0	0	0	0	22	42.118.117.230	2019-09-26 13:13:43	2019-09-26 13:14:02
thanhtru2k11	5dtapchoi	Hi÷p ßÈc  	7	90	0	98500	0	0	0	0	0	0	0	14.167.7.126	2019-09-26 13:50:04	2019-09-26 14:09:39
mrteo2	678767876G	Thi’u L©m v‚ t®ng  	0	90	0	2	0	0	0	0	0	0	0	14.182.197.232	2019-09-26 13:27:10	2019-09-26 13:29:09
3555x111	6846768a	Nga My tÙc gia  	0	90	0	0	0	0	0	0	0	0	0	123.20.26.141	2019-09-26 13:59:39	2019-09-26 14:00:12
0866719462a1	75675675	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	1.52.58.91	2019-09-26 13:35:54	2019-09-26 13:36:16
0866719462a2	77667777	Thi’u L©m thi“n t®ng  	0	90	0	0	0	0	0	0	0	0	0	1.52.58.91	2019-09-26 13:40:20	2019-09-26 13:40:55
mrteo4	78678hj	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	14.182.197.232	2019-09-26 13:42:46	2019-09-26 13:43:21
