=============================Item Count==============================
sItem Name	nItem ID	nItem Detail Id	nItem Particular Id	nItem Count
 ThiÒn TÞnh bµo - Nam	0	100	321	0
 ThiÒn TÞnh bµo - Nam	0	100	322	0
 TruyÒn Kinh ThiÒn TÞ	0	8	321	0
 TruyÒn Kinh ThiÒn TÞ	0	8	322	0
 TruyÒn Kinh ThiÒn TÞ	0	102	321	0
 TruyÒn Kinh ThiÒn TÞ	0	102	322	0
 TruyÒn Kinh ThiÒn TÞ	0	102	323	0
 TruyÒn Kinh ThiÒn TÞ	0	102	324	0
 Nh­ Lai Dao Th­êng -	0	100	371	0
 Nh­ Lai Dao Th­êng -	0	100	372	0
 Nh­ Lai Dao Qu¸n - N	0	103	371	0
 Nh­ Lai Dao Qu¸n - N	0	103	372	0
 Nh­ Lai Dao Tr­îng -	0	8	371	0
 Nh­ Lai Dao Tr­îng -	0	8	372	0
 Nh­ Lai Dao Trang - 	0	101	371	0
 Nh­ Lai Dao Trang - 	0	101	372	0
 Nh­ Lai Dao Béi - Na	0	102	371	0
 Nh­ Lai Dao Béi - Na	0	102	372	0
 Nh­ Lai D­¬ng Th­êng	0	100	351	0
 Nh­ Lai D­¬ng Th­êng	0	100	352	0
 Nh­ Lai D­¬ng Qu¸n -	0	103	351	0
 Nh­ Lai D­¬ng Qu¸n -	0	103	352	0
 Nh­ Lai D­¬ng Tr­îng	0	8	351	0
 Nh­ Lai D­¬ng Tr­îng	0	8	352	0
 Nh­ Lai D­¬ng Trang 	0	101	351	0
 Nh­ Lai D­¬ng Trang 	0	101	352	0
 Nh­ Lai D­¬ng Béi - 	0	102	351	0
 Nh­ Lai D­¬ng Béi - 	0	102	352	0
 Sa Di phôc - Nam tiª	0	101	401	0
 Sa Di phôc - Nam kh«	0	101	402	0
 Sa Di Hé UyÓn - Nam 	0	0	401	0
 Sa Di Hé UyÓn - Nam 	0	0	402	0
 Sa Di m·o - Nam tiªu	0	103	401	0
 Sa Di m·o - Nam kh«i	0	103	402	0
 Sa Di Phôc - Nam tiª	0	100	401	0
 Sa Di Phôc - Nam kh«	0	100	402	0
 §Êu T¨ng Bµn ChØ - N	0	102	411	0
 §Êu T¨ng Bµn ChØ - N	0	102	412	0
 §Êu T¨ng phôc - Nam 	0	101	411	0
 §Êu T¨ng phôc - Nam 	0	101	412	0
 §Êu T¨ng m·o - Nam t	0	103	411	0
 §Êu T¨ng m·o - Nam k	0	103	412	0
 §Êu T¨ng QuyÒn S¸o -	0	0	411	0
 §Êu T¨ng QuyÒn S¸o -	0	0	412	0
 §Êu T¨ng phôc - Nam 	0	100	411	0
 §Êu T¨ng phôc - Nam 	0	100	412	0
 §Êu KhÝ ChiÕn y - Na	0	101	421	0
 §Êu KhÝ ChiÕn y - Na	0	101	422	0
 §Êu KhÝ phôc - Nam t	0	100	421	0
 §Êu KhÝ phôc - Nam k	0	100	422	0
 Hé Ph¸p La H¸n kh«i 	0	103	421	0
 Hé Ph¸p La H¸n kh«i 	0	103	422	0
 Hé Ph¸p La H¸n_§Êu K	0	0	421	0
 Hé Ph¸p La H¸n_§Êu K	0	0	422	0
 Hé Ph¸p La H¸n §Êu K	0	102	421	0
 Hé Ph¸p La H¸n §Êu K	0	102	422	0
 Hé Ph¸p La H¸n §Êu K	0	102	423	0
 Hé Ph¸p La H¸n §Êu K	0	102	424	0
 La H¸n Dao Th­êng - 	0	100	471	0
 La H¸n Dao Th­êng - 	0	100	472	0
 La H¸n Dao Qu¸n - Na	0	103	471	0
 La H¸n Dao Qu¸n - Na	0	103	472	0
 La H¸n Dao Thñ - Nam	0	0	471	0
 La H¸n Dao Thñ - Nam	0	0	472	0
 La H¸n Dao Trang - N	0	101	471	0
 La H¸n Dao Trang - N	0	101	472	0
 La H¸n Dao Béi - Nam	0	102	471	0
 La H¸n Dao Béi - Nam	0	102	472	0
 La H¸n D­¬ng Th­êng 	0	100	451	0
 La H¸n D­¬ng Th­êng 	0	100	452	0
 La H¸n D­¬ng Qu¸n - 	0	103	451	0
 La H¸n D­¬ng Qu¸n - 	0	103	452	0
 La H¸n D­¬ng Thñ - N	0	0	451	0
 La H¸n D­¬ng Thñ - N	0	0	452	0
 La H¸n D­¬ng Trang -	0	101	451	0
 La H¸n D­¬ng Trang -	0	101	452	0
 La H¸n D­¬ng Béi - N	0	102	451	0
 La H¸n D­¬ng Béi - N	0	102	452	0
 T­ Khóc Tè Y - N÷ gî	0	100	901	0
 T­ Khóc Tè Y - KiÒu 	0	100	902	0
 T­ Khóc - N÷ gîi c¶m	0	103	901	0
    T­ Khóc - KiÒu n÷	0	103	902	0
 T­ Khóc Tè CÇm - N÷ 	0	10	901	0
 T­ Khóc Tè CÇm - KiÒ	0	10	902	0
 T­ Khóc phôc - N÷ gî	0	101	901	0
 T­ Khóc phôc - KiÒu 	0	101	902	0
 Ph¹n ¢m Tè Y - N÷ gî	0	100	911	0
 Ph¹n ¢m Tè Y - KiÒu 	0	100	912	0
 Ph¹n ¢m - N÷ gîi c¶m	0	103	911	0
    Ph¹n ¢m - KiÒu n÷	0	103	912	0
 Ph¹n ¢m cÇm - N÷ gîi	0	10	911	0
 Ph¹n ¢m cÇm - KiÒu n	0	10	912	0
 Ph¹n ¢m phôc - N÷ gî	0	101	911	0
 Ph¹n ¢m phôc - KiÒu 	0	101	912	0
 Ph¹n ¢m giíi chØ - N	0	102	911	0
 Ph¹n ¢m giíi chØ - K	0	102	912	0
 Ph¸p ¢m phôc - N÷ gî	0	101	921	0
 Ph¸p ¢m phôc - KiÒu 	0	101	922	0
 Ph¸p ¢m y - N÷ gîi c	0	100	921	0
  Ph¸p ¢m y - KiÒu n÷	0	100	922	0
 M·n nguyÖt tr©m - N÷	0	103	921	0
 M·n nguyÖt tr©m - Ki	0	103	922	0
 H¶i NguyÖt Sø Ph¸p ¢	0	102	921	0
 H¶i NguyÖt Sø Ph¸p ¢	0	102	922	0
 H¶i NguyÖt Sø Ph¸p ¢	0	102	923	0
 H¶i NguyÖt Sø Ph¸p ¢	0	102	924	0
 H¶i NguyÖt Sø Ph¸p ¢	0	10	921	0
 H¶i NguyÖt Sø Ph¸p ¢	0	10	922	0
 Ngäc N÷ Dao Th­êng -	0	100	973	0
 Ngäc N÷ Dao Th­êng -	0	100	974	0
 Ngäc N÷ Dao Qu¸n - N	0	103	973	0
 Ngäc N÷ Dao Qu¸n - K	0	103	974	0
 Ngäc N÷ Dao CÇm - N÷	0	10	973	0
 Ngäc N÷ Dao CÇm - Ki	0	10	974	0
 Ngäc N÷ Dao Trang - 	0	101	973	0
 Ngäc N÷ Dao Trang - 	0	101	974	0
 Ngäc N÷ Dao Béi - N÷	0	102	973	0
 Ngäc N÷ Dao Béi - Ki	0	102	974	0
 Ngäc N÷ D­¬ng  Th­ên	0	100	953	0
 Ngäc N÷ D­¬ng  Th­ên	0	100	954	0
 Ngäc N÷ D­¬ng  Qu¸n 	0	103	953	0
 Ngäc N÷ D­¬ng  Qu¸n 	0	103	954	0
 Ngäc N÷ D­¬ng  CÇm -	0	10	953	0
 Ngäc N÷ D­¬ng  CÇm -	0	10	954	0
 Ngäc N÷ D­¬ng  Trang	0	101	953	0
 Ngäc N÷ D­¬ng  Trang	0	101	954	0
 Ngäc N÷ D­¬ng  Béi -	0	102	953	0
 Ngäc N÷ D­¬ng  Béi -	0	102	954	0
 Thanh T©m Tè KiÕm - 	0	2	801	0
 Thanh T©m Tè KiÕm - 	0	2	802	0
 Thanh T©m Tè Y - N÷ 	0	100	801	0
 Thanh T©m Tè Y - KiÒ	0	100	802	0
 Thanh T©m - N÷ gîi c	0	103	801	0
  Thanh T©m - KiÒu n÷	0	103	802	0
 Thanh T©m tó trang -	0	101	801	0
 Thanh T©m tó trang -	0	101	802	0
 Th¸i Vò Giíi ChØ - N	0	102	811	0
 Th¸i Vò Giíi ChØ - K	0	102	812	0
 ThÓ Vò Khinh KiÕm - 	0	2	811	0
 ThÓ Vò Khinh KiÕm - 	0	2	812	0
 Th¸i Vò Tè Y - N÷ gî	0	100	811	0
 Th¸i Vò Tè Y - KiÒu 	0	100	812	0
 Th¸i Vò - N÷ gîi c¶m	0	103	811	0
    Th¸i Vò - KiÒu n÷	0	103	812	0
 Th¸i Vò tó phôc - N÷	0	101	811	0
 Th¸i Vò tó phôc - Ki	0	101	812	0
 Tö Tróc Sø Ph¸p V©n 	0	2	821	0
 Tö Tróc Sø Ph¸p V©n 	0	2	822	0
 Ph¸p V©n tr©m - N÷ g	0	103	821	0
 Ph¸p V©n tr©m - KiÒu	0	103	822	0
 Ph¸p V©n phôc - N÷ g	0	101	821	0
 Ph¸p V©n phôc - KiÒu	0	101	822	0
 Ph¸p V©n y - N÷ gîi 	0	100	821	0
 Ph¸p V©n y - KiÒu n÷	0	100	822	0
 Tö Tróc Sø Ph¸p V©n 	0	102	821	0
 Tö Tróc Sø Ph¸p V©n 	0	102	822	0
 Tö Tróc Sø Ph¸p V©n 	0	102	823	0
 Tö Tróc Sø Ph¸p V©n 	0	102	824	0
 Quan ¢m Dao Th­êng -	0	100	873	0
 Quan ¢m Dao Th­êng -	0	100	874	0
 Quan ¢m Dao Qu¸n - N	0	103	873	0
 Quan ¢m Dao Qu¸n - K	0	103	874	0
 Quan ¢m Dao KiÕm - N	0	2	873	0
 Quan ¢m Dao KiÕm - K	0	2	874	0
 Quan ¢m Dao Trang - 	0	101	873	0
 Quan ¢m Dao Trang - 	0	101	874	0
 Quan ¢m Dao Béi - N÷	0	102	873	0
 Quan ¢m Dao Béi - Ki	0	102	874	0
 Quan ¢m D­¬ng Th­êng	0	100	853	0
 Quan ¢m D­¬ng Th­êng	0	100	854	0
 Quan ¢m D­¬ng Qu¸n -	0	103	853	0
 Quan ¢m D­¬ng Qu¸n -	0	103	854	0
 Quan ¢m D­¬ng KiÕm -	0	2	853	0
 Quan ¢m D­¬ng KiÕm -	0	2	854	0
 Quan ¢m D­¬ng Trang 	0	101	853	0
 Quan ¢m D­¬ng Trang 	0	101	854	0
 Quan ¢m D­¬ng Béi - 	0	102	853	0
 Quan ¢m D­¬ng Béi - 	0	102	854	0
 Thanh Tu kiÕm - Nam 	0	2	1401	0
 Thanh Tu kiÕm - Nam 	0	2	1402	0
 Thanh Tu kiÕm - N÷ g	0	2	1403	0
 Thanh Tu kiÕm - KiÒu	0	2	1404	0
 Thanh Tu c©n - Nam t	0	103	1401	0
 Thanh Tu c©n - Nam k	0	103	1402	0
 Thanh Tu c©n - N÷ gî	0	103	1403	0
 Thanh Tu c©n - KiÒu 	0	103	1404	0
 Thanh Tu bµo - Nam t	0	100	1401	0
 Thanh Tu bµo - Nam k	0	100	1402	0
 Thanh Tu bµo - N÷ gî	0	100	1403	0
 Thanh Tu bµo - KiÒu 	0	100	1404	0
 Thanh Tu phôc - Nam 	0	101	1401	0
 Thanh Tu phôc - Nam 	0	101	1402	0
 Thanh Tu phôc - N÷ g	0	101	1403	0
 Thanh Tu phôc - KiÒu	0	101	1404	0
 NhËp Qu¸n ph¸p bµo -	0	100	1411	0
 NhËp Qu¸n ph¸p bµo -	0	100	1412	0
 NhËp Qu¸n ph¸p bµo -	0	100	1413	0
 NhËp Qu¸n ph¸p bµo -	0	100	1414	0
 NhËp ThÊt c©n - Nam 	0	103	1411	0
 NhËp ThÊt c©n - Nam 	0	103	1412	0
 NhËp ThÊt c©n - N÷ g	0	103	1413	0
 NhËp ThÊt c©n - KiÒu	0	103	1414	0
 NhËp Quan ph¸p kiÕm 	0	2	1411	0
 NhËp Quan ph¸p kiÕm 	0	2	1412	0
 NhËp Quan ph¸p kiÕm 	0	2	1413	0
 NhËp Quan ph¸p kiÕm 	0	2	1414	0
 NhËp Quan phôc - Nam	0	101	1411	0
 NhËp Quan phôc - Nam	0	101	1412	0
 NhËp Quan phôc - N÷ 	0	101	1413	0
 NhËp Quan phôc - KiÒ	0	101	1414	0
 NhËp Quan lÖnh - Nam	0	102	1411	0
 NhËp Quan lÖnh - Nam	0	102	1412	0
 NhËp Quan lÖnh - N÷ 	0	102	1413	0
 NhËp Quan lÖnh - KiÒ	0	102	1414	0
 Tø T­îng ph¸p kiÕm -	0	2	1421	0
 Tø T­îng ph¸p kiÕm -	0	2	1422	0
 Tø T­îng ph¸p kiÕm -	0	2	1423	0
 Tø T­îng ph¸p kiÕm -	0	2	1424	0
 V« Ng· Tø T­îng Giíi	0	102	1421	0
 V« Ng· Tø T­îng Giíi	0	102	1422	0
 V« Ng· Tø T­îng Giíi	0	102	1423	0
 V« Ng· Tø T­îng Giíi	0	102	1424	0
 V« Ng· Tø T­îng ChØ 	0	102	1425	0
 V« Ng· Tø T­îng ChØ 	0	102	1426	0
 V« Ng· Tø T­îng ChØ 	0	102	1427	0
 V« Ng· Tø T­îng ChØ 	0	102	1428	0
 Tø T­îng c©n - Nam t	0	103	1421	0
 Tø T­îng c©n - Nam k	0	103	1422	0
 Tø T­îng c©n - N÷ gî	0	103	1423	0
 Tø T­îng c©n - KiÒu 	0	103	1424	0
 Tø T­îng ph¸p bµo - 	0	100	1421	0
 Tø T­îng ph¸p bµo - 	0	100	1422	0
 Tø T­îng ph¸p bµo - 	0	100	1423	0
 Tø T­îng ph¸p bµo - 	0	100	1424	0
 Tø T­îng phôc - Nam 	0	101	1421	0
 Tø T­îng phôc - Nam 	0	101	1422	0
 Tø T­îng phôc - N÷ g	0	101	1423	0
 Tø T­îng phôc - KiÒu	0	101	1424	0
 Ch©n Vò Dao Th­êng -	0	100	1471	0
 Ch©n Vò Dao Th­êng -	0	100	1472	0
 Ch©n Vò Dao Th­êng -	0	100	1473	0
 Ch©n Vò Dao Th­êng -	0	100	1474	0
 Ch©n Vò Dao Qu¸n - N	0	103	1471	0
 Ch©n Vò Dao Qu¸n - N	0	103	1472	0
 Ch©n Vò Dao Qu¸n - N	0	103	1473	0
 Ch©n Vò Dao Qu¸n - K	0	103	1474	0
 Ch©n Vò Dao KiÕm - N	0	2	1471	0
 Ch©n Vò Dao KiÕm - N	0	2	1472	0
 Ch©n Vò Dao KiÕm - N	0	2	1473	0
 Ch©n Vò Dao KiÕm - K	0	2	1474	0
 Ch©n Vò Dao Trang - 	0	101	1471	0
 Ch©n Vò Dao Trang - 	0	101	1472	0
 Ch©n Vò Dao Trang - 	0	101	1473	0
 Ch©n Vò Dao Trang - 	0	101	1474	0
 Ch©n Vò Dao Béi - Na	0	102	1471	0
 Ch©n Vò Dao Béi - Na	0	102	1472	0
 Ch©n Vò Dao Béi - N÷	0	102	1473	0
 Ch©n Vò Dao Béi - Ki	0	102	1474	0
 Ch©n Vò D­¬ng Th­êng	0	100	1451	0
 Ch©n Vò D­¬ng Th­êng	0	100	1452	0
 Ch©n Vò D­¬ng Th­êng	0	100	1453	0
 Ch©n Vò D­¬ng Th­êng	0	100	1454	0
 Ch©n Vò D­¬ng Qu¸n -	0	103	1451	0
 Ch©n Vò D­¬ng Qu¸n -	0	103	1452	0
 Ch©n Vò D­¬ng Qu¸n -	0	103	1453	0
 Ch©n Vò D­¬ng Qu¸n -	0	103	1454	0
 Ch©n Vò D­¬ng KiÕm -	0	2	1451	0
 Ch©n Vò D­¬ng KiÕm -	0	2	1452	0
 Ch©n Vò D­¬ng KiÕm -	0	2	1453	0
 Ch©n Vò D­¬ng KiÕm -	0	2	1454	0
 Ch©n Vò D­¬ng Trang 	0	101	1451	0
 Ch©n Vò D­¬ng Trang 	0	101	1452	0
 Ch©n Vò D­¬ng Trang 	0	101	1453	0
 Ch©n Vò D­¬ng Trang 	0	101	1454	0
 Ch©n Vò D­¬ng Béi - 	0	102	1451	0
 Ch©n Vò D­¬ng Béi - 	0	102	1452	0
 Ch©n Vò D­¬ng Béi - 	0	102	1453	0
 Ch©n Vò D­¬ng Béi - 	0	102	1454	0
 Thanh Phong thÝch - 	0	9	1501	0
 Thanh Phong thÝch - 	0	9	1502	0
 Thanh Phong thÝch - 	0	9	1503	0
 Thanh Phong thÝch - 	0	9	1504	0
 Thanh Phong c©n - Na	0	103	1501	0
 Thanh Phong c©n - Na	0	103	1502	0
 Thanh Phong c©n - N÷	0	103	1503	0
 Thanh Phong c©n - Ki	0	103	1504	0
 Thanh Phong bµo - Na	0	100	1501	0
 Thanh Phong bµo - Na	0	100	1502	0
 Thanh Phong bµo - N÷	0	100	1503	0
 Thanh Phong bµo - Ki	0	100	1504	0
 Thanh Phong phôc - N	0	101	1501	0
 Thanh Phong phôc - N	0	101	1502	0
 Thanh Phong phôc - N	0	101	1503	0
 Thanh Phong phôc - K	0	101	1504	0
 ThiÓu D­¬ng thÝch - 	0	9	1511	0
 ThiÓu D­¬ng thÝch - 	0	9	1512	0
 ThiÓu D­¬ng thÝch - 	0	9	1513	0
 ThiÓu D­¬ng thÝch - 	0	9	1514	0
 ThiÓu D­¬ng c©n - Na	0	103	1511	0
 ThiÓu D­¬ng c©n - Na	0	103	1512	0
 ThiÓu D­¬ng c©n - N÷	0	103	1513	0
 ThiÓu D­¬ng c©n - Ki	0	103	1514	0
 ThiÓu D­¬ng béi - Na	0	102	1511	0
 ThiÓu D­¬ng béi - Na	0	102	1512	0
 ThiÓu D­¬ng béi - N÷	0	102	1513	0
 ThiÓu D­¬ng béi - Ki	0	102	1514	0
 ThiÓu D­¬ng th­êng -	0	100	1511	0
 ThiÓu D­¬ng th­êng -	0	100	1512	0
 ThiÓu D­¬ng th­êng -	0	100	1513	0
 ThiÓu D­¬ng th­êng -	0	100	1514	0
 ThiÓu D­¬ng phôc - N	0	101	1511	0
 ThiÓu D­¬ng phôc - N	0	101	1512	0
 ThiÓu D­¬ng phôc - N	0	101	1513	0
 ThiÓu D­¬ng phôc - K	0	101	1514	0
 Linh Phong thÝch - N	0	9	1521	0
 Linh Phong thÝch - N	0	9	1522	0
 Linh Phong thÝch - N	0	9	1523	0
 Linh Phong thÝch - K	0	9	1524	0
 Linh Phong th­êng - 	0	100	1521	0
 Linh Phong th­êng - 	0	100	1522	0
 Linh Phong th­êng - 	0	100	1523	0
 Linh Phong th­êng - 	0	100	1524	0
 Linh Phong c©n - Nam	0	103	1521	0
 Linh Phong c©n - Nam	0	103	1522	0
 Linh Phong c©n - N÷ 	0	103	1523	0
 Linh Phong c©n - KiÒ	0	103	1524	0
 Linh Phong phôc - Na	0	101	1521	0
 Linh Phong phôc - Na	0	101	1522	0
 Linh Phong phôc - N÷	0	101	1523	0
 Linh Phong phôc - Ki	0	101	1524	0
 Nhµn V©n HiÖp §¹o Li	0	102	1521	0
 Nhµn V©n HiÖp §¹o Li	0	102	1522	0
 Nhµn V©n HiÖp §¹o Li	0	102	1523	0
 Nhµn V©n HiÖp §¹o Li	0	102	1524	0
 Nhµn V©n HiÖp §¹o Li	0	102	1525	0
 Nhµn V©n HiÖp §¹o Li	0	102	1526	0
 Nhµn V©n HiÖp §¹o Li	0	102	1527	0
 Nhµn V©n HiÖp §¹o Li	0	102	1528	0
 NhÊt D­¬ng Dao Th­ên	0	100	1571	0
 NhÊt D­¬ng Dao Th­ên	0	100	1572	0
 NhÊt D­¬ng Dao Th­ên	0	100	1573	0
 NhÊt D­¬ng Dao Th­ên	0	100	1574	0
 NhÊt D­¬ng Dao Qu¸n 	0	103	1571	0
 NhÊt D­¬ng Dao Qu¸n 	0	103	1572	0
 NhÊt D­¬ng Dao Qu¸n 	0	103	1573	0
 NhÊt D­¬ng Dao Qu¸n 	0	103	1574	0
 NhÊt D­¬ng Dao Bót -	0	9	1571	0
 NhÊt D­¬ng Dao Bót -	0	9	1572	0
 NhÊt D­¬ng Dao Bót -	0	9	1573	0
 NhÊt D­¬ng Dao Bót -	0	9	1574	0
 NhÊt D­¬ng Dao Trang	0	101	1571	0
 NhÊt D­¬ng Dao Trang	0	101	1572	0
 NhÊt D­¬ng Dao Trang	0	101	1573	0
 NhÊt D­¬ng Dao Trang	0	101	1574	0
 NhÊt D­¬ng Dao Béi -	0	102	1571	0
 NhÊt D­¬ng Dao Béi -	0	102	1572	0
 NhÊt D­¬ng Dao Béi -	0	102	1573	0
 NhÊt D­¬ng Dao Béi -	0	102	1574	0
 NhÊt D­¬ng Th­êng - 	0	100	1551	0
 NhÊt D­¬ng Th­êng - 	0	100	1552	0
 NhÊt D­¬ng Th­êng - 	0	100	1553	0
 NhÊt D­¬ng Th­êng - 	0	100	1554	0
 NhÊt D­¬ng Qu¸n - Na	0	103	1551	0
 NhÊt D­¬ng Qu¸n - Na	0	103	1552	0
 NhÊt D­¬ng Qu¸n - N÷	0	103	1553	0
 NhÊt D­¬ng Qu¸n - Ki	0	103	1554	0
 NhÊt D­¬ng Trang - N	0	101	1551	0
 NhÊt D­¬ng Trang - N	0	101	1552	0
 NhÊt D­¬ng Trang - N	0	101	1553	0
 NhÊt D­¬ng Trang - K	0	101	1554	0
 NhÊt D­¬ng Béi - Nam	0	102	1551	0
 NhÊt D­¬ng Béi - Nam	0	102	1552	0
 NhÊt D­¬ng Béi - N÷ 	0	102	1553	0
 NhÊt D­¬ng Béi - KiÒ	0	102	1554	0
 KhiÕu Hoa bæng - Nam	0	5	1201	0
 KhiÕu Hoa bæng - Nam	0	5	1202	0
 KhiÕu Hoa bæng - N÷ 	0	5	1203	0
 KhiÕu Hoa bæng - KiÒ	0	5	1204	0
 KhiÕu Hoa khè - Nam 	0	101	1201	0
 KhiÕu Hoa khè - Nam 	0	101	1202	0
 KhiÕu Hoa khè - N÷ g	0	101	1203	0
 KhiÕu Hoa khè - KiÒu	0	101	1204	0
 KhiÕu Hoa c©n - Nam 	0	103	1201	0
 KhiÕu Hoa c©n - Nam 	0	103	1202	0
 KhiÕu Hoa c©n - N÷ g	0	103	1203	0
 KhiÕu Hoa c©n - KiÒu	0	103	1204	0
 KhiÕu Hoa y - Nam ti	0	100	1201	0
 KhiÕu Hoa y - Nam kh	0	100	1202	0
 KhiÕu Hoa y - N÷ gîi	0	100	1203	0
 KhiÕu Hoa y - KiÒu n	0	100	1204	0
 Trõ Gian béi - Nam t	0	102	1111	0
 Trõ Gian béi - Nam k	0	102	1112	0
 Trõ Gian béi - N÷ gî	0	102	1113	0
 Trõ Gian béi - KiÒu 	0	102	1114	0
 Trõ Gian QuyÒn - Nam	0	0	1111	0
 Trõ Gian QuyÒn - Nam	0	0	1112	0
 Trõ Gian QuyÒn - N÷ 	0	0	1113	0
 Trõ Gian QuyÒn - KiÒ	0	0	1114	0
 Trõ Gian th­êng - Na	0	100	1111	0
 Trõ Gian th­êng - Na	0	100	1112	0
 Trõ Gian th­êng - N÷	0	100	1113	0
 Trõ Gian th­êng - Ki	0	100	1114	0
 Trõ Gian c©n - Nam t	0	103	1111	0
 Trõ Gian c©n - Nam k	0	103	1112	0
 Trõ Gian c©n - N÷ gî	0	103	1113	0
 Trõ Gian c©n - KiÒu 	0	103	1114	0
 Trõ Gian phôc - Nam 	0	101	1111	0
 Trõ Gian phôc - Nam 	0	101	1112	0
 Trõ Gian phôc - N÷ g	0	101	1113	0
 Trõ Gian phôc - KiÒu	0	101	1114	0
 Tø h¶i y - Nam tiªu 	0	100	1121	0
 Tø h¶i y - Nam kh«i 	0	100	1122	0
 Tø h¶i y - N÷ gîi c¶	0	100	1123	0
   Tø h¶i y - KiÒu n÷	0	100	1124	0
 Tø h¶i c©n - Nam tiª	0	103	1121	0
 Tø h¶i c©n - Nam kh«	0	103	1122	0
 Tø h¶i c©n - N÷ gîi 	0	103	1123	0
 Tø h¶i c©n - KiÒu n÷	0	103	1124	0
 Hµo khÝ phôc - Nam t	0	101	1121	0
 Hµo khÝ phôc - Nam k	0	101	1122	0
 Hµo khÝ phôc - N÷ gî	0	101	1123	0
 Hµo khÝ phôc - KiÒu 	0	101	1124	0
 Tø H¶i HiÖp Hµo KhÝ 	0	102	1121	0
 Tø H¶i HiÖp Hµo KhÝ 	0	102	1122	0
 Tø H¶i HiÖp Hµo KhÝ 	0	102	1123	0
 Tø H¶i HiÖp Hµo KhÝ 	0	102	1124	0
 Tø H¶i HiÖp Hµo KhÝ 	0	102	1125	0
 Tø H¶i HiÖp Hµo KhÝ 	0	102	1126	0
