enum_relay	string
LOC_U_RELAY_ALREADY_RUN	§· cã mét S3Relay ®ang ch¹y..
LOC_U_RELAYGUARD_ALREADY_RUN	KiÓm tra thÊy mét RelayGuard ®ang ch¹y, ®ång thêi khëi ®éng Relay rÊt nguy hiÓm!\n v× thÕ kh«ng nªn ch¹y Relay hiÖn t¹i!
LOC_G_AUCTIONSUCCESS	%s mua vËt phÈm theo gi¸ cao nhÊt %d,  phiªn ®Êu gi¸ kÕt thóc 
LOC_G_AUCTIONSUCCESSTOWINNER	Chóc mõng b¹n ®· mua vËt phÈm thµnh c«ng!
LOC_G_AUCTIONSUCCESSTOOWNER	%s mua vËt phÈm theo gi¸ cao nhÊt %d,  xin ®Õn nhËn tiÒn trong thêi gian chØ ®Þnh 
LOC_G_AUCTIONSUCCESSTAKEMOENYFAIL	B¹n ®· kh«ng nhËn tiÒn kÞp thêi, hÖ thèng ®· hñy bá
LOC_G_AUCTIONSUCCESSTAKEITEMFAIL	B¹n ®· kh«ng nhËn vËt phÈm kÞp thêi, hÖ thèng ®· hñy bá
LOC_G_AUCTIONCHEATER	%s trong qu¸ tr×nh ®Êu gi¸ ®· di dêi vËt phÈm, cã ý ®Þnh lõa ®¶o
LOC_G_AUCTIONFAILCONTINUE	Kú nµy, vËt phÈm cña b¹n ®Êu gi¸ thÊt b¹i, ®­îc chuyÓn sang ®ît sau, %d giê %d phót %d gi©y sau b¾t ®Çu
LOC_G_AUCTIONFAIL	VËt phÈm cña b¹n ®Êu gi¸ thÊt b¹i, xin nhËn l¹i vËt phÈm
LOC_G_AUCTIONJOINFAIL	Kh«ng thÓ tham gia v× sè ng­êi tham gia ®Êu gi¸ ®· qu¸ ®«ng.
LOC_G_AUCTIONJOINFAILNOMONEY	Gi¸ cao nhÊt cña vËt phÈm hiÖn nay lµ %d! TiÒn b¹n mang theo kh«ng ®ñ, kh«ng thÓ tham gia!
LOC_G_AUCTIONJOINSUCCESS	Phiªn ®Êu gi¸ b¹n tham gia
LOC_G_AUCTIONJOINSUCCESSTOALL	%s ®· gia nhËp l­ît ®Êu gi¸ vËt phÈm nµy
LOC_G_AUCTIONBIDDERHIGHEST	Ng­êi ra gi¸ cao nhÊt hiÖn t¹i lµ %s, víi gi¸ lµ %d l­îng.
LOC_G_AUCATIONQUITFAIL	B¹n ®· ra gi¸ cao nhÊt, kh«ng thÓ rót lui!
LOC_G_AUCATIONQUITSUCCESS	%s rót lui khái phiªn ®Êu gi¸
LOC_G_AUCTIONSUCESSGETMONEY	B¹n nhËn ®­îc tiÒn ®Êu gi¸ vËt phÈm, thuÕ ph¶i tr¶ lµ %d l­îng
LOC_G_AUCTIONFAILGETITEM	B¹n ®· nhËn l¹i vËt phÈm ®Êu gi¸ thÊt b¹i
LOC_G_AUCTIONSUBMITSUCCESS	§­a vµo thµnh c«ng mét vËt phÈm ®Êu gi¸, gi¸ thÊp nhÊt lµ %d, ®¬n vÞ t¨ng gi¸ lµ %d
LOC_G_TASKCOUNTLIMIT	NhiÖm vô hÖ thèng ®· ®Çy, t¹o lËp nhiÖm vô truy s¸t %s thÊt b¹i!
LOC_G_CREATETASKCOUNTLIMIT	H¹n ng¹ch nhiÖm vô ®· ®Çy, t¹o lËp nhiÖm vô truy s¸t %s thÊt b¹i.
LOC_G_TAKETASKLINIT	Mçi ng­êi chØ ®­îc nhËn nhiÒu nhÊt %d nhiÖm vô, b¹n ®· nhËn hÕt råi!
LOC_G_TASKFAILURE	NhiÖm vô truy s¸t %s ®· kÕt thóc, kh«ng cã ai hoµn thµnh nhiÖm vô.
LOC_G_TASKSUCCESS	%s ®· hoµn thµnh nhiÖm vô truy s¸t %s
LOC_G_TAKEREWARD	Trong vßng %d giê %d phót %d gi©y h·y nhËn tiÒn th­ëng v× ®· truy s¸t %s thµnh c«ng, sè l­îng %d
LOC_G_TAKEBACKREWARD	Trong vßng %d giê %d phót %d gi©y h·y nhËn tiÒn th­ëng ch­a hoµn thµnh nhiÖm vô %s, sè l­îng %d
LOC_G_TAKETASKSUCCESS	B¹n ®· tiÕp nhËn thµnh c«ng nhiÖm vô truy s¸t %s
LOC_G_TAKERLIMIT	Sè ng­êi tiÕp nhËn nhiÖm vô nµy ®· ®¹t giíi h¹n %d ng­êi, kh«ng thÓ nhËn nhiÖm vô.
LOC_G_TASKNOTEXIST	NhiÖm vô kh«ng cßn tån t¹i
LOC_G_TAKEMONEY	B¹n ®· truy s¸t ®­îc %s, nhËn ®­îc tiÒn th­ëng %d
LOC_G_TAKEBACKMONEY	B¹n ®· nhËn l¹i ®­îc tiÒn th­ëng truy s¸t %s %d
LOC_G_TAKETASKDUP	B¹n ®· nhËn nhiÖm vô nµy råi, kh«ng thÓ tiÕp nhËn n÷a.
LOC_G_CREATETASKSUCCESS	B¹n t¹o lËp thµnh c«ng nhiÖm vô truy s¸t %s, tiÒn th­ëng lµ %d l­îng
LOC_G_TASKCANCEL	NhiÖm vô truy s¸t %s ®· bÞ hñy bá
LOC_G_TASKCANNTCANCEL	NhiÖm vô truy s¸t %s ®· qu¸ thêi gian hñy bá
LOC_G_TASKCANCELGETMONEY	NhiÖm vô truy s¸t %s ®· bÞ hñy bá, nhËn l¹i sè tiÒn %d l­îng
LOC_G_TAKEOWNTASK	Kh«ng thÓ nhËn nhiÖm vô do m×nh t¹o lËp
LOC_G_TAKEKILLSELF	Kh«ng thÓ nhËn nhiÖm vô truy s¸t chÝnh m×nh
LOC_G_TASKNOTACTIVE	NhiÖm vô ch­a ®­îc kÝch ho¹t, xin h·y lµm míi l¹i nhiÖm vô
LOC_G_TASKBEDELETED	§· hÕt thêi gian ®èi tho¹i víi NPC, nhiÖm vô truy s¸t %s ®· bÞ hÖ thèng hñy bá
LOC_G_CREATETASKFAIL	T¹o lËp nhiÖm vô thÊt b¹i, nhËn l¹i chi phÝ hÖ thèng vµ tiÒn treo th­ëng lµ %d l­îng
LOC_G_TASKBETAKED	%s ®· tiÕp nhËn nhiÖm vô truy s¸t %s cña b¹n
LOC_G_TONG_PASS_TEST	Chóc mõng %s ®· v­ît qua thêi gian thö th¸ch!
LOC_G_TONG_INFO_TO_PASS_TEST	%s ®ang trong thêi gian thö th¸ch, h·y mau chãng thi hµnh nhiÖm vô!
LOC_G_TONG_NOT_PASS_TEST	%s kh«ng v­ît qua ®­îc thêi gian thö th¸ch, bÞ gi¶i t¸n!
LOC_G_TONG_MARSHAL	Bang chñ
LOC_G_TONG_QUEEN	Phã bang
LOC_G_TONG_GENERAL	Tr­ëng l·o
LOC_G_TONG_CAPTAIN	§­êng chñ
LOC_G_TONG_SERGEANT	H­¬ng chñ
LOC_G_TONG_SOLDIER	Bang chóng
LOC_G_TONG_CHANGE_CAMP	Bang chñ ®· thay ®æi phe ph¸i cña bang!
LOC_G_TONG_STORE_MONEY	%s ®· cèng hiÕn cho bang héi %d l­îng!
LOC_G_TONG_GET_MONEY	%s ®· rót tiÒn cña bang héi %d
LOC_G_TONG_UP_LEVEL	§¼ng cÊp bang héi ®· t¨ng cÊp %d!
LOC_G_TONG_DOWN_LEVEL	§¼ng cÊp bang héi gi¶m xuèng cÊp %d!
LOC_G_TONG_CHANGE_LEVEL	§¼ng cÊp bang hiÖn t¹i lµ %d!
LOC_G_TONG_CREATE_UNION	Bang chñ ®· x©y dùng liªn minh bang héi %s!
LOC_G_TONG_DISPATCH_MONEY	Bang chñ ph¸t tiÒn cho tÊt c¶ bang chóng!
LOC_G_TONG_DISPATCH_MONEY_OL	Bang chñ ph¸t tiÒn cho bang chóng trªn m¹ng!
LOC_G_TONG_DISPATCH_MONEY_VALUE	Tr­ëng l·o nhËn ®­îc %d, §­êng chñ nhËn ®­îc %d, H­¬ng chñ nhËn ®­îc %d, Bang chóng nhËn ®­îc %d!
LOC_G_TONG_AUTHORIZE_JOIN	%s phª chuÈn %s gia nhËp bang héi!
LOC_G_TONG_APPOINT	%s ®­îc phong lµm %s!
LOC_G_TONG_NEW_PERSON_JOIN	Th«ng b¸o: HiÖp kh¸ch %s ®· gia nhËp bæn bang!
LOC_G_TONG_APPOINT_MARSHAL	%s ®­îc tÊn phong chøc vÞ Bang chñ!
LOC_G_TONG_APPOINT_GENERAL	%s ®­îc phong lµm Tr­ëng l·o!
LOC_G_TONG_APPOINT_CAPTAIN	%s ®­îc phong lµm §­êng chñ!
LOC_G_TONG_APPOINT_SERGEANT	%s ®­îc phong lµm H­¬ng chñ!
LOC_G_TONG_APPOINT_SOLDIER	%s ®­îc nhËn lµm Bang chóng!
LOC_G_TONG_KICK_MEMBER	%s trôc xuÊt %s khái bang héi!
LOC_G_TONG_LEAVE	%s ®· ph¶n béi bæn bang!
LOC_G_TONG_CHANGE_MASTER	%s ®· chuyÓn vÞ bang chñ cho %s!
LOC_G_TONG_LEAVE_MSG	%s ®· rêi khái bæn bang!
LOC_G_TONG_JOIN_SELFUNION	Bang %s ®· gia nhËp Liªn minh %s cña bang ta!
LOC_G_TONG_JOIN_UNION	Bang héi ®· gia nhËp Liªn minh bang héi %s!
LOC_G_TONG_DISMISS_UNION	Bang chñ ®· gi¶i t¸n Liªn minh bang héi!
LOC_G_TONG_KICK_UNION	Bang chñ ®· rót tªn bæn bang khái Liªn minh!
LOC_G_TONG_LEAVE_UNION	Bæn bang ®· rót tªn khái Liªn minh bang héi!
LOC_G_TONG_KICK_UNION_ELSE	Bang chñ ®· trôc xuÊt bang héi %s ra khái Liªn minh!
LOC_G_TONG_LEAVE_UNION_ELSE	Bang héi %s ®· rêi khái Liªn minh chóng ta!
LOC_G_RR_ROLE_DEL	Nh©n vËt %s bÞ xãa bá.
LOC_G_MP_BETRAY	%s ph¶n béi s­ m«n!
LOC_G_MP_KICKOUT_1	%s trôc xuÊt %s khái s­ m«n!
LOC_G_MP_KICKOUT_2	%s trôc xuÊt b¹n khái s­ m«n!
LOC_G_CITYWAR_NOTIFY_SIGNUP	L«i ®µi %s ®· b¾t ®Çu cho b¸o danh, hoan ngªnh tÊt c¶ c¸c bang héi ®¹t ®¼ng cÊp %d ®Õn tham gia b¸o danh!
LOC_G_CITYWAR_NOTIFY_SIGNUP_OK	Bang héi cña b¹n ®· b¸o danh thµnh c«ng, xin ®îi ®Õn thêi gian l«i ®µi b¾t ®Çu!!
LOC_G_CITYWAR_NOTIFY_SIGNUP_TOALL	Bang héi %s ®· b¸o danh tham gia l«i ®µi thµnh %s!!
LOC_G_CITYWAR_NOTIFY_SIGNUP_LOG	Bang héi %s ®· b¸o danh tham gia l«i ®µi thµnh %s, tæng tiÒn thi ®Êu lµ %u!!
LOC_G_CITYWAR_NOTIFY_NO_SIGNUP	TuÇn nµy, l«i ®µi thµnh %s kh«ng ai b¸o danh, Th¸i thó qu¶ lµ v¹n sù v« ­u.
LOC_G_CITYWAR_NOTIFY_SINGLE_SIGNUP	L«i ®µi thµnh %s chØ cã 1 bang héi %s b¸o danh tham gia,  trùc tiÕp nhËn ®­îc t­ c¸ch khiªu chiÕn!! 
LOC_G_CITYWAR_NOTIFY_SIGNUP_COMPLETE	Thêi gian b¸o danh l«i ®µi thµnh %s ®· hÕt, tæng céng cã %d bang héi tham chiÕn, lÞch thi ®Êu ®· quyÕt, c¸c bang héi h·y ®Õn tham chiÕn ®óng giê quy ®Þnh.
LOC_G_CITYWAR_NOTIFY_ARENA_START	Cuéc thi ®Êu l«i ®µi thµnh %s ®· b¾t ®Çu, mêi bang héi cã tªn trong ®ît thø nhÊt vµo ®Êu tr­êng qui ®Þnh!!
LOC_G_CITYWAR_NOTIFY_ARENA_RESULT	Bang héi %s ®· ®¸nh b¹i bang héi %s trong trËn l«i ®µi, giµnh quyÒn ®i tiÕp vµo l­ît trËn sau!!
LOC_G_CITYWAR_NOTIFY_ARENA_RESULT2	Bang héi %s ®· ®¸nh b¹i bang héi %s trong trËn l«i ®µi, chÝnh thøc trë thµnh bang khiªu chiÕn thµnh %s!!
LOC_G_CITYWAR_NOTIFY_WAR_STARTED	§¹i chiÕn thµnh %s ®· chÝnh thøc b¾t ®Çu, bang %s vµ bang %s lËp tøc giao chiÕn!!
LOC_G_CITYWAR_NOTIFY_WAR_RESULT	§¹i chiÕn thµnh %s th¾ng thua ®· quyÕt, bang %s trë thµnh chñ thµnh míi!! Th¸i Thó: %s
LOC_G_CITYWAR_NOTIFY_WAR_RESULT2	§¹i chiÕn thµnh %s th¾ng thua ®· quyÕt, bang %s tiÕp tôc gi÷ quyÒn thèng trÞ!! Th¸i thó: %s
LOC_G_CITYWAR_NOTIFY_WAR_RESULT3	Thµnh %s hiÖn vÉn ch­a cã Th¸i thó, bang %s chÝnh thøc ®­îc c«ng nhËn quyÒn thèng trÞ thµnh trong ®ît thø 1!!
LOC_G_CITYWAR_NOTIFY_TAX_SET	B¹n ®· thiÕt lËp thµnh c«ng thuÕ suÊt vµ chØ sè vËt gi¸ tuÇn nµy cho thµnh %s.
LOC_G_CITYWAR_NOTIFY_SIGNUP_OUT	Kh«ng ®ñ ng©n l­îng, b¸o danh l«i ®µi thµnh %s thÊt b¹i!!
LOC_G_CITYWAR_NOTIFY_SIGNUP_OUT2	TiÒn ®Êu thÇu %d l­îng ®­îc tr¶ vÒ cho ng©n quü bang,  xin h·y nhËn lÊy. 
LOC_G_CITYWAR_NOTIFY_CHANGE_CITYMASTER	Bang chñ bang %s ®· truyÒn l¹i ng«i vÞ, thµnh %s ®· cã Th¸i thó míi: %s
LOC_G_CITYWAR_WARNING_ARENACANCELED	M­a b·o s¾p kÐo ®Õn, trËn thi ®Êu l«i ®µi ®· bÞ hñy bá!!
LOC_G_CITYWAR_WARNING_WARRESET	TrËn l«i ®µi míi cña thµnh %s ®· b¾t ®Çu b¸o danh!!
LOC_G_CITYWAR_WARNING_SIGNUPTIMEOUT	ThËt ®¸ng tiÕc, thêi gian b¸o danh ®· kÕt thóc.
LOC_G_CITYWAR_WARNING_ALREADYSIGNUP	Bang héi cña b¹n ®· b¸o danh råi!
LOC_G_CITYWAR_WARNING_SIGNUPFULL	Sè l­îng bang héi ®¨ng ký tuÇn nµy ®· ®ñ. TuÇn sau h·y quay l¹i nhÐ!
LOC_G_CITYWAR_WARNING_NOTENOUGHFEE	Kh«ng ®­îc råi, quý bang vÉn ch­a nép ®ñ phÝ b¸o danh %d l­îng.
LOC_G_CITYWAR_WARNING_LEVELLOW	Kh«ng ®­îc råi, quý bang ch­a ®¹t cÊp %d.
LOC_G_CITYWAR_WARNING_NOTTONGLEADER_	B¹n kh«ng ph¶i bang chñ!
LOC_G_CITYWAR_WARNING_TONGERROR	Bang héi v« hiÖu!!
LOC_G_CITYWAR_WARNING_TAXALREADYSET_	B¹n ®· thiÕt lËp thuÕ cho tuÇn nµy!
LOC_G_CITYWAR_WARNING_BECHALLENGER	B¹n nhËn ®­îc miÔn chiÕn bµi thµnh %s!!
LOC_G_CITYWAR_WARNING_BECITYOWNER	Bang héi cña b¹n ®· trë thµnh bang thèng trÞ thµnh %s!!
LOC_G_CITYWAR_WARNING_TOOFEWCROWS	ThËt ®¸ng tiÕc, nh©n sè bang héi b¹n kh«ng ®ñ %d ng­êi, kh«ng ®ñ t­ c¸ch tham gia.
LOC_G_CITYWAR_WARNING_TESTINGPERIOD	ThËt ®¸ng tiÕc, bang héi cña b¹n ®ang trong thêi gian thö th¸ch, kh«ng ®­îc phÐp tham gia.
LOC_G_CITYWAR_WARNING_SAMECAMP	Bang héi cña b¹n vµ bang thèng trÞ thµnh %s lµ %s cïng mét phe ph¸i!!
LOC_G_CITYWAR_WARNING_NOTUNIONLEADER	Bang héi cña b¹n vµ c¸c bang héi kh¸c ®· thµnh lËp liªn minh, nh­ng chØ cã bang chñ míi cã quyÒn c«ng thµnh!!
LOC_G_CITYWAR_WARNING_PERIODNOTMATCH	Giai ®o¹n tr­íc kh«ng phï hîp, kh«ng ph¶i lµ %d, mµ lµ %d.
LOC_L_AUCTION_WINNNER_QUIT	ID thµnh thÞ = Kh«ng biÕt - Ng­êi ra gi¸ cao nhÊt ®· tho¸t khái trß ch¬i - §Êu gi¸ ID = %d - Ng­êi rót lui = %s
LOC_L_ADD_AUCTION_ITEM	ID thµnh thÞ = %d - §­a vµo vËt phÈm - §Êu gi¸ ID = %d - Gi¶m gi¸ = %d - §¬n vÞ ®­a vµo = %d - Ng­êi ®­a vµo = %s
LOC_L_ADD_AUCTION_ITEM_SUCC	ID thµnh thÞ = %d - §Êu gi¸ thµnh c«ng - §Êu gi¸ ID = %d - Gi¸ c¶ thµnh lËp = %d
LOC_L_ADD_AUCTION_ITEM_FAIL	ID thµnh thÞ = %d - §Êu gi¸ thÊt b¹i - §Êu gi¸ ID = %d
LOC_L_ADD_AUCTION_ITEM_ING	ID thµnh thÞ = %d - B¾t ®Çu ®Êu gi¸ - §Êu gi¸ ID = %d
LOC_L_ADD_TO_AUCTION	ID thµnh thÞ = %d - Gia nhËp ®Êu gi¸ - §Êu gi¸ ID = %d Ng­êi tham gia = %s
LOC_L_AUCTION_ADD_PRICE	ID thµnh thÞ = %d - Ra gi¸ - §Êu gi¸ ID = %d - Ng­êi ra gi¸ = %s - Gi¸ lÇn tr­íc =%d - CÊp sè t¨ng gi¸ = %d
LOC_L_CW_SIGNUP	Bang héi tham gia ®Êu gi¸: 
LOC_L_CW_KICKOUT_TONG	Bang héi rêi khái sµn ®Êu gi¸: 
LOC_L_START_ARENA_ERROR	§iÒu kiÖn cho cuéc thi l«i ®µi (LÞch thi ®Êu thµnh thÞ môc tiªu / cuéc thi l«i ®µi lÇn tr­íc) bÞ sai sãt...
LOC_L_ARENA_RESULT_RECORD_ERROR	Arena result record error...
LOC_L_ARENA_END	TrËn ®Êu l«i ®µi bang héi ®· kÕt thóc.
LOC_L_START_CITY_WAR_ERROR	StartCityWar error....
LOC_L_END_CITY_WAR_ERROR	End City War error....
LOC_L_ILLEGAL_TAX_RATE	illegal tax rates....\n
LOC_L_SET_TAX_NOT_PERMITTED	set tax not permitted !!!
LOC_L_KILLER_CREATE_TASK	T¹o lËp nhiÖm vô - NhiÖm vô ID = %d - Ng­êi t¹o lËp = %s - Ng­êi bÞ truy s¸t = %s - §Æt cäc hÖ thèng = %d - Tæng thêi gian = %d TiÒn th­ëng = %d
LOC_L_KILLER_ACTIVE_FAILURE	Thay ®æi tr¹ng th¸i - NhiÖm vô ID= %d - Tæng thêi gian = %d - Thêi gian cßn l¹i = %d ACTIVE-> FAILURE
LOC_L_KILLER_ACTIVE_CLOSE	Thay ®æi tr¹ng th¸i - NhiÖm vô ID=%d - Tæng thêi gian = %d - Thêi gian cßn l¹i = %d ACTIVE-> CLOSE
LOC_L_KILLER_CLOSE_FAILURE	Thay ®æi tr¹ng th¸i- NhiÖm vô ID=%d - Tæng thêi gian = %d - Thêi gian cßn l¹i = %d CLOSE-> FAILURE
LOC_L_KILLER_SUCCESS_DELETESIGN	Thay ®æi tr¹ng th¸i SUCCESS/FAILURE-> DELETESIGN- NhiÖm vô ID=%d - Tæng thêi gian = %d - Thêi gian cßn l¹i = %d
LOC_L_KILLER_CANCEL_TASK	Hñy bá nhiÖm vô - NhiÖm vô ID=%d - Ng­êi t¹o lËp = %s - Ng­êi bÞ truy s¸t = %s - Tæng thêi gian = %d - Thêi gian cßn l¹i = %d - TiÒn th­ëng = %d - Ng­êi hñy bá = =%s - Tr¹ng th¸i nhiÖm vô = %d
LOC_L_KILLER_GET_TASK	TiÕp nhËn - NhiÖm vô ID=%d - Ng­êi tiÕp nhËn = %s, 
LOC_L_KILLER_GET_MONEY	TiÒn nhËn ®­îc - NhiÖm vô ID=%d - C¸ch nhËn tiÒn = %d - Sè tiÒn nhËn ®­îc (tr­íc thuÕ) = %d
LOC_L_TONG_MSG	Bang héi [%s] :%s
LOC_L_TONG_DISPATCH_MONEY	Bang héi [%s] ph¸t tiÒn cho bang chóng: Tr­ëng l·o %d ng­êi; §­êng chñ %d ng­êi; H­¬ng chñ %d ng­êi; Bang chóng %d ng­êi; LÇn l­ît ph¸t cho: %d %d %d %d, Tæng céng %d
LOC_L_TONG_DISPATCH_MONEY_OL	Bang héi [%s] ph¸t tiÒn cho bang chóng trªn m¹ng: Tr­ëng l·o %d ng­êi; §­êng chñ %d ng­êi; H­¬ng chñ %d ng­êi; Bang chóng %d ng­êi; LÇn l­ît ph¸t cho: %d %d %d %d , Tæng céng %d
LOC_L_TONG_CREATE_FAIL_NAME_1	T¹o lËp bang héi thÊt b¹i: VÊn ®Ò tªn bang héi 1
LOC_L_TONG_CREATE_FAIL_NAME_2	T¹o lËp bang héi thÊt b¹i: VÊn ®Ò tªn bang héi %s 2: qu¸ dµi %s
LOC_L_TONG_CREATE_FAIL_NAME_3	T¹o lËp bang héi thÊt b¹i: VÊn ®Ò tªn bang héi 3: Bang héi trïng tªn, Bang chñ trïng tªn hoÆc Liªn minh bang héi trïng tªn %s %s
LOC_L_TONG_CREATE_FAIL_MEM	T¹o lËp bang héi thÊt b¹i: L­u d÷ liÖu bÞ lçi %s %s
LOC_L_TONG_KICK_MEMBER	Bang héi trôc xuÊt ng­êi: %s trôc xuÊt %s!
LOC_L_TONG_KICK_MEMBER_CWS	Bang héi trôc xuÊt ng­êi: tr¹ng th¸i c«ng thµnh chiÕn: %d
LOC_L_TONG_KICK_NOT_ALLOW_IN_CW	Bang héi trôc xuÊt ng­êi: Trong thêi gian l«i ®µi hoÆc c«ng thµnh chiÕn kh«ng thÓ trôc xuÊt ng­êi!
LOC_L_TONG_TOLOAD_TONG_COUNT	Sè l­îng bang héi muèn ®­a vµo: %d
LOC_L_TONG_UNFOUND_UNION_HEADER	Rêi khái liªn minh bang héi ph¸t sinh lçi: t×m kh«ng thÊy Bang chñ!!!
LOC_L_TONG_LONG_0	Bang héi chiÕn lµm cho Bang héi thay ®æi kinh nghiÖm: Bang héi th¾ng lîi: %s, bang héi thÊt b¹i: %s!
LOC_L_TONG_LONG_1	§¼ng cÊp tr­íc ®©y cña bang héi chiÕn th¾ng %d , ®iÓm kinh nghiÖm tr­íc ®©y cña bang héi chiÕn th¾ng %d;
LOC_L_TONG_LONG_2	§¼ng cÊp tr­íc ®©y cña bang héi thÊt b¹i %d , ®iÓm kinh nghiÖm tr­íc ®©y cña bang héi thÊt b¹i %d;
LOC_L_TONG_LONG_3	§¼ng cÊp hiÖn t¹i cña bang héi chiÕn th¾ng %d , ®iÓm kinh nghiÖm hiÖn t¹i cña bang héi chiÕn th¾ng %d;
LOC_L_TONG_LONG_4	§¼ng cÊp hiÖn t¹i cña bang héi thÊt b¹i %d, ®iÓm kinh nghiÖm hiÖn t¹i cña bang héi thÊt b¹i %d;
LOC_L_TONG_LONG_5	[Thao t¸c GM] TÊn phong [%s] lµm Bang chñ bang héi [%s]!
LOC_L_TONG_LONG_6	[Thao t¸c GM] TÊn phong [%s] lµm Bang chñ bang héi [%s] thµnh c«ng!
LOC_L_TONG_LONG_7	[Thao t¸c GM] ThiÕt lËp ®¼ng cÊp bang héi lµ %s !
LOC_L_TONG_LONG_8	[Thao t¸c GM] ThiÕt lËp kinh nghiÖm bang héi lµ %s !
LOC_L_TONG_LONG_9	[Thao t¸c GM] ThiÕt lËp ®¼ng cÊp bang héi lµ %s! Thao t¸c thµnh c«ng
LOC_L_TONG_LONG_10	[Thao t¸c GM] ThiÕt lËp kinh nghiÖm bang héi lµ %s! Thao t¸c thµnh c«ng
LOC_L_TONG_LONG_11	[Thao t¸c GM] ThiÕt lËp thêi gian nhËp bang cña thµnh viªn [%s] trong bang héi [%s] lµ n¨m %d th¸ng %d ngµy %d!
LOC_L_TONG_LONG_12	[Thao t¸c GM] ThiÕt lËp thêi gian nhËp bang cña thµnh viªn [%s] trong bang héi [%s] lµ n¨m %d th¸ng %d ngµy %d! Thao t¸c thµnh c«ng!
LOC_L_TONG_LONG_13	[Thao t¸c GM] C­ìng chÕ gi¶i t¸n Bang héi [%s]!
LOC_L_TONG_LONG_14	[Thao t¸c GM] C­ìng chÕ gi¶i t¸n Bang héi [%s]! Thao t¸c thµnh c«ng!
LOC_L_RR_SAVE_FAIL	B¶o l­u tin tøc h¶o h÷u ng­êi ch¬i ph¸t sinh lçi!
LOC_L_RR_SAVE_FAIL_2	B¶o l­u tin tøc h¶o h÷u ng­êi ch¬i ph¸t sinh lçi: %s
LOC_L_SCRIPT_0	TËp tin script bao gåm khi %s ®· ph¸t sinh lçi.
LOC_L_SCRIPT_1	Sè l­îng tham sè ®­a vµo script chØ lÖnh TaskSetMode kh«ng ®óng!
LOC_L_SCRIPT_2	Sè l­îng tham sè ®­a vµo script chØ lÖnh TaskSetStartDay kh«ng ®óng!
LOC_L_TASKCENTRE_0	Thêi gian thùc thi lÇn sau: %d!
LOC_L_TASKCENTRE_1	Thêi gian thùc thi lÇn sau: th¸ng %d ngµy %d!
LOC_L_TASKCENTRE_2	File thiÕt lËp ®Þnh giê nhiÖm vô thÊt b¹i: %s!!!!!!!!
LOC_L_TASKCENTRE_3	File thiÕt lËp ®Þnh giê nhiÖm vô thÊt b¹i, vÊn ®Ò nghiªm träng!!!!!!!!
LOC_L_TASKCENTRE_4	NhËp Settings File cña nhiÖm vô ®Þnh giê: %s
LOC_L_TASKCENTRE_5	Sè l­îng nhiÖm vô ®Þnh giê: %d
LOC_L_TASKCENTRE_6	NhiÖm vô ®Þnh giê %d: %s, Sè lÇn: %d
