ItemName	ItemGene	ItemSub	ItemDetail	
Nh­ Lai Dao Qu¸n - Nam tiªu chuÈn	0	103	371	
Nh­ Lai Dao Qu¸n - Nam kh«i ng«	0	103	372	
Nh­ Lai Dao Tr­îng - Nam tiªu chuÈn	0	8	371	
Nh­ Lai Dao Tr­îng - Nam kh«i ng«	0	8	372	
Nh­ Lai Dao Trang - Nam tiªu chuÈn	0	101	371	
Nh­ Lai Dao Trang - Nam kh«i ng«	0	101	372	
Nh­ Lai Dao Béi - Nam tiªu chuÈn	0	102	371	
Nh­ Lai Dao Béi - Nam kh«i ng«	0	102	372	
Nh­ Lai D­¬ng Th­êng - Nam tiªu chuÈn	0	100	351	
Nh­ Lai D­¬ng Th­êng - Nam kh«i ng«	0	100	352	
Nh­ Lai D­¬ng Qu¸n - Nam tiªu chuÈn	0	103	351	
Nh­ Lai D­¬ng Qu¸n - Nam kh«i ng«	0	103	352	
Nh­ Lai D­¬ng Tr­îng - Nam tiªu chuÈn	0	8	351	
Nh­ Lai D­¬ng Tr­îng - Nam kh«i ng«	0	8	352	
Nh­ Lai D­¬ng Trang - Nam tiªu chuÈn	0	101	351	
Nh­ Lai D­¬ng Trang - Nam kh«i ng«	0	101	352	
Nh­ Lai D­¬ng Béi - Nam tiªu chuÈn	0	102	351	
Nh­ Lai D­¬ng Béi - Nam kh«i ng«	0	102	352	
Sa Di phôc - Nam tiªu chuÈn	0	101	401	
Sa Di phôc - Nam kh«i ng«	0	101	402	
Sa Di Hé UyÓn - Nam tiªu chuÈn	0	0	401	
Sa Di Hé UyÓn - Nam kh«i ng«	0	0	402	
Sa Di m·o - Nam tiªu chuÈn	0	103	401	
Sa Di m·o - Nam kh«i ng«	0	103	402	
Sa Di Phôc - Nam tiªu chuÈn	0	100	401	
Sa Di Phôc - Nam kh«i ng«	0	100	402	
§Êu T¨ng Bµn ChØ - Nam tiªu chuÈn	0	102	411	
§Êu T¨ng Bµn ChØ - Nam kh«i ng«	0	102	412	
§Êu T¨ng phôc - Nam tiªu chuÈn	0	101	411	
§Êu T¨ng phôc - Nam kh«i ng«	0	101	412	
§Êu T¨ng m·o - Nam tiªu chuÈn	0	103	411	
§Êu T¨ng m·o - Nam kh«i ng«	0	103	412	
§Êu T¨ng QuyÒn S¸o - Nam tiªu chuÈn	0	0	411	
§Êu T¨ng QuyÒn S¸o - Nam kh«i ng«	0	0	412	
§Êu T¨ng phôc - Nam tiªu chuÈn	0	100	411	
§Êu T¨ng phôc - Nam kh«i ng«	0	100	412	
§Êu KhÝ ChiÕn y - Nam tiªu chuÈn	0	101	421	
§Êu KhÝ ChiÕn y - Nam kh«i ng«	0	101	422	
§Êu KhÝ phôc - Nam tiªu chuÈn	0	100	421	
§Êu KhÝ phôc - Nam kh«i ng«	0	100	422	
Hé Ph¸p La H¸n kh«i - Nam tiªu chuÈn	0	103	421	
Hé Ph¸p La H¸n kh«i - Nam kh«i ng«	0	103	422	
Hé Ph¸p La H¸n_§Êu KhÝ Thñ - Nam tiªu chuÈn	0	0	421	
Hé Ph¸p La H¸n_§Êu KhÝ Thñ - Nam kh«i ng«	0	0	422	
Hé Ph¸p La H¸n §Êu KhÝ Bµn ChØ - Nam tiªu chuÈn	0	102	421	
Hé Ph¸p La H¸n §Êu KhÝ Bµn ChØ - Nam kh«i ng«	0	102	422	
Hé Ph¸p La H¸n §Êu KhÝ Giíi ChØ - Nam tiªu chuÈn	0	102	423	
Hé Ph¸p La H¸n §Êu KhÝ Giíi ChØ - Nam kh«i ng«	0	102	424	
La H¸n Dao Th­êng - Nam tiªu chuÈn	0	100	471	
La H¸n Dao Th­êng - Nam kh«i ng«	0	100	472	
La H¸n Dao Qu¸n - Nam tiªu chuÈn	0	103	471	
La H¸n Dao Qu¸n - Nam kh«i ng«	0	103	472	
La H¸n Dao Thñ - Nam tiªu chuÈn	0	0	471	
La H¸n Dao Thñ - Nam kh«i ng«	0	0	472	
La H¸n Dao Trang - Nam tiªu chuÈn	0	101	471	
La H¸n Dao Trang - Nam kh«i ng«	0	101	472	
La H¸n Dao Béi - Nam tiªu chuÈn	0	102	471	
La H¸n Dao Béi - Nam kh«i ng«	0	102	472	
La H¸n D­¬ng Th­êng - Nam tiªu chuÈn	0	100	451	
La H¸n D­¬ng Th­êng - Nam kh«i ng«	0	100	452	
La H¸n D­¬ng Qu¸n - Nam tiªu chuÈn	0	103	451	
La H¸n D­¬ng Qu¸n - Nam kh«i ng«	0	103	452	
La H¸n D­¬ng Thñ - Nam tiªu chuÈn	0	0	451	
La H¸n D­¬ng Thñ - Nam kh«i ng«	0	0	452	
La H¸n D­¬ng Trang - Nam tiªu chuÈn	0	101	451	
La H¸n D­¬ng Trang - Nam kh«i ng«	0	101	452	
La H¸n D­¬ng Béi - Nam tiªu chuÈn	0	102	451	
La H¸n D­¬ng Béi - Nam kh«i ng«	0	102	452	
T­ Khóc Tè Y - N÷ gîi c¶m	0	100	901	
T­ Khóc Tè Y - KiÒu n÷	0	100	902	
T­ Khóc - N÷ gîi c¶m	0	103	901	
T­ Khóc - KiÒu n÷	0	103	902	
T­ Khóc Tè CÇm - N÷ gîi c¶m	0	10	901	
T­ Khóc Tè CÇm - KiÒu n÷	0	10	902	
T­ Khóc phôc - N÷ gîi c¶m	0	101	901	
T­ Khóc phôc - KiÒu n÷	0	101	902	
Ph¹n ¢m Tè Y - N÷ gîi c¶m	0	100	911	
Ph¹n ¢m Tè Y - KiÒu n÷	0	100	912	
Ph¹n ¢m - N÷ gîi c¶m	0	103	911	
Ph¹n ¢m - KiÒu n÷	0	103	912	
Ph¹n ¢m cÇm - N÷ gîi c¶m	0	10	911	
Ph¹n ¢m cÇm - KiÒu n÷	0	10	912	
Ph¹n ¢m phôc - N÷ gîi c¶m	0	101	911	
Ph¹n ¢m phôc - KiÒu n÷	0	101	912	
Ph¹n ¢m giíi chØ - N÷ gîi c¶m	0	102	911	
Ph¹n ¢m giíi chØ - KiÒu n÷	0	102	912	
Ph¸p ¢m phôc - N÷ gîi c¶m	0	101	921	
Ph¸p ¢m phôc - KiÒu n÷	0	101	922	
Ph¸p ¢m y - N÷ gîi c¶m	0	100	921	
Ph¸p ¢m y - KiÒu n÷	0	100	922	
M·n nguyÖt tr©m - N÷ gîi c¶m	0	103	921	
M·n nguyÖt tr©m - KiÒu n÷	0	103	922	
H¶i NguyÖt Sø Ph¸p ¢m Ngäc Giíi ChØ - N÷ gîi c¶m	0	102	921	
H¶i NguyÖt Sø Ph¸p ¢m Ngäc Giíi ChØ - KiÒu n÷	0	102	922	
H¶i NguyÖt Sø Ph¸p ¢m Thóy Giíi ChØ - N÷ gîi c¶m	0	102	923	
H¶i NguyÖt Sø Ph¸p ¢m Thóy Giíi ChØ - KiÒu n÷	0	102	924	
H¶i NguyÖt Sø Ph¸p ¢m CÇm - N÷ gîi c¶m	0	10	921	
H¶i NguyÖt Sø Ph¸p ¢m CÇm - KiÒu n÷	0	10	922	
Ngäc N÷ Dao Th­êng - N÷ gîi c¶m	0	100	973	
Ngäc N÷ Dao Th­êng - KiÒu n÷	0	100	974	
Ngäc N÷ Dao Qu¸n - N÷ gîi c¶m	0	103	973	
Ngäc N÷ Dao Qu¸n - KiÒu n÷	0	103	974	
Ngäc N÷ Dao CÇm - N÷ gîi c¶m	0	10	973	
Ngäc N÷ Dao CÇm - KiÒu n÷	0	10	974	
Ngäc N÷ Dao Trang - N÷ gîi c¶m	0	101	973	
Ngäc N÷ Dao Trang - KiÒu n÷	0	101	974	
Ngäc N÷ Dao Béi - N÷ gîi c¶m	0	102	973	
Ngäc N÷ Dao Béi - KiÒu n÷	0	102	974	
Ngäc N÷ D­¬ng  Th­êng - N÷ gîi c¶m	0	100	953	
Ngäc N÷ D­¬ng  Th­êng - KiÒu n÷	0	100	954	
Ngäc N÷ D­¬ng  Qu¸n - N÷ gîi c¶m	0	103	953	
Ngäc N÷ D­¬ng  Qu¸n - KiÒu n÷	0	103	954	
Ngäc N÷ D­¬ng  CÇm - N÷ gîi c¶m	0	10	953	
Ngäc N÷ D­¬ng  CÇm - KiÒu n÷	0	10	954	
Ngäc N÷ D­¬ng  Trang - N÷ gîi c¶m	0	101	953	
Ngäc N÷ D­¬ng  Trang - KiÒu n÷	0	101	954	
Ngäc N÷ D­¬ng  Béi - N÷ gîi c¶m	0	102	953	
Ngäc N÷ D­¬ng  Béi - KiÒu n÷	0	102	954	
Thanh T©m Tè KiÕm - N÷ gîi c¶m	0	2	801	
Thanh T©m Tè KiÕm - KiÒu n÷	0	2	802	
Thanh T©m Tè Y - N÷ gîi c¶m	0	100	801	
Thanh T©m Tè Y - KiÒu n÷	0	100	802	
Thanh T©m - N÷ gîi c¶m	0	103	801	
Thanh T©m - KiÒu n÷	0	103	802	
Thanh T©m tó trang - N÷ gîi c¶m	0	101	801	
Thanh T©m tó trang - KiÒu n÷	0	101	802	
Th¸i Vò Giíi ChØ - N÷ gîi c¶m	0	102	811	
Th¸i Vò Giíi ChØ - KiÒu n÷	0	102	812	
ThÓ Vò Khinh KiÕm - N÷ gîi c¶m	0	2	811	
ThÓ Vò Khinh KiÕm - KiÒu n÷	0	2	812	
Th¸i Vò Tè Y - N÷ gîi c¶m	0	100	811	
Th¸i Vò Tè Y - KiÒu n÷	0	100	812	
Th¸i Vò - N÷ gîi c¶m	0	103	811	
Th¸i Vò - KiÒu n÷	0	103	812	
Th¸i Vò tó phôc - N÷ gîi c¶m	0	101	811	
Th¸i Vò tó phôc - KiÒu n÷	0	101	812	
Tö Tróc Sø Ph¸p V©n KiÕm - N÷ gîi c¶m	0	2	821	
Tö Tróc Sø Ph¸p V©n KiÕm - KiÒu n÷	0	2	822	
Ph¸p V©n tr©m - N÷ gîi c¶m	0	103	821	
Ph¸p V©n tr©m - KiÒu n÷	0	103	822	
Ph¸p V©n phôc - N÷ gîi c¶m	0	101	821	
Ph¸p V©n phôc - KiÒu n÷	0	101	822	
Ph¸p V©n y - N÷ gîi c¶m	0	100	821	
Ph¸p V©n y - KiÒu n÷	0	100	822	
Tö Tróc Sø Ph¸p V©n Ngäc Giíi ChØ - N÷ gîi c¶m	0	102	821	
Tö Tróc Sø Ph¸p V©n Ngäc Giíi ChØ - KiÒu n÷	0	102	822	
Tö Tróc Sø Ph¸p V©n Thuý Giíi ChØ - N÷ gîi c¶m	0	102	823	
Tö Tróc Sø Ph¸p V©n Thuý Giíi ChØ - KiÒu n÷	0	102	824	
Quan ¢m Dao Th­êng - N÷ gîi c¶m	0	100	873	
Quan ¢m Dao Th­êng - KiÒu n÷	0	100	874	
Quan ¢m Dao Qu¸n - N÷ gîi c¶m	0	103	873	
Quan ¢m Dao Qu¸n - KiÒu n÷	0	103	874	
Quan ¢m Dao KiÕm - N÷ gîi c¶m	0	2	873	
Quan ¢m Dao KiÕm - KiÒu n÷	0	2	874	
Quan ¢m Dao Trang - N÷ gîi c¶m	0	101	873	
Quan ¢m Dao Trang - KiÒu n÷	0	101	874	
Quan ¢m Dao Béi - N÷ gîi c¶m	0	102	873	
Quan ¢m Dao Béi - KiÒu n÷	0	102	874	
Quan ¢m D­¬ng Th­êng - N÷ gîi c¶m	0	100	853	
Quan ¢m D­¬ng Th­êng - KiÒu n÷	0	100	854	
Quan ¢m D­¬ng Qu¸n - N÷ gîi c¶m	0	103	853	
Quan ¢m D­¬ng Qu¸n - KiÒu n÷	0	103	854	
Quan ¢m D­¬ng KiÕm - N÷ gîi c¶m	0	2	853	
Quan ¢m D­¬ng KiÕm - KiÒu n÷	0	2	854	
Quan ¢m D­¬ng Trang - N÷ gîi c¶m	0	101	853	
Quan ¢m D­¬ng Trang - KiÒu n÷	0	101	854	
Quan ¢m D­¬ng Béi - N÷ gîi c¶m	0	102	853	
Quan ¢m D­¬ng Béi - KiÒu n÷	0	102	854	
Thanh Tu kiÕm - Nam tiªu chuÈn	0	2	1401	
Thanh Tu kiÕm - Nam kh«i ng«	0	2	1402	
Thanh Tu kiÕm - N÷ gîi c¶m	0	2	1403	
Thanh Tu kiÕm - KiÒu n÷	0	2	1404	
Thanh Tu c©n - Nam tiªu chuÈn	0	103	1401	
Thanh Tu c©n - Nam kh«i ng«	0	103	1402	
Thanh Tu c©n - N÷ gîi c¶m	0	103	1403	
Thanh Tu c©n - KiÒu n÷	0	103	1404	
Thanh Tu bµo - Nam tiªu chuÈn	0	100	1401	
Thanh Tu bµo - Nam kh«i ng«	0	100	1402	
Thanh Tu bµo - N÷ gîi c¶m	0	100	1403	
Thanh Tu bµo - KiÒu n÷	0	100	1404	
Thanh Tu phôc - Nam tiªu chuÈn	0	101	1401	
Thanh Tu phôc - Nam kh«i ng«	0	101	1402	
Thanh Tu phôc - N÷ gîi c¶m	0	101	1403	
Thanh Tu phôc - KiÒu n÷	0	101	1404	
NhËp Qu¸n ph¸p bµo - Nam tiªu chuÈn	0	100	1411	
NhËp Qu¸n ph¸p bµo - Nam kh«i ng«	0	100	1412	
NhËp Qu¸n ph¸p bµo - N÷ gîi c¶m	0	100	1413	
NhËp Qu¸n ph¸p bµo - KiÒu n÷	0	100	1414	
NhËp ThÊt c©n - Nam tiªu chuÈn	0	103	1411	
NhËp ThÊt c©n - Nam kh«i ng«	0	103	1412	
NhËp ThÊt c©n - N÷ gîi c¶m	0	103	1413	
NhËp ThÊt c©n - KiÒu n÷	0	103	1414	
NhËp Quan ph¸p kiÕm - Nam tiªu chuÈn	0	2	1411	
NhËp Quan ph¸p kiÕm - Nam kh«i ng«	0	2	1412	
NhËp Quan ph¸p kiÕm - N÷ gîi c¶m	0	2	1413	
NhËp Quan ph¸p kiÕm - KiÒu n÷	0	2	1414	
NhËp Quan phôc - Nam tiªu chuÈn	0	101	1411	
NhËp Quan phôc - Nam kh«i ng«	0	101	1412	
NhËp Quan phôc - N÷ gîi c¶m	0	101	1413	
NhËp Quan phôc - KiÒu n÷	0	101	1414	
NhËp Quan lÖnh - Nam tiªu chuÈn	0	102	1411	
NhËp Quan lÖnh - Nam kh«i ng«	0	102	1412	
NhËp Quan lÖnh - N÷ gîi c¶m	0	102	1413	
NhËp Quan lÖnh - KiÒu n÷	0	102	1414	
Tø T­îng ph¸p kiÕm - Nam tiªu chuÈn	0	2	1421	
Tø T­îng ph¸p kiÕm - Nam kh«i ng«	0	2	1422	
Tø T­îng ph¸p kiÕm - N÷ gîi c¶m	0	2	1423	
Tø T­îng ph¸p kiÕm - KiÒu n÷	0	2	1424	
V« Ng· Tø T­îng Giíi ChØ - Nam tiªu chuÈn	0	102	1421	
V« Ng· Tø T­îng Giíi ChØ - Nam kh«i ng«	0	102	1422	
V« Ng· Tø T­îng Giíi ChØ - N÷ gîi c¶m	0	102	1423	
V« Ng· Tø T­îng Giíi ChØ - KiÒu n÷	0	102	1424	
V« Ng· Tø T­îng ChØ Hoµn - Nam tiªu chuÈn	0	102	1425	
V« Ng· Tø T­îng ChØ Hoµn - Nam kh«i ng«	0	102	1426	
V« Ng· Tø T­îng ChØ Hoµn - N÷ gîi c¶m	0	102	1427	
V« Ng· Tø T­îng ChØ Hoµn - KiÒu n÷	0	102	1428	
Tø T­îng c©n - Nam tiªu chuÈn	0	103	1421	
Tø T­îng c©n - Nam kh«i ng«	0	103	1422	
Tø T­îng c©n - N÷ gîi c¶m	0	103	1423	
Tø T­îng c©n - KiÒu n÷	0	103	1424	
Tø T­îng ph¸p bµo - Nam tiªu chuÈn	0	100	1421	
Tø T­îng ph¸p bµo - Nam kh«i ng«	0	100	1422	
Tø T­îng ph¸p bµo - N÷ gîi c¶m	0	100	1423	
Tø T­îng ph¸p bµo - KiÒu n÷	0	100	1424	
Tø T­îng phôc - Nam tiªu chuÈn	0	101	1421	
Tø T­îng phôc - Nam kh«i ng«	0	101	1422	
Tø T­îng phôc - N÷ gîi c¶m	0	101	1423	
Tø T­îng phôc - KiÒu n÷	0	101	1424	
Ch©n Vò Dao Th­êng - Nam tiªu chuÈn	0	100	1471	
Ch©n Vò Dao Th­êng - Nam kh«i ng«	0	100	1472	
Ch©n Vò Dao Th­êng - N÷ gîi c¶m	0	100	1473	
Ch©n Vò Dao Th­êng - KiÒu n÷	0	100	1474	
Ch©n Vò Dao Qu¸n - Nam tiªu chuÈn	0	103	1471	
Ch©n Vò Dao Qu¸n - Nam kh«i ng«	0	103	1472	
Ch©n Vò Dao Qu¸n - N÷ gîi c¶m	0	103	1473	
Ch©n Vò Dao Qu¸n - KiÒu n÷	0	103	1474	
Ch©n Vò Dao KiÕm - Nam tiªu chuÈn	0	2	1471	
Ch©n Vò Dao KiÕm - Nam kh«i ng«	0	2	1472	
Ch©n Vò Dao KiÕm - N÷ gîi c¶m	0	2	1473	
Ch©n Vò Dao KiÕm - KiÒu n÷	0	2	1474	
Ch©n Vò Dao Trang - Nam tiªu chuÈn	0	101	1471	
Ch©n Vò Dao Trang - Nam kh«i ng«	0	101	1472	
Ch©n Vò Dao Trang - N÷ gîi c¶m	0	101	1473	
Ch©n Vò Dao Trang - KiÒu n÷	0	101	1474	
Ch©n Vò Dao Béi - Nam tiªu chuÈn	0	102	1471	
Ch©n Vò Dao Béi - Nam kh«i ng«	0	102	1472	
Ch©n Vò Dao Béi - N÷ gîi c¶m	0	102	1473	
Ch©n Vò Dao Béi - KiÒu n÷	0	102	1474	
Ch©n Vò D­¬ng Th­êng - Nam tiªu chuÈn	0	100	1451	
Ch©n Vò D­¬ng Th­êng - Nam kh«i ng«	0	100	1452	
Ch©n Vò D­¬ng Th­êng - N÷ gîi c¶m	0	100	1453	
Ch©n Vò D­¬ng Th­êng - KiÒu n÷	0	100	1454	
Ch©n Vò D­¬ng Qu¸n - Nam tiªu chuÈn	0	103	1451	
Ch©n Vò D­¬ng Qu¸n - Nam kh«i ng«	0	103	1452	
Ch©n Vò D­¬ng Qu¸n - N÷ gîi c¶m	0	103	1453	
Ch©n Vò D­¬ng Qu¸n - KiÒu n÷	0	103	1454	
Ch©n Vò D­¬ng KiÕm - Nam tiªu chuÈn	0	2	1451	
Ch©n Vò D­¬ng KiÕm - Nam kh«i ng«	0	2	1452	
Ch©n Vò D­¬ng KiÕm - N÷ gîi c¶m	0	2	1453	
Ch©n Vò D­¬ng KiÕm - KiÒu n÷	0	2	1454	
Ch©n Vò D­¬ng Trang - Nam tiªu chuÈn	0	101	1451	
Ch©n Vò D­¬ng Trang - Nam kh«i ng«	0	101	1452	
Ch©n Vò D­¬ng Trang - N÷ gîi c¶m	0	101	1453	
Ch©n Vò D­¬ng Trang - KiÒu n÷	0	101	1454	
Ch©n Vò D­¬ng Béi - Nam tiªu chuÈn	0	102	1451	
Ch©n Vò D­¬ng Béi - Nam kh«i ng«	0	102	1452	
Ch©n Vò D­¬ng Béi - N÷ gîi c¶m	0	102	1453	
Ch©n Vò D­¬ng Béi - KiÒu n÷	0	102	1454	
Thanh Phong thÝch - Nam tiªu chuÈn	0	9	1501	
Thanh Phong thÝch - Nam kh«i ng«	0	9	1502	
Thanh Phong thÝch - N÷ gîi c¶m	0	9	1503	
Thanh Phong thÝch - KiÒu n÷	0	9	1504	
Thanh Phong c©n - Nam tiªu chuÈn	0	103	1501	
Thanh Phong c©n - Nam kh«i ng«	0	103	1502	
Thanh Phong c©n - N÷ gîi c¶m	0	103	1503	
Thanh Phong c©n - KiÒu n÷	0	103	1504	
Thanh Phong bµo - Nam tiªu chuÈn	0	100	1501	
Thanh Phong bµo - Nam kh«i ng«	0	100	1502	
Thanh Phong bµo - N÷ gîi c¶m	0	100	1503	
Thanh Phong bµo - KiÒu n÷	0	100	1504	
Thanh Phong phôc - Nam tiªu chuÈn	0	101	1501	
Thanh Phong phôc - Nam kh«i ng«	0	101	1502	
Thanh Phong phôc - N÷ gîi c¶m	0	101	1503	
Thanh Phong phôc - KiÒu n÷	0	101	1504	
ThiÓu D­¬ng thÝch - Nam tiªu chuÈn	0	9	1511	
ThiÓu D­¬ng thÝch - Nam kh«i ng«	0	9	1512	
ThiÓu D­¬ng thÝch - N÷ gîi c¶m	0	9	1513	
ThiÓu D­¬ng thÝch - KiÒu n÷	0	9	1514	
ThiÓu D­¬ng c©n - Nam tiªu chuÈn	0	103	1511	
ThiÓu D­¬ng c©n - Nam kh«i ng«	0	103	1512	
ThiÓu D­¬ng c©n - N÷ gîi c¶m	0	103	1513	
ThiÓu D­¬ng c©n - KiÒu n÷	0	103	1514	
ThiÓu D­¬ng béi - Nam tiªu chuÈn	0	102	1511	
ThiÓu D­¬ng béi - Nam kh«i ng«	0	102	1512	
ThiÓu D­¬ng béi - N÷ gîi c¶m	0	102	1513	
ThiÓu D­¬ng béi - KiÒu n÷	0	102	1514	
ThiÓu D­¬ng th­êng - Nam tiªu chuÈn	0	100	1511	
ThiÓu D­¬ng th­êng - Nam kh«i ng«	0	100	1512	
ThiÓu D­¬ng th­êng - N÷ gîi c¶m	0	100	1513	
ThiÓu D­¬ng th­êng - KiÒu n÷	0	100	1514	
ThiÓu D­¬ng phôc - Nam tiªu chuÈn	0	101	1511	
ThiÓu D­¬ng phôc - Nam kh«i ng«	0	101	1512	
ThiÓu D­¬ng phôc - N÷ gîi c¶m	0	101	1513	
ThiÓu D­¬ng phôc - KiÒu n÷	0	101	1514	
Linh Phong thÝch - Nam tiªu chuÈn	0	9	1521	
Linh Phong thÝch - Nam kh«i ng«	0	9	1522	
Linh Phong thÝch - N÷ gîi c¶m	0	9	1523	
Linh Phong thÝch - KiÒu n÷	0	9	1524	
Linh Phong th­êng - Nam tiªu chuÈn	0	100	1521	
Linh Phong th­êng - Nam kh«i ng«	0	100	1522	
Linh Phong th­êng - N÷ gîi c¶m	0	100	1523	
Linh Phong th­êng - KiÒu n÷	0	100	1524	
Linh Phong c©n - Nam tiªu chuÈn	0	103	1521	
Linh Phong c©n - Nam kh«i ng«	0	103	1522	
Linh Phong c©n - N÷ gîi c¶m	0	103	1523	
Linh Phong c©n - KiÒu n÷	0	103	1524	
Linh Phong phôc - Nam tiªu chuÈn	0	101	1521	
Linh Phong phôc - Nam kh«i ng«	0	101	1522	
Linh Phong phôc - N÷ gîi c¶m	0	101	1523	
Linh Phong phôc - KiÒu n÷	0	101	1524	
Nhµn V©n HiÖp §¹o Linh Phong ChØ - Nam tiªu chuÈn	0	102	1521	
