Tªn trang søc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	"Phßng ngù (Néi, ngo¹i)"	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	"Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)"	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Cöu Thiªn HuyÒn Ngäc	0	102	129	10	1		50						500117	10				\image\item\ring\Ì«Ğé»ÃÓña1.spr	\image\item\ring\Ì«Ğé»ÃÓña0.spr	"Tiªn b¶o Cöu Thiªn HuyÒn N÷ ®¸nh r¬i trong Th¸i H­ HuyÔn c¶nh, sau khi ®­îc cao nh©n lµm phĞp sÏ gióp ng­êi luyÖn vâ t¨ng thªm søc m¹nh."		Bè phÈm		7	0	1		0					
Cöu Thiªn HuyÒn §¸i	0	102	130	10	1		50						500118	10				\image\item\ring\Ì«Ğé»Ã´øa1.spr	\image\item\ring\Ì«Ğé»Ã´øa0.spr	"Tiªn b¶o Cöu Thiªn HuyÒn N÷ ®¸nh r¬i trong Th¸i H­ HuyÔn c¶nh, sau khi ®­îc cao nh©n lµm phĞp sÏ gióp ng­êi luyÖn vâ t¨ng thªm th©n ph¸p."		Bè phÈm		7	0	1		0					
Cöu Thiªn HuyÒn Hoµn	0	102	131	10	1		50						500119	10				\image\item\ring\Ì«Ğé»Ã»·a1.spr	\image\item\ring\Ì«Ğé»Ã»·a0.spr	"Tiªn b¶o Cöu Thiªn HuyÒn N÷ ®¸nh r¬i trong Th¸i H­ HuyÔn c¶nh, sau khi ®­îc cao nh©n lµm phĞp sÏ gióp ng­êi luyÖn vâ t¨ng thªm g©n cèt."		Bè phÈm		7	2	1		0					
Cöu Thiªn HuyÒn Béi	0	102	132	10	1		50						500120	10				\image\item\ring\Ì«Ğé»ÃÅåa1.spr	\image\item\ring\Ì«Ğé»ÃÅåa0.spr	"Tiªn b¶o Cöu Thiªn HuyÒn N÷ ®¸nh r¬i trong Th¸i H­ HuyÔn c¶nh, sau khi ®­îc cao nh©n lµm phĞp sÏ gióp ng­êi luyÖn vâ t¨ng thªm néi c«ng."		Bè phÈm		7	0	1		0					
Cöu Thiªn HuyÒn Giíi	0	102	133	10	1		50						500121	10				\image\item\ring\Ì«Ğé»Ã½äa1.spr	\image\item\ring\Ì«Ğé»Ã½äa0.spr	"Tiªn b¶o Cöu Thiªn HuyÒn N÷ ®¸nh r¬i trong Th¸i H­ HuyÔn c¶nh, sau khi ®­îc cao nh©n lµm phĞp sÏ gióp ng­êi luyÖn vâ t¨ng thªm Linh ho¹t."		Bè phÈm		7	0	1		0					
Cöu Thiªn HuyÒn §¹i	0	102	134	10	1		50						500122	10				\image\item\ring\Ì«Ğé»Ã´üa1.spr	\image\item\ring\Ì«Ğé»Ã´üa0.spr	"Tiªn b¶o Cöu Thiªn HuyÒn N÷ ®¸nh r¬i trong Th¸i H­ HuyÔn c¶nh, sau khi ®­îc cao nh©n lµm phĞp ®éc tİnh cña nã h¬n c¶ ma vËt."		Bè phÈm		7	0	1		0					
Cöu Thiªn HuyÒn Th¹ch	0	102	135	10	1		50						500123	10				\image\item\ring\Ì«Ğé»ÃÊ¯a1.spr	\image\item\ring\Ì«Ğé»ÃÊ¯a0.spr	"Tiªn b¶o Cöu Thiªn HuyÒn N÷ ®¸nh r¬i trong Th¸i H­ HuyÔn c¶nh, sau khi ®­îc cao nh©n lµm phĞp cã thÓ xuyªn thñng tÊt c¶ b¶o gi¸p."		Bè phÈm		7	2	1		0					
TiÓu Th­ Giíi ChØ	0	102	36	1	30000		50						501001	10				\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	Trang søc cña tiÓu th­ Tµng KiÕm S¬n Trang		Bè phÈm		7	0	1		0					
Tr­ëng L·o ChØ Hoµn	0	102	37	1	30000		50						501002	10				\image\item\other\³¤ÀÏÖ¸»·a1.spr	\image\item\other\³¤ÀÏÖ¸»·a0_120.spr	NhÉn cña §¹i Tr­ëng L·o Tµng KiÕm S¬n Trang		Bè phÈm		7	0	1		0					
Tµng KiÕm B¶o Ch©u	0	102	38	1	0		100						501003	10				\image\item\ring\±¦Öéa1.spr	\image\item\ring\±¦Öé120a0.spr	"TrÊn trang chi b¶o cña Tµng KiÕm S¬n Trang, lµm tõ h¹t ngäc trai."		Bè phÈm		9	2	1		0					
Tµng KiÕm Kú Th¹ch	0	102	39	1	0		100						501004	10				\image\item\other\¾øÇéÊ¯a1.spr	\image\item\other\¾øÇéÊ¯a0_120.spr	"TrÊn trang chi b¶o cña Tµng KiÕm S¬n Trang, cã thÓ xua ®uæi tµ ma"		Bè phÈm		9	2	1		0					
Tµng KiÕm Kim Ên	0	102	40	1	0		100						501005	10				\image\item\other\×¯Ö÷±¦Ó¡a1.spr	\image\item\other\×¯Ö÷±¦Ó¡a0_120.spr	"TrÊn trang chi b¶o cña Tµng KiÕm S¬n Trang, ®­îc Cöu TuyÖt KiÕm Ma ®óc thµnh tõ ngäc tû Hßa ThŞ Bİch."		Bè phÈm		9	2	1		0					
Ngäc Thè D­îc Bao	0	102	41	1	40000		50						500114	10				\image\item\ring\ring_002a1.spr	\image\item\ring\ring_002a0.spr	TruyÒn thuyÕt lµ bao thuèc treo tr­íc ngùc thá ngäc.		Bè phÈm	\script\online\3festival\item\yueliangtu.lua	7	0	1		0					
H»ng Nga NguyÖt Vò §¸i	0	102	42	1	50000		100						500115	10	 			\image\item\ring\Æ®´ø2a1.spr	\image\item\ring\Æ®´ø2a0.spr	"H»ng Nga rÊt thİch, cã thÓ xua tan mäi hiÓm häa."		Bè phÈm	\script\online\3festival\item\change.lua	8	2	1		0					
HËu NghÖ L¹c NhËt Hoµn	0	102	43	1	50000		100						500116	10	 			\image\item\ring\ring_021a1.spr	\image\item\ring\ring_021a0.spr	"TruyÒn thuyÕt,HËu NghÖ tõng ®eo khi b¾n r¬i mÆt trêi, cùc kú quı gi¸"		Bè phÈm	\script\online\3festival\item\houyi.lua	8	2	1		0					
Thèi X¸n Chi Tinh	0	102	44	1	50000		100						600016	10				\image\item\other\ĞÇĞÇÀñ»¨a1.spr	\image\item\other\ĞÇĞÇÀñ»¨a2.spr	VËt phÈm thÇn bİ chiÕt x¹ mét luång søc m¹nh cùc lín		§· khãa	\script\item\bright_star.lua	8	2	1		0					
Kim Cang D­¬ng Béi	0	102	251	3	50		50						250101	10	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	"Lo¹i ngäc béi tinh quı, mang ®Õn mét luång kh«ng khİ Êm ¸p"		§· khãa		5	2	1	2	0					
Kim Cang Dao Béi	0	102	271	5	50		70						270101	10	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	"Lo¹i ngäc béi mµu ®en, mang ®Õn mét luång kh«ng khİ Êm ¸p"		§· khãa		7	2	1	2	0					
Kim Cang D­¬ng Béi	0	102	252	3	50		50						250201	10	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	"Lo¹i ngäc béi tinh quı, mang ®Õn mét luång kh«ng khİ Êm ¸p"		§· khãa		5	2	1	2	0					
Kim Cang Dao Béi	0	102	272	5	50		70						270201	10	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	"Lo¹i ngäc béi mµu ®en, mang ®Õn mét luång kh«ng khİ Êm ¸p"		§· khãa		7	2	1	2	0					
Nh­ Lai D­¬ng Béi	0	102	351	3	50		50						350101	10	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	"Lo¹i ngäc béi tinh quı, mang ®Õn mét luång kh«ng khİ Êm ¸p"		§· khãa		5	2	1	3	0					
Nh­ Lai Dao Béi	0	102	371	5	50		70						370101	10	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	"Lo¹i ngäc béi mµu ®en, mang ®Õn mét luång kh«ng khİ Êm ¸p"		§· khãa		7	2	1	3	0					
Nh­ Lai D­¬ng Béi	0	102	352	3	50		50						350201	10	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	"Lo¹i ngäc béi tinh quı, mang ®Õn mét luång kh«ng khİ Êm ¸p"		§· khãa		5	2	1	3	0					
Nh­ Lai Dao Béi	0	102	372	5	50		70						370201	10	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	"Lo¹i ngäc béi mµu ®en, mang ®Õn mét luång kh«ng khİ Êm ¸p"		§· khãa		7	2	1	3	0					
La H¸n D­¬ng Béi	0	102	451	3	50		50						450101	10	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	"Lo¹i ngäc béi tinh quı, mang ®Õn mét luång kh«ng khİ Êm ¸p"		§· khãa		5	2	1	4	0					
La H¸n Dao Béi	0	102	471	5	50		70						470101	10	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	"Lo¹i ngäc béi mµu ®en, mang ®Õn mét luång kh«ng khİ Êm ¸p"		§· khãa		7	2	1	4	0					
La H¸n D­¬ng Béi	0	102	452	3	50		50						450201	10	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	"Lo¹i ngäc béi tinh quı, mang ®Õn mét luång kh«ng khİ Êm ¸p"		§· khãa		5	2	1	4	0					
La H¸n Dao Béi	0	102	472	5	50		70						470201	10	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	"Lo¹i ngäc béi mµu ®en, mang ®Õn mét luång kh«ng khİ Êm ¸p"		§· khãa		7	2	1	4	0					
HiÖp Kh¸ch D­¬ng Béi	0	102	651	3	50		50						650101	10	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	"Lo¹i ngäc béi tinh quı, mang ®Õn mét luång kh«ng khİ Êm ¸p"		§· khãa		5	2	1	6	0					
HiÖp Kh¸ch Dao Béi	0	102	671	5	50		70						670101	10	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	"Lo¹i ngäc béi mµu ®en, mang ®Õn mét luång kh«ng khİ Êm ¸p"		§· khãa		7	2	1	6	0					
HiÖp Kh¸ch D­¬ng Béi	0	102	652	3	50		50						650201	10	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	"Lo¹i ngäc béi tinh quı, mang ®Õn mét luång kh«ng khİ Êm ¸p"		§· khãa		5	2	1	6	0					
HiÖp Kh¸ch Dao Béi	0	102	672	5	50		70						670201	10	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	"Lo¹i ngäc béi mµu ®en, mang ®Õn mét luång kh«ng khİ Êm ¸p"		§· khãa		7	2	1	6	0					
HiÖp Kh¸ch D­¬ng Béi	0	102	653	3	50		50						650301	10	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	"H­¬ng nang cã chøa trÇm h­¬ng, cã t¸c dông thanh t©m tŞnh khİ"		§· khãa		5	2	1	6	0					
HiÖp Kh¸ch Dao Béi	0	102	673	5	50		70						670301	10	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	"Long diªn h­¬ng nang, cã t¸c dông thanh t©m tŞnh khİ"		§· khãa		7	2	1	6	0					
HiÖp Kh¸ch D­¬ng Béi	0	102	654	3	50		50						650401	10	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	"H­¬ng nang cã chøa trÇm h­¬ng, cã t¸c dông thanh t©m tŞnh khİ"		§· khãa		5	2	1	6	0					
HiÖp Kh¸ch Dao Béi	0	102	674	5	50		70						670401	10	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	"Long diªn h­¬ng nang, cã t¸c dông thanh t©m tŞnh khİ"		§· khãa		7	2	1	6	0					
Quan ¢m D­¬ng Béi	0	102	853	3	50		50						850301	10	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	"H­¬ng nang cã chøa trÇm h­¬ng, cã t¸c dông thanh t©m tŞnh khİ"		§· khãa		5	2	1	8	0					
Quan ¢m Dao Béi	0	102	873	5	50		70						870301	10	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	"Long diªn h­¬ng nang, cã t¸c dông thanh t©m tŞnh khİ"		§· khãa		7	2	1	8	0					
Quan ¢m D­¬ng Béi	0	102	854	3	50		50						850401	10	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	"H­¬ng nang cã chøa trÇm h­¬ng, cã t¸c dông thanh t©m tŞnh khİ"		§· khãa		5	2	1	8	0					
Quan ¢m Dao Béi	0	102	874	5	50		70						870401	10	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	"Long diªn h­¬ng nang, cã t¸c dông thanh t©m tŞnh khİ"		§· khãa		7	2	1	8	0					
Ngäc N÷ D­¬ng  Béi	0	102	953	3	50		50						950301	10	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	"H­¬ng nang cã chøa trÇm h­¬ng, cã t¸c dông thanh t©m tŞnh khİ"		§· khãa		5	2	1	9	0					
Ngäc N÷ Dao Béi	0	102	973	5	50		70						970301	10	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	"Long diªn h­¬ng nang, cã t¸c dông thanh t©m tŞnh khİ"		§· khãa		7	2	1	9	0					
Ngäc N÷ D­¬ng  Béi	0	102	954	3	50		50						950401	10	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	"H­¬ng nang cã chøa trÇm h­¬ng, cã t¸c dông thanh t©m tŞnh khİ"		§· khãa		5	2	1	9	0					
Ngäc N÷ Dao Béi	0	102	974	5	50		70						970401	10	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	"Long diªn h­¬ng nang, cã t¸c dông thanh t©m tŞnh khİ"		§· khãa		7	2	1	9	0					
Gi¸ng Long D­¬ng Béi	0	102	1151	3	50		50						1150101	10	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	"Lo¹i ngäc béi tinh quı, mang ®Õn mét luång kh«ng khİ Êm ¸p"		§· khãa		5	2	1	11	0					
