Tªn giµy	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Søc phßng ngù (ngo¹i ; néi)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	"Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)"	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Háa C¸n Tó Trang	0	101	42	20	822	0	100	7;22						10	2	3		\image\item\shoe\fm1_tro_006a1.spr	\image\item\shoe\fm1_tro_006a0.spr	"§­îc dÖt tõ v¶i Háa Hoµn kh«ng thÊm n­íc, v« cïng quı hiÕm."	ĞÔ¸ĞÅ®ÏÂÉí034	H¹ y		2	0	0		0					
LuyÖn Gi¸p Tó Trang	0	101	43	50	1235	0	125	24;7						10	2	3		\image\item\shoe\fm1_tro_007a1.spr	\image\item\shoe\fm1_tro_007a0.spr	"Tó trang th­êng cã quÊn m¶nh luyÖn gi¸p, chuyªn dïng kh¾c chÕ §Şa Th¶ng ®ao ph¸p."	ĞÔ¸ĞÅ®ÏÂÉí028	H¹ y		3	0	0		0					
S­ Man Tó Trang	0	101	44	25	1294	0	110	8;24						10	2	3		\image\item\shoe\fm1_tro_008a1.spr	\image\item\shoe\fm1_tro_008a0.spr	"DÖt b»ng gÊm Thiªn Gi¸ng quÊn S­ Man ®ai, di chuyÓn dÔ dµng."	ĞÔ¸ĞÅ®ÏÂÉí020	H¹ y		3	0	0		0					
CÈm Anh Tó Trang	0	101	45	60	2062	0	140	26;8						10	2	3		\image\item\shoe\fm1_tro_009a1.spr	\image\item\shoe\fm1_tro_009a0.spr	"N÷ tó trang dung hßa ThÇn ch©m chøc ph¸p, ch©m ph¸p c­¬ng nhu t­¬ng tÒ, vèn lµ mét m«n vâ häc th­îng thõa."	ĞÔ¸ĞÅ®ÏÂÉí027	H¹ y		3	0	0		0					
V©n Hµ Tó Trang	0	101	46	30	2181	0	120	9;26						10	2	3		\image\item\shoe\fm1_tro_010a1.spr	\image\item\shoe\fm1_tro_010a0.spr	"Dµnh cho c¸c ng­êi ®Ñp vâ l©m sang träng, mang d¸ng vÎ khoan thai quı ph¸i."	ĞÔ¸ĞÅ®ÏÂÉí025	H¹ y		3	0	0		0					
Toµn Kim Gi¸p Trang	0	101	47	70	3787	0	155	28;9						10	2	3		\image\item\shoe\fm1_tro_011a1.spr	\image\item\shoe\fm1_tro_011a0.spr	"DÖt b»ng lo¹i t¬ Tinh thiÕt rÊt nÆng, lùc phßng vÖ lín, bËc n÷ l­u tÇm th­êng kh«ng dïng ®­îc."	ĞÔ¸ĞÅ®ÏÂÉí008	H¹ y		4	0	0		0					
Hång V©n Tó Trang	0	101	48	35	4095	0	130	10;28						10	2	3		\image\item\shoe\fm1_tro_012a1.spr	\image\item\shoe\fm1_tro_012a0.spr	"Tó trang mµu hång, bÒ mÆt nh­ cã bãng m©y l­în lê, tùa hå Èn chøa chiªu kiÕm ph¸p tuyÖt diÖu."	ĞÔ¸ĞÅ®ÏÂÉí006	H¹ y		4	0	0		0					
L«i ThÇn	0	101	49	80	6128	0	170	30;10						10	2	3		\image\item\shoe\fm1_tro_013a1.spr	\image\item\shoe\fm1_tro_013a0.spr	"N÷ phôc L«i M«n ë Tİch LŞch §­êng Giang Nam, mÆt trong cã tói ®ùng Háa khİ."	ĞÔ¸ĞÅ®ÏÂÉí007	H¹ y		5	0	0		0					
Thiªn M·	0	101	50	40	6559	0	140	10;30						10	2	3		\image\item\shoe\fm1_tro_014a1.spr	\image\item\shoe\fm1_tro_014a0.spr	B¶o vËt tïy th©n cña Thiªn M· bang chñ	ĞÔ¸ĞÅ®ÏÂÉí024	H¹ y		5	0	0		0					
Ph¸ TrËn	0	101	51	90	9576	0	185	32;10						10	2	3		\image\item\shoe\fm1_tro_015a1.spr	\image\item\shoe\fm1_tro_015a0.spr	"N÷ phôc bäc gi¸p nÆng, chuyªn dïng ph¸ trËn."	ĞÔ¸ĞÅ®ÏÂÉí032	H¹ y		6	0	0		0					
PhÊt V©n	0	101	52	45	10078	0	150	10;32						10	2	3		\image\item\shoe\fm1_tro_016a1.spr	\image\item\shoe\fm1_tro_016a0.spr	N÷ phôc quı hiÕm dÖt b»ng lo¹i gÊm rÊt mÒm m¹i.	ĞÔ¸ĞÅ®ÏÂÉí030	H¹ y		6	0	0		0					
Hæ TiÕu	0	101	53	100	15834	0	200	34;11						10	2	3		\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	"N÷ phôc lµm tõ da cña TiÕu NguyÖt ThÇn Hæ, oai phong lÉm lÉm, s¸t khİ v« biªn."	ĞÔ¸ĞÅ®ÏÂÉí036	H¹ y		7	0	0		0					
Th¸i Thanh	0	101	54	50	17055	0	160	11;34						10	2	3		\image\item\shoe\fm1_tro_018a1.spr	\image\item\shoe\fm1_tro_018a0.spr	"T­¬ng truyÒn lµ b¶o y cña Th­îng Nguyªn phu nh©n tiªn n÷ trªn th­îng giíi, ®Ñp tuyÖt trÇn."	ĞÔ¸ĞÅ®ÏÂÉí026	H¹ y		7	0	0		0					
ThiÓn Th¶o Tó Trang	0	101	55	10	1	0	70	17;5						10	2	4		\image\item\shoe\fm2_tro_001a1.spr	\image\item\shoe\fm2_tro_001a0.spr	"N÷ H¹ y dÖt b»ng t¬ rÊt dÔ chŞu, tho¶i m¸i."	½¿Ğ¡Å®ÏÂÉí003	H¹ y		1	0	0		0					
Tö Hµ Tó Trang	0	101	56	10	1	0	80	5;19						10	2	4		\image\item\shoe\fm2_tro_002a1.spr	\image\item\shoe\fm2_tro_002a0.spr	N÷ H¹ y dÖt b»ng t¬ mµu tİm tr«ng rÊt dŞu dµng.	½¿Ğ¡Å®ÏÂÉí005	H¹ y		1	0	0		0					
Phong TrÇn Tó Trang	0	101	57	20	536	0	95	20;5						10	2	4		\image\item\shoe\fm2_tro_003a1.spr	\image\item\shoe\fm2_tro_003a0.spr	H¹ y th­êng dïng cña c¸c giang hå hiÖp n÷.	½¿Ğ¡Å®ÏÂÉí008	H¹ y		2	0	0		0					
Linh VËn Tó Trang	0	101	58	10	587	0	90	6;20						10	2	4		\image\item\shoe\fm2_tro_004a1.spr	\image\item\shoe\fm2_tro_004a0.spr	"Tó trang cña c¸c thiÕu n÷ danh gia trong vâ l©m th­êng mÆc, Èn chøa nhiÒu linh khİ."	½¿Ğ¡Å®ÏÂÉí004	H¹ y		2	0	0		0					
Phi Hång Tó Trang	0	101	59	40	797	0	110	22;6						10	2	4		\image\item\shoe\fm2_tro_005a1.spr	\image\item\shoe\fm2_tro_005a0.spr	"H¹ y cña c¸c n÷ cao thñ th­êng mÆc, mang ®Çy s¸t khİ."	½¿Ğ¡Å®ÏÂÉí011	H¹ y		2	0	0		0					
Phong Vò Tó Trang	0	101	60	20	822	0	100	7;22						10	2	4		\image\item\shoe\fm2_tro_006a1.spr	\image\item\shoe\fm2_tro_006a0.spr	H¹ y cña c¸c hiÖp n÷ khi hµnh tÈu giang hå th­êng mÆc.	½¿Ğ¡Å®ÏÂÉí001	H¹ y		2	0	0		0					
H·m TrËn Tó Trang	0	101	61	50	1235	0	125	24;7						10	2	4		\image\item\shoe\fm2_tro_007a1.spr	\image\item\shoe\fm2_tro_007a0.spr	"H¹ y cña c¸c n÷ cao thñ giÊu phi ®ao cã ®éc, tªn gäi TiÕt NghÜa."	½¿Ğ¡Å®ÏÂÉí010	H¹ y		3	0	0		0					
Bİch Hå Tó Trang	0	101	62	25	1294	0	110	8;24						10	2	4		\image\item\shoe\fm2_tro_008a1.spr	\image\item\shoe\fm2_tro_008a0.spr	H¹ y cña c¸c n÷ cao thñ danh gia vâ häc ®Æt ph­êng dÖt ë Giang Nam dÖt thµnh.	½¿Ğ¡Å®ÏÂÉí002	H¹ y		3	0	0		0					
Thiªn Tµm Tó Trang	0	101	63	60	2062	0	140	26;8						10	2	4		\image\item\shoe\fm2_tro_009a1.spr	\image\item\shoe\fm2_tro_009a0.spr	"H¹ y dÖt tõ Thiªn t¬ th­îng ®¼ng, lùc phßng vÖ cho ®«i ch©n rÊt lín."	½¿Ğ¡Å®ÏÂÉí007	H¹ y		3	0	0		0					
Khëi La Tó Trang	0	101	64	30	2181	0	120	9;26						10	2	4		\image\item\shoe\fm2_tro_010a1.spr	\image\item\shoe\fm2_tro_010a0.spr	H¹ y cña c¸c cung n÷ rÊt ®Ñp vµ dŞu dµng.	½¿Ğ¡Å®ÏÂÉí016	H¹ y		3	0	0		0					
Vâ ThÇn Tó Trang	0	101	65	70	3787	0	155	28;9						10	2	4		\image\item\shoe\fm2_tro_011a1.spr	\image\item\shoe\fm2_tro_011a0.spr	"N÷ phôc vâ ®Êu, phong th¸i anh th­, hµo khİ v« song."	½¿Ğ¡Å®ÏÂÉí012	H¹ y		4	0	0		0					
Linh Lung Tó Trang	0	101	66	35	4095	0	130	10;28						10	2	4		\image\item\shoe\fm2_tro_012a1.spr	\image\item\shoe\fm2_tro_012a0.spr	"H¹ y do ph­êng B¸ch Hoa ®Æc chÕ, chØ nh÷ng n÷ hiÖp kiÖt xuÊt trong b¶ng Thiªn KiÒu §Şa KiÖt qu¸n míi mÆc ®­îc."	½¿Ğ¡Å®ÏÂÉí006	H¹ y		4	0	0		0					
B¸ch ChiÕn	0	101	67	80	6128	0	170	30;10						10	2	4		\image\item\shoe\fm2_tro_013a1.spr	\image\item\shoe\fm2_tro_013a0.spr	"H¹ y cña c¸c n÷ thŞ vÖ triÒu ®×nh, phßng vÖ rÊt hiÖu qu¶."	½¿Ğ¡Å®ÏÂÉí013	H¹ y		5	0	0		0					
ThÇn N÷	0	101	68	40	6559	0	140	10;30						10	2	4		\image\item\shoe\fm2_tro_014a1.spr	\image\item\shoe\fm2_tro_014a0.spr	"T­¬ng truyÒn lµ b¶o vËt cña thÇn n÷ ë Vu s¬n, mÆc vµo cã d¸ng ®iÖu khoan thai."	½¿Ğ¡Å®ÏÂÉí015	H¹ y		5	0	0		0					
Vò Linh	0	101	69	90	9576	0	185	32;10						10	2	4		\image\item\shoe\fm2_tro_015a1.spr	\image\item\shoe\fm2_tro_015a0.spr	V¸y may b»ng Bİch Xµ L©n.	½¿Ğ¡Å®ÏÂÉí009	H¹ y		6	0	0		0					
T¶n Hoa	0	101	70	45	10078	0	150	10;32						10	2	4		\image\item\shoe\fm2_tro_016a1.spr	\image\item\shoe\fm2_tro_016a0.spr	"Phôc søc cung ®×nh cña V­¬ng triÒu T¶n Hoa ë §«ng Di tuyÖt ®Ñp, kh«ng biÕt tõ khi nµo l­u l¹c ®Õn Trung Nguyªn."	½¿Ğ¡Å®ÏÂÉí017	H¹ y		6	0	0		0					
Hång Ngäc	0	101	71	100	15834	0	200	34;11						10	2	4		\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	"Gi¸p trang may b»ng g©n Long Giao vµ da Cù Tİch, phßng vÖ rÊt tèt."	½¿Ğ¡Å®ÏÂÉí014	H¹ y		7	0	0		0					
XuÊt V©n	0	101	72	50	17055	0	160	11;34						10	2	4		\image\item\shoe\fm2_tro_018a1.spr	\image\item\shoe\fm2_tro_018a0.spr	B¶o vËt lÊy ®­îc tõ loµi thñy tÆc d­íi ®¸y hå Hång Tr¹ch.	½¿Ğ¡Å®ÏÂÉí018	H¹ y		7	0	0		0					
Së Ca	0	101	73	70	15000	0	160	38;13						10	1	1		\image\item\shoe\³ş¸èa1.spr	\image\item\shoe\³ş¸èa0.spr	"Trang bŞ cña b¸ v­¬ng, uy dòng v« cïng"	±ê×¼ÄĞÏÂ×°8¼¶Íâ	H¹ y		8	0	0		0					
K×nh Th­¬ng	0	101	74	70	15000	0	140	38;13						10	1	2		\image\item\shoe\Çæ²Ôa1.spr	\image\item\shoe\Çæ²Ôa0.spr	"Trang bŞ ®­îc rÌn ®óc tõ vµng ®en, tªn gäi K×nh Th­¬ng, cuång khİ d¹t dµo"	¿ıÎàÄĞÏÂ×°8¼¶Íâ	H¹ y		8	0	0		0					
