Tªn Huy Ch­¬ng	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	"Phßng ngù (Néi, ngo¹i)"	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	"Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)"	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm																																	
Huy Ch­¬ng Tèng T­íng Qu©n	0	153	12	0	0	0	100	35;35					31152	10		3		\image\item\banghui\½«¾ü»ÕÕÂ 36.spr	\image\item\banghui\½«¾ü»ÕÕÂ 120.spr	"Huy Ch­¬ng Tèng T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)"		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	10	8																																	
Huy Ch­¬ng Tèng T­íng Qu©n	0	153	13	0	0	0	100	35;35					31153	10		4		\image\item\banghui\½«¾ü»ÕÕÂ 36.spr	\image\item\banghui\½«¾ü»ÕÕÂ 120.spr	"Huy Ch­¬ng Tèng T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)"		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	10	8																																	
Huy Ch­¬ng Tèng Nguyªn So¸i	0	153	14	0	0	0	100	35;35					31154	10		1		\image\item\banghui\ÔªË§»ÕÕÂ36.spr	\image\item\banghui\ÔªË§»ÕÕÂ120.spr	"Huy Ch­¬ng Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)"		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	11	9																																	
Huy Ch­¬ng Tèng Nguyªn So¸i	0	153	15	0	0	0	100	35;35					31155	10		2		\image\item\banghui\ÔªË§»ÕÕÂ36.spr	\image\item\banghui\ÔªË§»ÕÕÂ120.spr	"Huy Ch­¬ng Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)"		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	11	9																																	
Huy Ch­¬ng Tèng Nguyªn So¸i	0	153	16	0	0	0	100	35;35					31156	10		3		\image\item\banghui\ÔªË§»ÕÕÂ36.spr	\image\item\banghui\ÔªË§»ÕÕÂ120.spr	"Huy Ch­¬ng Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)"		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	11	9																																	
Huy Ch­¬ng Tèng Nguyªn So¸i	0	153	17	0	0	0	100	35;35					31157	10		4		\image\item\banghui\ÔªË§»ÕÕÂ36.spr	\image\item\banghui\ÔªË§»ÕÕÂ120.spr	"Huy Ch­¬ng Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)"		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	11	9																																	
Huy Ch­¬ng Liªu T­íng Qu©n	0	153	18	0	0	0	100	35;35					31158	10		1		\image\item\banghui\½«¾ü»ÕÕÂ 36.spr	\image\item\banghui\½«¾ü»ÕÕÂ 120.spr	"Huy Ch­¬ng Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)"		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	10	8																																	
Huy Ch­¬ng Liªu T­íng Qu©n	0	153	19	0	0	0	100	35;35					31159	10		2		\image\item\banghui\½«¾ü»ÕÕÂ 36.spr	\image\item\banghui\½«¾ü»ÕÕÂ 120.spr	"Huy Ch­¬ng Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)"		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	10	8																																	
Huy Ch­¬ng Liªu T­íng Qu©n	0	153	20	0	0	0	100	35;35					31160	10		3		\image\item\banghui\½«¾ü»ÕÕÂ 36.spr	\image\item\banghui\½«¾ü»ÕÕÂ 120.spr	"Huy Ch­¬ng Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)"		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	10	8																																	
Huy Ch­¬ng Liªu T­íng Qu©n	0	153	21	0	0	0	100	35;35					31161	10		4		\image\item\banghui\½«¾ü»ÕÕÂ 36.spr	\image\item\banghui\½«¾ü»ÕÕÂ 120.spr	"Huy Ch­¬ng Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)"		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	10	8																																	
Huy Ch­¬ng Liªu Nguyªn So¸i	0	153	22	0	0	0	100	35;35					31162	10		1		\image\item\banghui\ÔªË§»ÕÕÂ36.spr	\image\item\banghui\ÔªË§»ÕÕÂ120.spr	"Huy Ch­¬ng Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)"		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	11	9																																	
Huy Ch­¬ng Liªu Nguyªn So¸i	0	153	23	0	0	0	100	35;35					31163	10		2		\image\item\banghui\ÔªË§»ÕÕÂ36.spr	\image\item\banghui\ÔªË§»ÕÕÂ120.spr	"Huy Ch­¬ng Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)"		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	11	9																																	
Huy Ch­¬ng Liªu Nguyªn So¸i	0	153	24	0	0	0	100	35;35					31164	10		3		\image\item\banghui\ÔªË§»ÕÕÂ36.spr	\image\item\banghui\ÔªË§»ÕÕÂ120.spr	"Huy Ch­¬ng Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)"		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	11	9																																	
Huy Ch­¬ng Liªu Nguyªn So¸i	0	153	25	0	0	0	100	35;35					31165	10		4		\image\item\banghui\ÔªË§»ÕÕÂ36.spr	\image\item\banghui\ÔªË§»ÕÕÂ120.spr	"Huy Ch­¬ng Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)"		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	11	9																																	
Huy Ch­¬ng Du HiÖp	0	153	26	0	0	0	100	35;35					31234	10				\image\item\banghui\ÓÎÏÀ»ÕÕÂa1.spr	\image\item\banghui\ÓÎÏÀ»ÕÕÂa0.spr	"R­îu thŞt ®i qua ruét, vÉn l­u trong lßng hiÖp nghÜa "		Huy HiÖu		1;11	4	1		0		4	18	20	10																																	
Huy Ch­¬ng ThiÕt HuyÕt	0	153	27	0	0	0	100	40;30					31235	10				\image\item\banghui\ÌúÑª»ÕÕÂa1.spr	\image\item\banghui\ÌúÑª»ÕÕÂa0.spr	"ThiÕt huyÕt ®¬n t©m, chÕt mµ v« hèi"		Huy HiÖu		1;11	4	1		0		4	19	21	10																																	
Huy Ch­¬ng V©n Du	0	153	28	0	0	0	100	30;40					31236	10				\image\item\banghui\ÔÆÓÎ»ÕÕÂa1.spr	\image\item\banghui\ÔÆÓÎ»ÕÕÂa0.spr	"V©n du thiªn h¹, tiªu dao bèn ph­¬ng"		Huy HiÖu		1;11	4	1		0		4	20	22	10																																	
Huy ch­¬ng HiÖp Cèt	0	153	29	0	0	0	100	35;35					31974	10				\image\item\banghui\ÏÀ¹Ç»ÕÕÂa1.spr	\image\item\banghui\ÏÀ¹Ç»ÕÕÂa0.spr	"HiÖp Cèt Nhu T×nh, Lo¹n ThÕ Hµo KiÖt"		Huy HiÖu		1;12	4	1		0		5	49	44	13																																	
Huy ch­¬ng Qñy Phï	0	153	30	0	0	0	100	40;30					31975	10				\image\item\banghui\¹í¸«»ÕÕÂa1.spr	\image\item\banghui\¹í¸«»ÕÕÂa0.spr	"Qñy Phï ThÇn C«ng, ChiÕn V« BÊt Th¾ng"		Huy HiÖu		1;12	4	1		0		5	50	45	13																																	
Huy ch­¬ng §»ng V©n	0	153	31	0	0	0	100	30;40					31976	10				\image\item\banghui\ÌÚÔÆ»ÕÕÂa1.spr	\image\item\banghui\ÌÚÔÆ»ÕÕÂa0.spr	"§»ng V©n Gi¸ Vô, Di ThÕ §éc LËp"		Huy HiÖu		1;12	4	1		0		5	51	46	13																																	
Hoan L¨ng Ch­¬ng	0	153	32	0	0	0	100	40;40					32067	10				\image\item\banghui\»ÃÁè»ÕÕÂa1.spr	\image\item\banghui\»ÃÁè»ÕÕÂa0.spr	"§éng t¾c v« th­êng, nh­îc nguy nh­îc an"		Huy HiÖu		1;12	4	1		0		6	87	61	14																																	
§»ng Giao Ch­¬ng	0	153	33	0	0	0	100	45;35					32068	10				\image\item\banghui\ÌÚòÔ»ÕÕÂa1.spr	\image\item\banghui\ÌÚòÔ»ÕÕÂa0.spr	"T­íng t­íng bæn v« chñng, nam nhi ®­¬ng tù c­êng"		Huy HiÖu		1;12	4	1		0		6	88	62	14																																	
Khëi Ph­îng Ch­¬ng	0	153	34	0	0	0	100	35;45					32069	10				\image\item\banghui\Æğ·ï»ÕÕÂa1.spr	\image\item\banghui\Æğ·ï»ÕÕÂa0.spr	Cöu v¹n lı phong b»ng chİnh cö		Huy HiÖu		1;12	4	1		0		6	89	63	14																																	
