Tªn vò khİ	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	CÇm trªn tay	S¸t th­¬ng ngo¹i c«ng	S¸t th­¬ng Néi c«ng 	®é s¾c bĞn	Tèc ®é xuÊt chiªu	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò;Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi; sö dông tµi nguyªn nµo	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
		104=¸o Choµng																															
		105=Ngùa																															
		106=thó c­ng																															
		107=Bİ cÊp																															
HiÖp ThiÕu Hé UyÓn	0	0	1	35	1	0	40	0	10;20	9;17	1	90		1				\image\item\weapon\wea_han_001a1.spr	\image\item\weapon\wea_han_001a0.spr	§­îc dÖt b»ng t¬ b¹c, nhÑ nhµng nh­ng bÒn ch¾c	¿ÕÊÖ	Hé thñ		1	0	1		0					
Tr¹m Ng©n Hé UyÓn	0	0	2	35	1	0	50	0	13;27	11;23	1	90		6				\image\item\weapon\wea_han_002a1.spr	\image\item\weapon\wea_han_002a0.spr	®­îc ®óc tõ thiÕt tinh khiÕt, trªn cã kh¶m n¹m b¹c s¸ng lÊp l¸nh.	¿ÕÊÖ	Hé thñ		1	0	1		0					
Phi Ng­ thñ	0	0	3	35	287	0	70	0	20;40	17;33	1	90		10				\image\item\weapon\wea_han_003a1.spr	\image\item\weapon\wea_han_003a0.spr	§­îc ®óc tõ thĞp tinh luyÖn cã g¾n v©y c¸ kh«ng thÊm n­íc.	¿ÕÊÖ	Hé thñ		2	0	1		0					
Hång Ma thñ	0	0	4	50	691	0	95	0	30;60	25;49	1	90		16				\image\item\weapon\wea_han_004a1.spr	\image\item\weapon\wea_han_004a0.spr	HiÖp kh¸ch giang hå th­êng dïng c«ng thñ toµn diÖn	¿ÕÊÖ	Hé thñ		2	0	1		0					
Xuyªn V©n thñ	0	0	5	65	917	0	120	0	43;87	35;71	1	90		22				\image\item\weapon\wea_han_005a1.spr	\image\item\weapon\wea_han_005a0.spr	Tõ lßng bµn tay ®Õn khñy tay cã gai thĞp dµi, ®èi thñ nÕu khinh xuÊt sÏ dÔ mÊt m¹ng, ng­êi th­êng kh«ng thÓ sö dông	¿ÕÊÖ	Hé thñ		3	0	1		0					
Tam D­¬ng thñ	0	0	6	80	1162	0	140	0	60;120	49;97	1	90		28				\image\item\weapon\wea_han_006a1.spr	\image\item\weapon\wea_han_006a0.spr	Hé uyÓn cã h×nh nh­ ®Çu dª, ®óc tõ tinh cang, nÕu bŞ ®¸nh tróng g©n cèt lËp tøc ®øt ®o¹n	¿ÕÊÖ	Hé thñ		3	0	1		0					
Thiªn Ng­u thñ	0	0	7	95	1604	0	155	0	79;157	64;128	1	90		34				\image\item\weapon\wea_han_007a1.spr	\image\item\weapon\wea_han_007a0.spr	Hé uyÓn cã h×nh nh­ ®Çu tr©u, ®Ö tö ThiÕu L©m tõng dïng nã ®¸nh b¹i 13 cao thñ KhiÕt §an ë b·i Kim Sa	¿ÕÊÖ	Hé thñ		4	0	1		0					
Bİch Xµ thñ	0	0	8	110	2426	0	170	0	99;199	81;163	1	90		40				\image\item\weapon\wea_han_008a1.spr	\image\item\weapon\wea_han_008a0.spr	Hé uyÓn nh­ ®éc xµ, trªn cã kh¶m 365 v¶y s¾t, tr«ng rÊt ghª rîn	¿ÕÊÖ	Hé thñ		4	0	1		0					
Kh¸ng Long thñ	0	0	9	125	3561	0	190	0	122;244	101;201	1	90		46				\image\item\weapon\wea_han_009a1.spr	\image\item\weapon\wea_han_009a0.spr	Hé thñ nh­ thanh long, trªn cã kh¾c 7 ng«i sao	¿ÕÊÖ	Hé thñ		5	0	1		0					
T­êng Ph­îng	0	0	10	140	5368	0	200	0	147;293	122;244	1	90		52				\image\item\weapon\wea_han_010a1.spr	\image\item\weapon\wea_han_010a0.spr	N¨m x­a s­ tæ thî rÌn T«n Nham ®Æc biÖt chÕ t¹o ra dµnh riªng cho con g¸i cña m×nh, b¶o vÖ cùc tèt.	¿ÕÊÖ	Hé thñ		5	0	1		0					
Né Long	0	0	11	155	7717	0	210	0	173;347	145;291	1	90		58				\image\item\weapon\wea_han_011a1.spr	\image\item\weapon\wea_han_011a0.spr	VËt thî rÌn T«n Nham yªu thİch nhÊt, h×nh d¸ng nh­ Né Long	¿ÕÊÖ	Hé thñ		6	0	1		0					
Ngò Ph­¬ng Quû Chóng	0	0	12	170	10325	0	230	0	202;404	171;341	1	90		64				\image\item\weapon\wea_han_012a1.spr	\image\item\weapon\wea_han_012a0.spr	Hé uyÓn cã søc m¹nh thÇn kú, kh«ng ai biÕt lai lŞch vµ chñ nh©n cña nã	¿ÕÊÖ	Hé thñ		6	0	1		0					
Nª Lª ®Şa ngôc	0	0	13	185	14144	0	250	0	233;467	200;400	1	90		70				\image\item\weapon\wea_han_013a1.spr	\image\item\weapon\wea_han_013a0.spr	ThÇn kú hé uyÓn, kh¸ng tÊt c¶ c¸c lo¹i ®éc.	¿ÕÊÖ	Hé thñ		7	0	1		0					
V¹n NhÉn	0	0	14	220	18000	0	290	0	243;486	208;416	1	90		76				\image\item\weapon\wea_han_014a1.spr	\image\item\weapon\wea_han_014a0.spr	§­îc mét líp gai s¾t bao bäc bªn ngoµi phßng hé cùc tèt.	¿ÕÊÖ	Hé thñ		8	0	1		0					
ThÇn Quy	0	0	15	220	18000	0	290	0	252;504	216;432	1	90		86				\image\item\weapon\wea_han_015a1.spr	\image\item\weapon\wea_han_015a0.spr	TuyÖt phÈm, s¸ng nh­ g­¬ng, kiªn cè nh­ kim c­¬ng, vËt hiÕm cã, cã uy lùc dêi nói lÊp biÓn.	¿ÕÊÖ	Hé thñ		9	0	1		0					
¢m D­¬ng Ên	0	0	16	220	18000	0	290	0	261;522	224;448	1	90		96				\image\item\weapon\wea_han_016a1.spr	\image\item\weapon\wea_han_016a0.spr	Tay ph¶i ©m, tay tr¸i d­¬ng, mäi thø n»m trong lßng bµn tay.	¿ÕÊÖ	Hé thñ		10	0	1		0					
HiÖp ThiÕu kiÕm	0	2	14	25	1	0	40	0	8;16	10;20	1	86		1				\image\item\weapon\wea_swd_001a1.spr	\image\item\weapon\wea_swd_001a0.spr	§­îc lµm tõ thiÕt tinh khiÕt, nh©n sÜ giang hå th­êng sö dông.	³¤½£1a	Tr­êng kiÕm		1	0	1		0					
Tïng V¨n kiÕm	0	2	15	25	1	0	50	0	10;20	14;28	1	86		6				\image\item\weapon\wea_swd_002a1.spr	\image\item\weapon\wea_swd_002a0.spr	Giang hå hiÖp kh¸ch th­êng sö dông, trªn cã trang trİ hoa v¨n b»ng Tïng méc.	³¤½£1b	Tr­êng kiÕm		1	0	1		0					
Linh Xµ kiÕm	0	2	16	25	273	0	70	0	14;28	22;44	1	86		10				\image\item\weapon\wea_swd_003a1.spr	\image\item\weapon\wea_swd_003a0.spr	Th©n kiÕm gièng h×nh linh xµ cong cong khóc khñy,thay ®æi v« ®Şnh khiÕn ®èi ph­¬ng khã phßng tr¸nh.	³¤½£1c	Tr­êng kiÕm		2	0	1		0					
Xİch Sa kiÕm	0	2	17	30	656	0	95	0	20;40	34;68	1	86		16				\image\item\weapon\wea_swd_004a1.spr	\image\item\weapon\wea_swd_004a0.spr	Cao thñ trong giang hå th­êng sö dông, kiÓu d¸ng cæ x­a nh­ng cùc kú s¾c nhän	³¤½£2a	Tr­êng kiÕm		2	0	1		0					
Thanh Minh kiÕm	0	2	18	35	871	0	120	0	28;56	50;100	1	86		22				\image\item\weapon\wea_swd_005a1.spr	\image\item\weapon\wea_swd_005a0.spr	T­¬ng truyÒn 100 n¨m tr­íc ®¹i cao thñ Thanh Liªn C­ sÜ ®· phèi chÕ, bªn trong cßn Èn chøa nhiÒu ®iÒu bİ mËt.	³¤½£2b	Tr­êng kiÕm		3	0	1		0					
HuyÕt S¸t kiÕm	0	2	19	40	1104	0	140	0	38;76	70;140	1	86		28				\image\item\weapon\wea_swd_006a1.spr	\image\item\weapon\wea_swd_006a0.spr	Th©n kiÕm mµu ®en leo lĞt tia s¸ng ®á t­¬i ¸nh lªn trong m¾t ng­êi, kiÕm ch­a rêi bao s¸t khİ ®· táa ra	³¤½£3a	Tr­êng kiÕm		3	0	1		0					
Hµm Quang kiÕm	0	2	20	45	1524	0	155	0	50;100	92;184	1	86		34				\image\item\weapon\wea_swd_007a1.spr	\image\item\weapon\wea_swd_007a0.spr	Th©n nÆng, rÊt s¾c, oai phong khİ ph¸ch	³¤½£3b	Tr­êng kiÕm		4	0	1		0					
Tİch D­¬ng	0	2	21	50	2304	0	170	0	63;127	116;232	1	86		40				\image\item\weapon\wea_swd_008a1.spr	\image\item\weapon\wea_swd_008a0.spr	Lµ t¸c phÈm ­ng ı nhÊt cña thî rÌn ¢u Lôc, hµn ®«ng cã thÓ hãa b¨ng thµnh n­íc	³¤½£4a	Tr­êng kiÕm		4	0	1		0					
HuyÒn §iÖn	0	2	22	55	3383	0	190	0	78;156	142;284	1	86		46				\image\item\weapon\wea_swd_009a1.spr	\image\item\weapon\wea_swd_009a0.spr	Lµ t¸c phÈm ­ng ı nhÊt cña thî rÌn ¢u Lôc, móa kiÕm trong ®ªm cã thÓ dÉn l«i ®iÖn ph¸t ra kiÕm khİ	³¤½£4b	Tr­êng kiÕm		5	0	1		0					
Thanh S­¬ng	0	2	23	60	5100	0	200	0	94;188	170;340	1	86		52				\image\item\weapon\wea_swd_010a1.spr	\image\item\weapon\wea_swd_010a0.spr	Mét lo¹i kiÕm cæ, cùc kú quı hiÕm.	³¤½£5a	Tr­êng kiÕm		5	0	1		0					
Dao Quang	0	2	24	65	7331	0	210	0	111;223	200;400	1	86		58				\image\item\weapon\wea_swd_011a1.spr	\image\item\weapon\wea_swd_011a0.spr	Danh kiÕm cæ ®¹i, th©n kiÕm rÊt nÆng nh­ng l¹i bĞn nhän v« b×, g­¬m rót khái bao sÏ nghe thÊy sÊm rÒn	³¤½£5b	Tr­êng kiÕm		6	0	1		0					
Bİch HuyÕt	0	2	25	70	9809	0	230	0	130;260	232;464	1	86		64				\image\item\weapon\wea_swd_012a1.spr	\image\item\weapon\wea_swd_012a0.spr	KiÕm ch­a tuèt khái bao ®· ph¸t ra ¸nh s¸ng chãi lãa qu¶ nhiªn lµ mét thanh b¶o kiÕm	³¤½£6a	Tr­êng kiÕm		6	0	1		0					
HuyÒn thiÕt Träng KiÕm	0	2	26	80	13437	0	250	0	150;300	267;533	1	86		70				\image\item\weapon\wea_swd_013a1.spr	\image\item\weapon\wea_swd_013a0.spr	Lo¹i kiÕm th­êng rÊt dÔ mua	³¤½£6b	Tr­êng kiÕm		7	0	1		0					
Háa Tinh	0	2	36	90	18000	0	290	0	155;310	275;550	1	86		76				\image\item\weapon\wea_swd_023a1.spr	\image\item\weapon\wea_swd_023a0.spr	KiÕm s¸ng nh­ ®iÖn, chĞm s¾t nh­ chĞm bïn, nÕu ma s¸t víi kim th¹ch sÏ ph¸t ra ¸nh s¸ng löa	³¤½£7a	Tr­êng kiÕm		8	0	1		0					
Häa ¶nh	0	2	37	90	18000	0	290	0	160;320	283;566	1	86		86				\image\item\weapon\wea_swd_024a1.spr	\image\item\weapon\wea_swd_024a0.spr	B¶o kiÕm ®­îc Chuyªn Hóc thñ lÜnh mét bé téc trong truyÒn thuyÕt sö dông, rÊt thÇn kú. NÕu bèn bÒ ®Òu cã binh lİnh, th× kiÕm nµy sÏ bay theo h­íng kh¾c víi nã, khi kh«ng sö dông n»m trong vá nã th­êng hay ph¸t ra tiÕng hó gièng nh­ tiÕng long hæ.	³¤½£7b	Tr­êng kiÕm		9	0	1		0					
Nha Cöu	0	2	38	90	18000	0	290	0	165;330	291;582	1	86		96				\image\item\weapon\wea_swd_025a1.spr	\image\item\weapon\wea_swd_025a0.spr	Lai lŞch bÊt minh ngo¹i h×nh tÇm th­êng, nh­ng l¹i lµ vËt quı hiÕm, cã thÓ ®o¹n kim xuyªn ngäc dÔ nh­ trë bµn tay.	³¤½£8a	Tr­êng kiÕm		10	0	1		0					
Bµn Xµ	0	2	27	100	20000	0	400	0	200;400	350;600	1	86		10				\image\item\weapon\wea_swd_014a1.spr	\image\item\weapon\wea_swd_014a0.spr	T­¬ng truyÒn lµ mét trong thËp ®¹i thÇn binh, th©n kiÕm cã mµu xanh ngäc, mòi kiÕm cã d¹ng nanh r¾n, ng­êi néi lùc cao th©m míi cã thÓ chÕ ngù hµn khİ cña nã	³¤½£10a	Tr­êng kiÕm		10	0	1		0					
Tö §iÖn	0	2	28	100	20000	0	400	0	200;400	400;650	1	86		10				\image\item\weapon\wea_swd_015a1.spr	\image\item\weapon\wea_swd_015a0.spr	T­¬ng truyÒn thî rÌn næi tiÕng ë Thiªn Tróc dïng Thiªn C­¬ng th¹ch luyÖn thµnh thanh kiÕm nµy	³¤½£10b	Tr­êng kiÕm		10	0	1		0					
§o¹n thñy	0	2	29	100	20000	0	400	0	300;450	400;650	1	86		10				\image\item\weapon\wea_swd_016a1.spr	\image\item\weapon\wea_swd_016a0.spr	B¶o kiÕm thÇn bİ, ch×m d­íi ®¸y hå Thanh Thñy ngµn n¨m nay	³¤½£10c	Tr­êng kiÕm		10	0	1		0					
TriÒu D­¬ng kiÕm	0	2	30	100	20000	0	400	0	300;450	400;650	1	86		10				\image\item\weapon\wea_swd_017a1.spr	\image\item\weapon\wea_swd_017a0.spr	T­¬ng truyÒn trong suèt thêi gian luyÖn kiÕm, gÆp n¹n ®¹i hång thñy. 7 vŞ kiÕm s­ vÉn tiÕp tôc ®óc kiÕm, v× vËy lÊy tªn TriÒu D­¬ng kiÕm.	³¤½£10d	Tr­êng kiÕm		10	0	1		0					
Th¹ch DuyÖn kiÕm	0	2	31	200	20000	0	400	0	300;450	400;650	1	86		10				\image\item\weapon\wea_swd_018a1.spr	\image\item\weapon\wea_swd_018a0.spr	Dïng HuyÒn thiÕt th¹ch ngµn n¨m chÕ t¹o thµnh, kiÕm dµi 3 th­íc, nÆng mÊy m­¬i c©n. Lùc sÜ míi cã thÓ sö dông.	³¤½£10e	Tr­êng kiÕm		10	0	1		0					
§é Hån kiÕm	0	2	32	100	20000	0	400	0	300;450	400;650	1	86		10				\image\item\weapon\wea_swd_019a1.spr	\image\item\weapon\wea_swd_019a0.spr	Minh gi¸o trÊn gi¸o thÇn khİ.	³¤½£10f	Tr­êng kiÕm		10	0	1		0					
Hiªn Viªn kiÕm	0	2	33	100	20000	0	400	0	300;450	400;650	1	86		10				\image\item\weapon\wea_swd_020a1.spr	\image\item\weapon\wea_swd_020a0.spr	KiÕm cæ, hoµng ®Õ Hiªn Viªn ®· tõng sö dông	³¤½£10g	Tr­êng kiÕm		10	0	1		0					
Truy T×nh kiÕm	0	2	34	100	20000	0	400	0	300;450	400;650	1	86		10				\image\item\weapon\wea_swd_021a1.spr	\image\item\weapon\wea_swd_021a0.spr	T­¬ng truyÒn thanh kiÕm do mét ng­êi mï rÌn nªn ®Ó tÆng cho ng­êi yªu lµm vËt ®Şnh t×nh	³¤½£10h	Tr­êng kiÕm		10	0	1		0					
Tµng S¸t	0	2	35	100	20000	0	400	0	380;420	500;600	1	86		10				\image\item\weapon\wea_swd_022a1.spr	\image\item\weapon\wea_swd_022a0.spr	S¾t bĞn v« cïng, chĞm ®¸ nh­ chĞm bïn, th©n kiÕm cã tÈm kŞch ®éc.	³¤½£10i	Tr­êng kiÕm		10	0	1		0					
HiÖp ThiÕu c«n	0	5	27	40	1	0	40	0	10;20		1	84		1				\image\item\weapon\wea_sta_001a1.spr	\image\item\weapon\wea_sta_001a0.spr	§­îc chÕ t¹o tõ T¶o Méc dïng cho c¸c T©n Thñ míi b­íc ch©n vµo giang hå.	¹÷1a	C«n		1	0	1		0					
TÒ Mi c«n	0	5	28	40	1	0	50	0	13;25		1	84		6				\image\item\weapon\wea_sta_002a1.spr	\image\item\weapon\wea_sta_002a0.spr	Khi móa c«n t¹o ra tiÕng giã rÊt m¹nh mÏ	¹÷1b	C«n		1	0	1		0					
Thñy Háa c«n	0	5	29	50	284	0	70	0	18;36		1	84		10				\image\item\weapon\wea_sta_003a1.spr	\image\item\weapon\wea_sta_003a0.spr	Sai nha ë c«ng ®­êng th­êng sö dông.	¹÷1c	C«n		2	0	1		0					
Tø B×nh c«n	0	5	30	60	684	0	95	0	26;52		1	84		16				\image\item\weapon\wea_sta_004a1.spr	\image\item\weapon\wea_sta_004a0.spr	Lµm tõ cæ thô tr¨m n¨m, träng l­îng rÊt nhÑ, ng­êi søc yÕu còng cã thÓ móa c«n nµy	¹÷2a	C«n		2	0	1		0					
Phæ §é c«n	0	5	31	75	908	0	120	0	37;73		1	84		22				\image\item\weapon\wea_sta_005a1.spr	\image\item\weapon\wea_sta_005a0.spr	Khİ giíi  PhËt M«n T¨ng Nh©n dïng ®Ó hãa ®é chóng sinh; C¶nh tØnh môc tiªu gian ¸c.	¹÷2b	C«n		3	0	1		0					
H¹c Vò c«n	0	5	32	85	1150	0	140	0	50;100		1	84		28				\image\item\weapon\wea_sta_006a1.spr	\image\item\weapon\wea_sta_006a0.spr	§óc thµnh tõ B¸ch LuyÖn c­¬ng, rÊt nÆng, móa kiÕm nh­ rång bay ph­îng móa	¹÷3a	C«n		3	0	1		0					
Ph©n Thñy c«n	0	5	33	95	1588	0	155	0	65;129		1	84		34				\image\item\weapon\wea_sta_007a1.spr	\image\item\weapon\wea_sta_007a0.spr	Lç DiÖu Tö dù theo Ph©n Thñy Phæ chÕ thµnh, khi móa c«n nh­ rång bay ph­îng móa	¹÷3b	C«n		4	0	1		0					
TiÒm Long c«n	0	5	34	110	2402	0	170	0	81;161		1	84		40				\image\item\weapon\wea_sta_008a1.spr	\image\item\weapon\wea_sta_008a0.spr	TiÒm Long tr­îng ®· tõng ®¸nh chÕt tr¨m tªn s¸t thñ Liªu quèc	¹÷4a	C«n		4	0	1		0					
Tö Kim L­¬ng	0	5	35	120	3525	0	190	0	98;196		1	84		46				\image\item\weapon\wea_sta_009a1.spr	\image\item\weapon\wea_sta_009a0.spr	LiÖt S¬n Kim chÕ t¹o, träng l­îng rÊt nÆng, ng­êi th­êng kh«ng thÓ sö dông	¹÷4b	C«n		5	0	1		0					
§¶ CÈu bæng	0	5	36	135	5315	0	200	0	117;233		1	84		52				\image\item\weapon\wea_sta_010a1.spr	\image\item\weapon\wea_sta_010a0.spr	B¶o vËt TrÊn Bang, ngh×n vµng khã mua.	¹÷5a	C«n		5	0	1		0					
KhÈn Na La Bæng	0	5	37	145	7640	0	210	0	137;273		1	84		58				\image\item\weapon\wea_sta_011a1.spr	\image\item\weapon\wea_sta_011a0.spr	ThiÕt bæng cã kh¾c ch©n ng«n phôc ma cña KhÈn Na La, T¨ng nh©n ThiÕu L©m cÇm nã cã thÓ tr¸nh tµ ma	¹÷5b	C«n		6	0	1		0					
Thiªn Xµ c«n	0	5	38	160	10222	0	230	0	158;316		1	84		64				\image\item\weapon\wea_sta_012a1.spr	\image\item\weapon\wea_sta_012a0.spr	Binh khİ cña Thiªn Xµ l·o nh©n, næi tiÕng thiªn h¹	¹÷6a	C«n		6	0	1		0					
Thanh Long c«n	0	5	39	175	14002	0	250	0	183;367		1	84		70				\image\item\weapon\wea_sta_013a1.spr	\image\item\weapon\wea_sta_013a0.spr	Th¸i tæ hoµng ®Õ lu«n mang theo bªn m×nh trong suèt qu¸ tr×nh gÇy dùng giang s¬n ®¹i Tèng, ®­îc mÖnh lµ ®Ö nhÊt thiªn h¹ c«n.	¹÷6b	C«n		7	0	1		0					
LiÖt DiÖm	0	5	40	200	18000	0	290	0	191;382		1	84		76				\image\item\weapon\wea_sta_014a1.spr	\image\item\weapon\wea_sta_014a0.spr	T­¬ng truyÒn T©y B¾c cã Kú S¬n, th¹ch chÊt cã mµu ®á nªn vò khİ n¬i ®©y th­êng Èn chøa mµu ¸nh s¸ng löa	¹÷7a	C«n		8	0	1		0					
Ngäc Trô	0	5	41	200	18000	0	290	0	198;396		1	84		86				\image\item\weapon\wea_sta_015a1.spr	\image\item\weapon\wea_sta_015a0.spr	Cã mµu tr¾ng tuyÕt, xuÊt xø tõ C«n L«n, kh«ng râ ng­êi ®óc	¹÷7b	C«n		9	0	1		0					
ThÇn Ch©m	0	5	42	200	18000	0	290	0	205;410		1	84		96				\image\item\weapon\wea_sta_016a1.spr	\image\item\weapon\wea_sta_016a0.spr	C©y gËy vua §¹i Vò dïng ®Ó chèng lôt trong truyÒn thuyÕt, cã mµu ®en, hai ®Çu cã quÊn ®ai vµng, ch¼ng cã g× ®Æc biÖt ngoµi søc nÆng cña nã.	¹÷8a	C«n		10	0	1		0					
HiÖp ThiÕu ¸m Khİ	0	1	40	20	1	0	40	0	10;20		1	80		1				\image\item\weapon\wea_dar_001a1.spr	\image\item\weapon\wea_dar_001a0.spr	Nhá,  rÊt s¾c bĞn, khi xuÊt chiªu ®èi ph­¬ng kh«ng dÔ nhËn ra.	°µÆ÷	¸m khİ		1	0	1		0					
Ngò Quang th¹ch	0	1	41	20	1	0	50	0	12;24		1	80		6				\image\item\weapon\wea_dar_002a1.spr	\image\item\weapon\wea_dar_002a0.spr	Viªn ®¸ cã h×nh trßn s¸ng long lanh, chia lµm 5 mµu, dïng ®Ó tÊn c«ng vµo bé phËn hiÓm yÕu cña ®èi ph­¬ng	°µÆ÷	¸m khİ		1	0	1		0					
LiÔu DiÖp ®ao	0	1	42	20	270	0	70	0	16;32		1	80		10				\image\item\weapon\wea_dar_003a1.spr	\image\item\weapon\wea_dar_003a0.spr	Phi ®ao bĞn nhän máng nh­ giÊy, ®u«i ®ao cã lç, khi bay ph¸t ra tiÕng kªu u u khiÕn ®èi ph­¬ng sî h·i	°µÆ÷	¸m khİ		2	0	1		0					
§o¹n Tr­êng tiªu	0	1	43	30	649	0	95	0	22;44		1	80		16				\image\item\weapon\wea_dar_004a1.spr	\image\item\weapon\wea_dar_004a0.spr	Khi tiªu bay hãa thµnh mét luång ®iÖn quang, ®èi ph­¬ng trong 20 b­íc khã tr¸nh nguy hiÓm	°µÆ÷	¸m khİ		2	0	1		0					
Ph¸ DiÖt ThÇn Ch©m	0	1	44	40	862	0	120	0	30;60		1	80		22				\image\item\weapon\wea_dar_005a1.spr	\image\item\weapon\wea_dar_005a0.spr	§éc m«n ¸m khİ cña §­êng M«n, chÕ tõ thĞp dßn, m­în lùc lß xo ®Ó ph¸t ch©m	°µÆ÷	¸m khİ		3	0	1		0					
Tö MÉu Ly Hån TiÔn	0	1	45	50	1092	0	140	0	40;80		1	80		28				\image\item\weapon\wea_dar_006a1.spr	\image\item\weapon\wea_dar_006a0.spr	Lóc tÊn c«ng mÉu tiÔn mª hoÆc ®èi ph­¬ng, tö tiÔn tÊn c«ng ®èi ph­¬ng khiÕn ®èi ph­¬ng kh«ng kŞp trë tay	°µÆ÷	¸m khİ		3	0	1		0					
H¾c HuyÕt ThÇn Ch©m	0	1	46	60	1508	0	155	0	51;101		1	80		34				\image\item\weapon\wea_dar_007a1.spr	\image\item\weapon\wea_dar_007a0.spr	¸m khİ  cña cao thñ Ma m«n, kÎ tróng ph¶i sèng kh«ng b»ng chÕt	°µÆ÷	¸m khİ		4	0	1		0					
Ngäc Phong ch©m	0	1	47	70	2280	0	170	0	62;124		1	80		40				\image\item\weapon\wea_dar_008a1.spr	\image\item\weapon\wea_dar_008a0.spr	Kim ch©m nhá nh­ sîi tãc, ®­îc lµm tõ 6 phÇn thĞp 4 phÇn vµng, kim ch©m nµy cã tÈm ®éc cña kÎ tróng ph¶i toµn th©n thèi r÷a mµ chÕt	°µÆ÷	¸m khİ		4	0	1		0					
Tô Lı Cµn Kh«n	0	1	48	80	3347	0	190	0	74;148		1	80		46				\image\item\weapon\wea_dar_009a1.spr	\image\item\weapon\wea_dar_009a0.spr	Lo¹i ®éc ch©m trong cã chøa l¹p trïng, sau khi vµo kinh m¹ch cña ®èi ph­¬ng sÏ chuyÓn ng­îc c«ng t©m, mÊt m¹ng trong nh¸y m¾t	°µÆ÷	¸m khİ		5	0	1		0					
Hµm Sa X¹ ¶nh	0	1	49	90	5046	0	200	0	87;173		1	80		52				\image\item\weapon\wea_dar_010a1.spr	\image\item\weapon\wea_dar_010a0.spr	Dïng b¹c chÕ thµnh, song lùc tiªu phi nh­ vò b·o, xuÊt huyÕt tøc kh¾c.	°µÆ÷	¸m khİ		5	0	1		0					
