Account	Name	Route	TransLife	Level	IBCost	Money	A	B	C	D	E	F	Exp	Last_IP	CreateDate	LastLoginDate
xaydieu	1stSatTHuZz	ThiÕu L©m vâ t¨ng  	7	99	0	1000000	0	0	0	0	0	0	0	42.114.206.95	2019-09-23 19:10:10	2019-09-23 19:10:34
sakaya1	1stShenLong	ThiÕu L©m vâ t¨ng  	7	99	0	1000000	0	0	0	0	0	0	0	14.161.182.10	2019-09-24 12:10:11	2019-09-24 12:10:56
ducrovip255	1sutquytien	ThiÕu L©m vâ t¨ng  	7	99	0	31162703	0	0	0	0	0	0	51	115.78.125.100	2019-09-24 11:45:22	2019-09-24 12:41:03
ngoduydat88	1VACDi5em	ThiÕu L©m vâ t¨ng  	7	99	0	40992500	0	0	0	0	0	0	0	14.235.202.5	2019-09-24 12:19:03	2019-09-24 12:31:24
queonhoc4	21312312321	Nga My tôc gia  	0	99	0	1000000	0	0	0	0	0	0	0	113.22.199.38	2019-09-24 11:13:59	2019-09-24 11:14:00
chaugiaky2	2132111	Vâ §ang ®¹o gia  	7	99	0	998500	0	0	0	0	0	0	7000136	115.78.206.239	2019-09-23 16:11:45	2019-09-23 16:14:48
thiep12345	213432432	D­¬ng M«n Cung Kþ  	0	99	0	998500	0	0	0	0	0	0	0	113.161.175.150	2019-09-22 19:28:35	2019-09-22 19:30:14
queonhoc0	2321321	Nga My xuÊt gia  	7	99	0	1000000	0	0	0	0	0	0	0	42.118.236.84	2019-09-22 19:38:29	2019-09-22 19:38:57
global3	2adasd5qw5dq	ThiÕu L©m vâ t¨ng  	0	99	0	1000000	0	0	0	0	0	0	0	42.114.21.176	2019-09-23 19:50:36	2019-09-23 19:50:57
chaugiaky2	31212312	HiÖp §éc  	7	99	0	40998500	0	0	0	0	0	0	2400039	115.78.206.239	2019-09-23 15:41:16	2019-09-23 15:47:56
queonhoc2	321312dsa	Nga My xuÊt gia  	7	99	0	32998500	0	0	0	0	0	0	0	42.118.236.84	2019-09-22 19:44:59	2019-09-22 19:54:06
trangia	321321	ThiÕu L©m vâ t¨ng  	7	99	0	1000000	0	0	0	0	0	0	0	113.160.204.18	2019-09-24 10:44:48	2019-09-24 10:45:09
queonhoc0	3213213	Nga My xuÊt gia  	7	99	0	1000000	0	0	0	0	0	0	0	42.118.236.84	2019-09-22 19:39:36	2019-09-22 19:40:02
queonhoc1	321321sada	Nga My tôc gia  	7	99	0	35414000	0	0	0	0	0	0	14	113.22.199.38	2019-09-22 19:21:47	2019-09-24 11:11:54
xxll201	321qwe	C¸i Bang TÜnh y  	7	99	0	43382101	0	0	0	0	0	0	20000000	14.231.36.185	2019-09-24 01:12:09	2019-09-24 01:46:58
chaugiaky	343242342	ThiÕu L©m vâ t¨ng  	7	99	0	5945533	0	0	0	0	0	0	146436198	115.78.206.239	2019-09-23 13:41:12	2019-09-23 21:04:25
trangia1	4124124	C¸i Bang TÜnh y  	7	99	0	34660000	0	0	0	0	0	0	0	113.160.204.18	2019-09-24 12:35:45	2019-09-24 12:42:40
quangvuha90	45345345	ThiÕu L©m vâ t¨ng  	0	99	0	40998500	0	0	0	0	0	0	0	171.242.175.108	2019-09-23 20:59:04	2019-09-23 21:06:28
hpkongtu	51asd1qwe	ThiÕu L©m vâ t¨ng  	0	99	0	1000000	0	0	0	0	0	0	0	117.6.63.35	2019-09-22 20:45:44	2019-09-22 20:47:43
global2	52adadasdasd	ThiÕu L©m vâ t¨ng  	0	99	0	480000	0	0	0	0	0	0	0	42.114.21.176	2019-09-23 19:36:42	2019-09-23 19:38:44
global2	55adasdasd3	ThiÕu L©m vâ t¨ng  	0	99	0	480000	0	0	0	0	0	0	0	42.114.21.176	2019-09-23 19:39:34	2019-09-23 19:41:55
jjtjaa1	564485	ThiÕu L©m vâ t¨ng  	7	99	0	40998500	0	0	0	0	0	0	20000000	171.252.119.191	2019-09-22 21:23:55	2019-09-22 21:29:21
singsing	5asd5sa45	V« m«n ph¸i  	0	1	0	0	0	0	0	0	0	0	0	115.75.254.194	2019-09-22 18:48:37	2019-09-22 18:48:39
global4	5asdasdas3	V« m«n ph¸i  	0	1	0	0	0	0	0	0	0	0	0	42.114.21.176	2019-09-23 19:51:35	2019-09-23 19:51:36
global5	5dasdas1das1d	V« m«n ph¸i  	0	1	0	0	0	0	0	0	0	0	0	42.114.21.176	2019-09-23 19:53:09	2019-09-23 19:53:10
juffx159	5Déc§aT×nh	HiÖp §éc  	7	99	0	41000100	0	0	0	0	0	0	0	171.229.126.42	2019-09-22 18:34:41	2019-09-22 18:35:27
bestbun3	68ikho®å	ThiÕu L©m vâ t¨ng  	7	99	0	8426000	0	0	0	0	0	0	565000000	14.242.241.7	2019-09-23 14:18:02	2019-09-23 17:44:04
bestbun1	68iXvacHôtSml	ThiÕu L©m vâ t¨ng  	7	99	0	21568452	0	0	0	0	0	0	16	14.242.241.7	2019-09-23 14:13:32	2019-09-23 17:51:25
volam2	85GapLai	D­¬ng M«n Cung Kþ  	7	99	0	995000	0	0	0	0	0	0	0	14.175.147.64	2019-09-23 03:54:13	2019-09-23 03:59:48
global2	adadadasdasdas	ThiÕu L©m vâ t¨ng  	0	99	0	480000	0	0	0	0	0	0	0	42.114.21.176	2019-09-23 19:28:27	2019-09-23 19:35:49
kunthuyen02	adadasdsad	ThiÕu L©m vâ t¨ng  	7	99	0	41538000	0	0	0	0	0	0	0	113.162.84.98	2019-09-22 20:59:04	2019-09-22 21:06:27
thtmtim123	adsasd	ThiÕu L©m vâ t¨ng  	0	99	0	1000000	0	0	0	0	0	0	0	123.23.193.61	2019-09-23 20:01:07	2019-09-23 20:01:35
longkaito	ADxChÞH»ngAlone	Nga My xuÊt gia  	7	99	0	50000000	0	0	0	0	0	0	0	27.77.225.148	2019-09-24 09:00:16	2019-09-24 12:11:08
xuantuan66	ADxCSSieuMUP	Tµ §éc  	7	99	0	40998500	0	0	0	0	0	0	20000013	115.73.213.18	2019-09-23 18:58:41	2019-09-24 13:15:28
xuantuan33	ADxTuÊnCiuTo	D­¬ng M«n Cung Kþ  	7	99	0	38974000	0	0	0	0	0	0	156000015	115.73.213.18	2019-09-22 19:13:31	2019-09-24 11:18:06
xuantuan33	ADxTuÊnSiuMóp	ThiÕu L©m vâ t¨ng  	7	99	0	25000000	0	0	0	0	0	0	1482183613	115.73.213.18	2019-09-22 21:25:24	2019-09-24 13:04:01
tuigalam121	Ahahas	ThiÕu L©m vâ t¨ng  	0	99	0	1000000	0	0	0	0	0	0	0	14.161.8.83	2019-09-24 11:39:29	2019-09-24 11:40:04
emkobiet	ahihihihihi	D­¬ng M«n Cung Kþ  	7	99	0	9082500	0	0	0	0	0	0	19	14.169.195.153	2019-09-22 21:57:49	2019-09-23 22:19:35
thinhthao121	ahiithaobeo	ThiÕu L©m vâ t¨ng  	7	99	0	1000000	0	0	0	0	0	0	20000000	113.160.207.139	2019-09-23 11:57:08	2019-09-23 11:59:03
hoplp146	alibabs	ThiÕu L©m vâ t¨ng  	7	99	0	23735870	0	0	0	0	0	0	0	14.161.19.57	2019-09-23 08:54:40	2019-09-24 10:29:37
cbbeo1	Aloalo123	ThiÕu L©m vâ t¨ng  	7	99	0	32890890	0	0	0	0	0	0	20000025	123.24.139.44	2019-09-22 18:54:02	2019-09-24 11:56:19
minhcusut2019	AnhDaTroLai	ThiÕu L©m vâ t¨ng  	7	99	0	18358052	0	0	0	0	0	0	0	1.54.200.241	2019-09-23 01:30:06	2019-09-23 02:38:04
phongvuong3	AnhHaiCamSongDao	HiÖp §éc  	7	99	0	950000	0	0	0	0	0	0	32	113.163.94.206	2019-09-23 12:24:42	2019-09-23 12:25:23
43017lam	AnhHïngX¹§iªu	ThiÕu L©m vâ t¨ng  	7	99	0	75851000	0	0	0	0	0	0	195320561	113.172.158.199	2019-09-22 18:30:02	2019-09-23 17:12:22
emtaboi1	AnhKhoa	ThiÕu L©m vâ t¨ng  	7	99	0	6184450	0	0	0	0	0	0	27	115.75.237.174	2019-09-22 18:27:49	2019-09-23 16:25:13
queonhoc4	anhkkk	Nga My xuÊt gia  	7	99	0	947075	0	0	0	0	0	0	0	113.22.199.38	2019-09-24 11:14:26	2019-09-24 11:25:57
19001560	AnhLaoLamSon	C¸i Bang TÜnh y  	7	99	0	31700100	0	0	0	0	0	0	24	123.23.137.96	2019-09-23 19:44:37	2019-09-24 12:25:40
anhtrongdz	AnhTrongG	V« m«n ph¸i  	0	97	0	1856482	0	0	0	0	0	0	1549887461	126.243.9.37	2019-09-23 21:18:23	2019-09-24 12:37:44
queonhoc4	anhyeuem	Nga My xuÊt gia  	7	99	0	994000	0	0	0	0	0	0	0	113.22.199.38	2019-09-23 14:20:39	2019-09-24 11:13:38
hitpro	anlnhe	ThiÕu L©m vâ t¨ng  	7	99	0	41000000	0	0	0	0	0	0	0	101.96.72.110	2019-09-23 11:57:34	2019-09-24 09:15:55
nam2211	Anxiety	ThiÕu L©m vâ t¨ng  	7	99	0	31638229	0	0	0	0	0	0	54674582	123.21.195.42	2019-09-23 14:34:56	2019-09-23 21:16:03
nhythyhutu00	AriBank	D­¬ng M«n Cung Kþ  	7	99	0	5000000	0	0	0	0	0	0	0	14.239.76.119	2019-09-24 08:59:47	2019-09-24 09:01:12
datkyo1998	asd124	ThiÕu L©m vâ t¨ng  	7	99	0	20846810	0	0	0	0	0	0	1	183.81.105.51	2019-09-22 22:01:07	2019-09-23 22:38:30
diachu02	asdasdasd	Nga My xuÊt gia  	7	99	0	40995500	0	0	0	0	0	0	0	1.52.107.151	2019-09-23 19:47:42	2019-09-23 19:56:45
global4	asdasdasd2q2qd	V« m«n ph¸i  	0	1	0	0	0	0	0	0	0	0	0	42.114.21.176	2019-09-23 19:52:32	2019-09-23 19:52:33
diachu01	asdasdsd	D­¬ng M«n Cung Kþ  	7	99	0	46420975	0	0	0	0	0	0	1100082	1.52.107.151	2019-09-23 17:35:36	2019-09-23 20:11:35
tlqsutdaklak	âsddsads	C¸i Bang ¤ Y  	7	99	0	1000000	0	0	0	0	0	0	0	113.163.249.216	2019-09-22 18:07:42	2019-09-22 18:08:15
dung01	asdsads	ThiÕu L©m vâ t¨ng  	7	99	0	1000000	0	0	0	0	0	0	0	14.163.93.245	2019-09-24 09:42:59	2019-09-24 09:43:19
tunghndt009	asdsasad	ThiÕu L©m vâ t¨ng  	7	99	0	40258201	0	0	0	0	0	0	0	14.172.124.11	2019-09-23 21:15:12	2019-09-23 21:23:28
thanhtinh2	AsuNaa	Nga My xuÊt gia  	0	99	0	40998600	0	0	0	0	0	0	0	42.114.19.21	2019-09-22 21:21:00	2019-09-23 19:24:09
pkcuimia1	ATanDaiHiep	ThiÕu L©m vâ t¨ng  	7	99	0	41000000	0	0	0	0	0	0	0	113.169.64.31	2019-09-22 18:25:51	2019-09-22 20:50:56
pkcuimia2	ATanDaiHiep02	ThiÕu L©m vâ t¨ng  	7	99	0	50000000	0	0	0	0	0	0	75000000	113.169.64.31	2019-09-22 20:54:57	2019-09-22 20:55:48
haipro1	August	ThiÕu L©m vâ t¨ng  	0	99	0	1000000	0	0	0	0	0	0	0	14.162.230.142	2019-09-24 11:27:43	2019-09-24 11:27:44
mdbinh	Authentic	Tµ §éc  	7	99	0	18596100	0	0	0	0	0	0	0	14.166.246.5	2019-09-22 20:42:45	2019-09-22 21:34:22
laogiamin6	awarki	D­¬ng M«n Cung Kþ  	7	99	0	39337820	0	0	0	0	0	0	0	123.17.28.15	2019-09-24 12:01:37	2019-09-24 12:02:35
kenbikiet9x02	b52kkkkk	Nga My xuÊt gia  	7	99	0	998500	0	0	0	0	0	0	0	115.78.6.84	2019-09-24 13:05:22	2019-09-24 13:06:49
kenbikiet9x01	B52MaiYeuem	ThiÕu L©m vâ t¨ng  	7	99	0	36684817	0	0	0	0	0	0	5598	115.78.6.84	2019-09-24 11:59:20	2019-09-24 13:08:17
phaybay1	B52zGenji	ThiÕu L©m vâ t¨ng  	0	99	0	1000000	0	0	0	0	0	0	0	183.81.73.204	2019-09-22 22:25:23	2019-09-22 22:25:40
songuku1991	bababa	ThiÕu L©m thiÒn t¨ng  	7	99	0	19000	0	0	0	0	0	0	12	14.231.32.33	2019-09-23 15:59:06	2019-09-23 16:00:26
volamlivk	BabyFag	ThiÕu L©m thiÒn t¨ng  	7	99	0	19087000	0	0	0	0	0	0	0	115.74.203.150	2019-09-23 18:42:30	2019-09-23 18:55:42
kuphoc2000	BachLong	D­¬ng M«n th­¬ng Kþ  	7	99	0	96214460	0	0	0	0	0	0	35921634	113.182.176.229	2019-09-23 11:02:07	2019-09-24 12:27:24
shinky1	BaGomT	Nga My xuÊt gia  	7	99	0	49197000	0	0	0	0	0	0	21	113.163.156.70	2019-09-23 08:25:37	2019-09-23 11:04:44
kidred	BãngGi¶Trai	Nga My tôc gia  	7	99	0	34440000	0	0	0	0	0	0	0	78.34.80.144	2019-09-23 02:56:28	2019-09-23 04:09:51
kidred1	BãngKin	§­êng M«n phæ th«ng  	7	99	0	6584000	0	0	0	0	0	0	18	78.34.80.144	2019-09-23 03:05:36	2019-09-23 23:38:56
789645123	Bao§¹iNh©n	ThiÕu L©m vâ t¨ng  	0	99	0	1000000	0	0	0	0	0	0	0	115.78.4.33	2019-09-22 21:47:46	2019-09-22 21:49:53
manhhung1997	Baybayyyy	Nga My xuÊt gia  	7	99	0	41600001	0	0	0	0	0	0	0	183.80.67.142	2019-09-23 08:12:51	2019-09-23 08:19:32
manhhung1997	BayyBayyy	Nga My xuÊt gia  	7	99	0	9035564	0	0	0	0	0	0	1000043	183.80.67.142	2019-09-23 08:36:51	2019-09-24 13:10:42
dactrung1	Bçng§·CÈu	C¸i Bang ¤ Y  	7	99	0	1000000	0	0	0	0	0	0	7	14.254.130.23	2019-09-23 15:36:03	2019-09-23 16:06:13
trangthe18	BÐTËpSót	ThiÕu L©m vâ t¨ng  	0	99	0	1000000	0	0	0	0	0	0	0	1.54.197.118	2019-09-24 12:44:06	2019-09-24 12:44:33
trangthe18	BÐTËpV¸c	V« m«n ph¸i  	0	1	0	0	0	0	0	0	0	0	0	1.54.197.118	2019-09-24 12:41:32	2019-09-24 12:41:34
linhpro147147	BeBuz1	ThiÕu L©m vâ t¨ng  	7	99	0	38576232	0	0	0	0	0	0	1	113.180.112.173	2019-09-23 17:22:00	2019-09-23 18:58:59
truonghaibinh99	BeCao789	Nga My xuÊt gia  	7	99	0	50000000	0	0	0	0	0	0	0	113.161.131.182	2019-09-23 17:25:54	2019-09-23 21:54:00
phuoc1233vn	bègiµFK®ÓF9	ThiÕu L©m vâ t¨ng  	7	99	0	33000000	0	0	0	0	0	0	0	113.161.218.57	2019-09-22 19:08:37	2019-09-22 19:08:55
phuoc1255vn2019	BèG×aFK§Ò3F9	ThiÕu L©m vâ t¨ng  	7	99	0	1000000	0	0	0	0	0	0	0	113.161.218.57	2019-09-22 19:02:52	2019-09-22 19:03:09
phuoc1255vn2019	BèG×aFK®Ò3F9	ThiÕu L©m vâ t¨ng  	7	99	0	1000000	0	0	0	0	0	0	0	113.161.218.57	2019-09-22 19:04:14	2019-09-22 19:04:55
phuoc1255vn2019	BèG×aPK§Ò3F9	ThiÕu L©m vâ t¨ng  	7	99	0	32997500	0	0	0	0	0	0	0	113.161.218.57	2019-09-22 18:46:13	2019-09-22 19:01:40
phuoc1233vn	BèG×a§åS¸t	ThiÕu L©m vâ t¨ng  	7	99	0	17000000	0	0	0	0	0	0	0	113.161.218.57	2019-09-22 19:17:13	2019-09-22 19:20:22
kimara1	BèMµyÐoPh¶iT­în	ThiÕu L©m vâ t¨ng  	0	99	0	13309301	0	0	0	0	0	0	0	117.3.60.26	2019-09-24 11:34:00	2019-09-24 11:34:27
beoga195	BeoBungBu	ThiÕu L©m vâ t¨ng  	7	99	0	680000	0	0	0	0	0	0	0	113.170.93.27	2019-09-22 18:40:24	2019-09-22 19:58:29
longksl199	BeTapBanCung	D­¬ng M«n Cung Kþ  	7	99	0	15778470	0	0	0	0	0	0	660822896	222.254.34.92	2019-09-22 18:40:35	2019-09-24 13:07:19
longksl198	BeTapBuff	Nga My xuÊt gia  	7	99	0	39330950	0	0	0	0	0	0	244398353	222.254.34.92	2019-09-22 18:57:14	2019-09-24 12:32:14
vuvanthap	BeTapChoi	ThiÕu L©m vâ t¨ng  	7	99	0	39920000	0	0	0	0	0	0	0	14.239.53.135	2019-09-24 12:09:54	2019-09-24 12:10:31
amxvippr03	BeVeOngMatTroi	Vâ §ang tôc gia  	7	99	0	1400785	0	0	0	0	0	0	0	123.22.216.184	2019-09-23 15:18:07	2019-09-24 10:01:37
minhtam1509	BeWhyz2	ThiÕu L©m vâ t¨ng  	7	99	0	19180000	0	0	0	0	0	0	0	27.3.88.128	2019-09-24 12:22:37	2019-09-24 12:49:14
linhpro123123	BezBut	Nga My xuÊt gia  	7	99	0	37799000	0	0	0	0	0	0	0	113.180.112.173	2019-09-23 17:16:09	2019-09-23 18:56:46
bphuong101	BFFConB­ímXinh	Vâ §ang tôc gia  	7	99	0	17000000	0	0	0	0	0	0	16	171.235.165.39	2019-09-23 21:54:10	2019-09-23 22:22:24
ruisekhung1107	BigBoss	C¸i Bang TÜnh y  	7	99	0	1000000	0	0	0	0	0	0	0	113.175.68.12	2019-09-22 20:33:22	2019-09-22 20:34:06
cuoctinh100	BimBim	ThiÕu L©m vâ t¨ng  	7	99	0	20040000	0	0	0	0	0	0	296660020	116.103.201.159	2019-09-22 18:50:13	2019-09-24 10:16:31
luanluan3	binbin	ThiÕu L©m vâ t¨ng  	7	99	0	40995500	0	0	0	0	0	0	0	27.77.241.43	2019-09-23 07:42:39	2019-09-24 12:31:43
truonghaibinh99	BinhCaCa	HiÖp §éc  	7	99	0	95119225	0	0	0	0	0	0	15126	115.78.121.117	2019-09-23 17:29:41	2019-09-23 22:14:45
anhcloudnine1	BlackLA	ThiÕu L©m vâ t¨ng  	7	99	0	41000000	0	0	0	0	0	0	0	14.251.160.182	2019-09-22 19:26:02	2019-09-22 19:27:47
vcldkm11	BMWxTLQ	ThiÕu L©m vâ t¨ng  	7	99	0	41000000	0	0	0	0	0	0	20000000	115.78.122.12	2019-09-24 12:58:15	2019-09-24 12:58:36
tonnat6000	BonBon	ThiÕu L©m vâ t¨ng  	7	99	0	38358500	0	0	0	0	0	0	0	113.160.150.241	2019-09-23 03:00:26	2019-09-24 08:11:29
cnghia11	BôngBùBóBãng	ThiÕu L©m vâ t¨ng  	0	99	0	21765500	0	0	0	0	0	0	147981776	14.237.201.182	2019-09-22 18:51:16	2019-09-24 09:40:53
brorith1020	bongrith0403	D­¬ng M«n Cung Kþ  	0	99	0	1000000	0	0	0	0	0	0	0	103.197.107.238	2019-09-23 15:28:51	2019-09-23 15:31:25
supertmt1988	BoTreCon	§­êng M«n phæ th«ng  	7	99	0	19041000	0	0	0	0	0	0	6271143	58.187.125.38	2019-09-22 18:05:34	2019-09-23 13:14:09
supertmt1988	BoTreConz	D­¬ng M«n th­¬ng Kþ  	7	99	0	40101480	0	0	0	0	0	0	0	58.187.125.38	2019-09-23 12:32:36	2019-09-23 12:52:51
hoilamgi	BótThiªnLong	Vâ §ang tôc gia  	7	99	0	41788640	0	0	0	0	0	0	0	117.7.234.238	2019-09-24 12:33:00	2019-09-24 12:40:10
welinegen1996	BouchraVanPersie	Nga My xuÊt gia  	7	99	0	38265500	0	0	0	0	0	0	20000000	113.179.214.129	2019-09-22 18:36:05	2019-09-24 12:02:42
brorith4050	brohk10	Nga My tôc gia  	7	99	0	1000000	0	0	0	0	0	0	0	103.197.107.238	2019-09-22 21:20:26	2019-09-22 21:20:55
brorith4050	brokh01	Nga My xuÊt gia  	7	99	0	2928010	0	0	0	0	0	0	0	103.197.107.238	2019-09-22 21:21:34	2019-09-23 15:22:09
brorith4050	brorin12	V« m«n ph¸i  	0	1	0	0	0	0	0	0	0	0	0		2019-09-23 16:15:59	1970-01-01 08:00:00
bongrith40500	brorith	ThiÕu L©m vâ t¨ng  	7	99	0	8146156	0	0	0	0	0	0	0	103.197.107.238	2019-09-22 20:52:24	2019-09-22 23:27:58
bongrith40500	brorith01	C¸i Bang ¤ Y  	7	99	0	37420705	0	0	0	0	0	0	0	103.197.107.238	2019-09-22 21:15:56	2019-09-23 15:18:08
bongrith40500	brorith1	C¸i Bang TÜnh y  	0	99	0	1000000	0	0	0	0	0	0	0	103.197.107.238	2019-09-22 21:12:54	2019-09-22 21:15:26
brorith1020	brorith123	V« m«n ph¸i  	0	1	0	0	0	0	0	0	0	0	0		2019-09-23 15:33:14	1970-01-01 08:00:00
brorith1020	brorith50	V« m«n ph¸i  	0	1	0	0	0	0	0	0	0	0	0	103.197.107.238	2019-09-23 15:26:56	2019-09-23 15:27:58
tuitenbo11	BUBUBU	Nga My xuÊt gia  	7	99	0	998500	0	0	0	0	0	0	0	113.162.103.18	2019-09-23 18:06:05	2019-09-23 18:22:02
anhtrong1	BuffChoAnh	Nga My xuÊt gia  	7	99	0	29046013	0	0	0	0	0	0	22966927	126.243.9.37	2019-09-22 20:04:27	2019-09-24 11:34:03
dongdubai1	BuffChoDuBai	Nga My xuÊt gia  	7	99	0	40892500	0	0	0	0	0	0	33946671	113.182.193.238	2019-09-23 12:47:42	2019-09-24 12:29:47
anhhao222222	BufFFFFFF	Nga My xuÊt gia  	7	99	0	16358500	0	0	0	0	0	0	0	118.70.182.42	2019-09-23 11:14:04	2019-09-23 11:21:53
thienhavbt1	BuffLßiBÝm	Nga My xuÊt gia  	7	99	0	830000	0	0	0	0	0	0	0	117.5.71.206	2019-09-22 19:17:29	2019-09-22 19:32:31
chuong1	Buffnhulol	Nga My xuÊt gia  	7	99	0	33240000	0	0	0	0	0	0	52055632	42.116.79.184	2019-09-22 21:13:51	2019-09-24 13:07:05
quanmap1	BuffTom	Nga My xuÊt gia  	7	99	0	19936	0	0	0	0	0	0	3820023	42.112.91.223	2019-09-23 19:37:16	2019-09-24 00:02:57
chuong1	BuffTutlol	Nga My tôc gia  	7	99	0	1000100	0	0	0	0	0	0	0	42.116.79.184	2019-09-22 21:02:50	2019-09-22 21:03:56
buixuanbao1997	BuiXuan	ThiÕu L©m vâ t¨ng  	7	99	0	33743656	0	0	0	0	0	0	22442737	14.227.169.216	2019-09-22 20:58:29	2019-09-23 22:35:20
buixuanbao1997	BUIXUANBAO	Vâ §ang tôc gia  	7	99	0	23213655	0	0	0	0	0	0	0	14.227.169.216	2019-09-22 23:17:39	2019-09-23 22:38:55
quyendiec	BuoiBang1cm	ThiÕu L©m vâ t¨ng  	7	99	0	40997000	0	0	0	0	0	0	25	117.6.121.181	2019-09-24 11:13:38	2019-09-24 12:45:21
kalima1	BupFhe88	Nga My xuÊt gia  	7	99	0	33558486	0	0	0	0	0	0	75803828	42.118.10.186	2019-09-22 18:49:11	2019-09-23 21:06:40
trunghp94	BupTessstVac	Nga My xuÊt gia  	7	99	0	998500	0	0	0	0	0	0	0	117.1.228.192	2019-09-24 10:47:43	2019-09-24 10:53:23
phuoc1244vn2019	BågiµYªuPK	ThiÕu L©m vâ t¨ng  	7	99	0	1000000	0	0	0	0	0	0	0	113.161.218.57	2019-09-22 19:21:17	2019-09-22 19:21:32
phuoc1233vn	BåG×a§åS¸t	ThiÕu L©m vâ t¨ng  	7	99	0	17000000	0	0	0	0	0	0	0	113.161.218.57	2019-09-22 19:14:43	2019-09-22 19:15:10
zdieukhang2	B¶oTiªn	Thóy Yªn Vò Tiªn  	7	99	0	36249550	0	0	0	0	0	0	12500461	171.237.141.149	2019-09-23 23:56:49	2019-09-24 00:16:27
