line_id	group_id	desc_cn	attr_type	attr_val	min_type	min_val	max_type	max_val	desc_vn
46	40046	真气150001-200000	TASK_STAT	30005	CONST	150001	CONST	200000	
47	40047	真气200001-250000	TASK_STAT	30005	CONST	200001	CONST	250000	
48	40048	真气250001-300000	TASK_STAT	30005	CONST	250001	CONST	300000	
49	40049	真气300001-350000	TASK_STAT	30005	CONST	300001	CONST	350000	
50	40050	真气350001-400000	TASK_STAT	30005	CONST	350001	CONST	400000	
51	40051	真气400001-450000	TASK_STAT	30005	CONST	400001	CONST	450000	
52	40052	真气450001-500000	TASK_STAT	30005	CONST	450001	CONST	500000	
53	40053	真气500001-550000	TASK_STAT	30005	CONST	500001	CONST	550000	
54	40054	真气550001-600000	TASK_STAT	30005	CONST	550001	CONST	600000	
55	40055	真气600001-650000	TASK_STAT	30005	CONST	600001	CONST	650000	
56	40056	真气650001-700000	TASK_STAT	30005	CONST	650001	CONST	700000	
57	40057	真气700001-750000	TASK_STAT	30005	CONST	700001	CONST	750000	
58	40058	真气750001-800000	TASK_STAT	30005	CONST	750001	CONST	800000	
59	40059	真气800001-850000	TASK_STAT	30005	CONST	800001	CONST	850000	
60	40060	真气850001-900000	TASK_STAT	30005	CONST	850001	CONST	900000	
61	40061	军功1~1.5W	TASK_STAT	30006	CONST	1	CONST	15000	
62	40062	军功1.5-5w	TASK_STAT	30006	CONST	15001	CONST	50000	
63	40063	军功5-8w	TASK_STAT	30006	CONST	50001	CONST	79999	
64	40064	军功8-12w	TASK_STAT	30006	CONST	80000	CONST	119999	
65	40065	军功12-25w	TASK_STAT	30006	CONST	120000	CONST	249999	
66	40066	军功>25w	TASK_STAT	30006	CONST	250000	CONST	2000000000	
67	40067	校尉本周	TASK_STAT	30007	CONST	2	CONST	2	
68	40068	先锋本周	TASK_STAT	30007	CONST	3	CONST	3	
69	40069	都统本周	TASK_STAT	30007	CONST	4	CONST	4	
70	40070	将军本周	TASK_STAT	30007	CONST	5	CONST	5	
71	40071	元帅本周	TASK_STAT	30007	CONST	6	CONST	6	
72	40072	装备+1	ITEM_BASE	1004	CONST	1	CONST	1	
73	40073	装备+2	ITEM_BASE	1004	CONST	2	CONST	2	
74	40074	装备+3	ITEM_BASE	1004	CONST	3	CONST	3	
75	40075	装备+4	ITEM_BASE	1004	CONST	4	CONST	4	
76	40076	装备+5	ITEM_BASE	1004	CONST	5	CONST	5	
77	40077	装备+6	ITEM_BASE	1004	CONST	6	CONST	6	
78	40078	装备+7	ITEM_BASE	1004	CONST	7	CONST	7	
79	40079	装备+8	ITEM_BASE	1004	CONST	8	CONST	8	
80	40080	装备+9	ITEM_BASE	1004	CONST	9	CONST	9	
81	40081	装备+10	ITEM_BASE	1004	CONST	10	CONST	10	
82	40082	装备+11	ITEM_BASE	1004	CONST	11	CONST	11	
83	40083	装备+12	ITEM_BASE	1004	CONST	12	CONST	12	
84	40084	装备+13	ITEM_BASE	1004	CONST	13	CONST	13	
85	40085	装备+14	ITEM_BASE	1004	CONST	14	CONST	14	
86	40086	装备+15	ITEM_BASE	1004	CONST	15	CONST	15	
87	40087	装备的item	ITEM_BASE	1006	CONST	1	CONST	1	
88	40088	背包的item	ITEM_BASE	1006	CONST	2	CONST	2	
89	40089	仓库的item	ITEM_BASE	1006	CONST	3	CONST	3	
90	40090	摆摊的item	ITEM_BASE	1006	CONST	7	CONST	7	
91	40091	灵气1-80	ITEM_BASE	1008	CONST	1	CONST	80	
92	40092	灵气81-100	ITEM_BASE	1008	CONST	81	CONST	100	
93	40093	灵气101-110	ITEM_BASE	1008	CONST	101	CONST	110	
94	40094	灵气111-118	ITEM_BASE	1008	CONST	111	CONST	118	
95	40095	灵气119-120	ITEM_BASE	1008	CONST	119	CONST	120	
96	40096	转生0	TASK_STAT	30001	CONST	0	CONST	0	
97	40097	转生0	ROLE_BASE	12	CONST	0	CONST	0	
98	40098	无门无派	ROLE_BASE	3	CONST	0	CONST	0	
99	40099	无境界	TASK_STAT	30002	CONST	0	CONST	0	
100	40100	已激活境界	TASK_STAT	30002	CONST	1	CONST	6	
101	40101	昆仑天师	ROLE_BASE	2	CONST	23	CONST	23	
102	40102	翠烟舞仙	ROLE_BASE	2	CONST	29	CONST	29	
103	40103	翠烟灵女	ROLE_BASE	2	CONST	30	CONST	30	
104	40104	新门派	ROLE_BASE	2	CONST	23	CONST	23	
105	40104	新门派	ROLE_BASE	2	CONST	29	CONST	29	
106	40104	新门派	ROLE_BASE	2	CONST	30	CONST	30	
107	40105	20亿经验	ROLE_BASE	14	CONST	20	CONST	20	
108	40106	600亿经验	ROLE_BASE	14	CONST	600	CONST	600	
109	40107	普通转生门会1	TASK_STAT	30015	CONST	1	CONST	1	
110	40108	普通转生门会2	TASK_STAT	30015	CONST	2	CONST	2	
111	40109	普通转生门会3	TASK_STAT	30015	CONST	3	CONST	3	
112	40110	普通转生门会4	TASK_STAT	30015	CONST	4	CONST	4	
113	40111	高级转生门会1	ROLE_BASE	13	CONST	1	CONST	1	
114	40112	高级转生门会2	ROLE_BASE	13	CONST	2	CONST	2	
115	40113	高级转生门会3	ROLE_BASE	13	CONST	3	CONST	3	
116	40114	高级转生门会4	ROLE_BASE	13	CONST	4	CONST	4	
117	40115	VIP1	TASK_STAT	30016	CONST	1	CONST	1	
118	40116	VIP2	TASK_STAT	30016	CONST	2	CONST	2	
119	40117	VIP3	TASK_STAT	30016	CONST	3	CONST	3	
120	40118	VIP4	TASK_STAT	30016	CONST	4	CONST	4	
121	40119	VIP5	TASK_STAT	30016	CONST	5	CONST	5	
122	40120	真气150k	TASK_STAT	30005	CONST	150000	CONST	150000	
123	40121	真气300k	TASK_STAT	30005	CONST	300000	CONST	300000	
124	40122	真气450k	TASK_STAT	30005	CONST	450000	CONST	450000	
125	40123	真气600k	TASK_STAT	30005	CONST	600000	CONST	600000	
126	40124	真气750k	TASK_STAT	30005	CONST	750000	CONST	750000	
127	40125	真气900k	TASK_STAT	30005	CONST	900000	CONST	900000	
128	40126	装备等级1	ITEM_BASE	1012	CONST	1	CONST	1	
129	40127	装备等级2	ITEM_BASE	1012	CONST	2	CONST	2	
130	40128	装备等级3	ITEM_BASE	1012	CONST	3	CONST	3	
131	40129	装备等级4	ITEM_BASE	1012	CONST	4	CONST	4	
132	40130	装备等级5	ITEM_BASE	1012	CONST	5	CONST	5	
133	40131	装备等级6	ITEM_BASE	1012	CONST	6	CONST	6	
134	40132	装备等级7	ITEM_BASE	1012	CONST	7	CONST	7	
135	40133	装备等级8	ITEM_BASE	1012	CONST	8	CONST	8	
136	40134	装备等级9	ITEM_BASE	1012	CONST	9	CONST	9	
137	40135	装备等级10	ITEM_BASE	1012	CONST	10	CONST	10	
138	40136	装备等级11	ITEM_BASE	1012	CONST	11	CONST	11	
139	40137	装备等级12	ITEM_BASE	1012	CONST	12	CONST	12	
140	40138	装备等级13	ITEM_BASE	1012	CONST	13	CONST	13	
141	40139	银劵 Num（1~10000）	TASK_STAT	30021	CONST	1	CONST	10000	
142	40140	银劵 Num（10001~50000）	TASK_STAT	30021	CONST	10001	CONST	50000	
143	40141	银劵 Num（50001~100000）	TASK_STAT	30021	CONST	50001	CONST	100000	
144	40142	银劵 Num（100001~200000）	TASK_STAT	30021	CONST	100001	CONST	200000	
145	40143	银劵 Num（200001~300000）	TASK_STAT	30021	CONST	200001	CONST	300000	
146	40144	银劵 Full	TASK_STAT	30021	CONST	300000	CONST	2100000000	
141	40145	银劵 Num（0）	TASK_STAT	30021	CONST	0	CONST	0	
141	40146	银劵 Num（>0）	TASK_STAT	30021	CONST	1	CONST	2100000000	
147	40147	上月消费0	TASK_STAT	30022	CONST	0	CONST	0	
148	40148	上月消费百姓	TASK_STAT	30022	CONST	1	CONST	4000	
149	40149	上月消费蓝领	TASK_STAT	30022	CONST	4001	CONST	12000	
150	40150	上月消费白领	TASK_STAT	30022	CONST	12001	CONST	30000	
151	40151	上月消费小老板	TASK_STAT	30022	CONST	30001	CONST	90000	
152	40152	上月消费中老板	TASK_STAT	30022	CONST	90001	CONST	180000	
153	40153	上月消费大老板	TASK_STAT	30022	CONST	180001	CONST	2100000000	
154	40154	TransLevel<90	ROLE_BASE	5	CONST	1	CONST	89	
155	40155	TransLevel>=90	ROLE_BASE	5	CONST	90	CONST	2100000000	
156	40156	真气 0~150k	TASK_STAT	30005	CONST	0	CONST	150000	
157	40157	真气 150k~300k	TASK_STAT	30005	CONST	150001	CONST	300000	
158	40158	真气 300k~450k	TASK_STAT	30005	CONST	300001	CONST	450000	
159	40159	真气 450k~600k	TASK_STAT	30005	CONST	450001	CONST	600000	
160	40160	真气 600k~750k	TASK_STAT	30005	CONST	600001	CONST	750000	
161	40161	真气 750k~900k	TASK_STAT	30005	CONST	750001	CONST	900000	
162	40162	装备小定魂	ITEM_BASE	1013	CONST	1	CONST	1	
163	40163	装备大定魂	ITEM_BASE	1014	CONST	1	CONST	1	
164	40164	装备+0~+7	ITEM_BASE	1004	CONST	0	CONST	7	
165	40165	装备+8~+10	ITEM_BASE	1004	CONST	8	CONST	10	
166	40166	装备+11~+15	ITEM_BASE	1004	CONST	11	CONST	15	
